DATOS MÓVILES 2018_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,1,0,5.04,14.9775,47.97083333,13.36458333,35.71375,1.50625
AGO,1,1,9.28,14.79541667,47.19666667,13.99458333,31.7425,1.48875
AGO,1,2,7.59,15.09333333,47.295,14.37666667,28.735,1.46875
AGO,1,3,7.7,15.17666667,47.05125,13.2,26.1075,1.43625
AGO,1,4,11.72,14.75333333,46.59833333,13.06083333,24.4025,1.32
AGO,1,5,9.42,14.87541667,46.48125,12.74625,22.9725,1.16625
AGO,1,6,17.32,14.41916667,45.17083333,12.70333333,20.9475,1.175
AGO,1,7,23.55,14.07583333,45.51041667,12.77375,18.33375,1.22
AGO,1,8,17.82,14.18875,45.26916667,12.87375,16.72625,1.27375
AGO,1,9,10.26,14.05375,45.9325,13.38083333,16.93125,1.305
AGO,1,10,6.93,14.18416667,46.015,13.27208333,17.83375,1.33
AGO,1,11,7,14.24791667,43.00458333,13.23041667,19.5375,1.36125
AGO,1,12,7.52,14.33125,38.82208333,12.69208333,22.4275,1.38125
AGO,1,13,7.78,14.11791667,42.01416667,12.57291667,25.52625,1.39625
AGO,1,14,7.16,14.21875,44.43625,12.72583333,29.66375,1.4025
AGO,1,15,7.41,14.4125,44.77833333,12.92041667,34.6425,1.3625
AGO,1,16,7.41,14.57130435,43.59208333,13.06375,38.63125,1.32125
AGO,1,17,8.42,14.01956522,44.32166667,13.06208333,41.1725,1.30875
AGO,1,18,10.2,13.55608696,48.565,13.53333333,41.975,1.3125
AGO,1,19,8.48,13.90956522,52.48375,14.24833333,42.04375,1.35125
AGO,1,20,10.66,14.47652174,52.99,15.58916667,40.41125,1.375
AGO,1,21,13.22,15.12782609,54.29333333,17.07333333,37.96125,1.36875
AGO,1,22,11.34,16.06173913,54.5925,16.6725,35.1925,1.36125
AGO,1,23,9.55,15.75130435,53.97541667,15.8925,32.75125,1.35625
AGO,2,0,8.28,15.4873913,54.28666667,16.04541667,30.23875,1.3475
AGO,2,1,9.7,15.47454545,54.30291667,15.4,27.66,1.32625
AGO,2,2,10.16,15.07272727,54.13708333,15.06041667,25.6325,1.29625
AGO,2,3,7.67,14.78681818,54.04833333,15.10208333,23.83875,1.22375
AGO,2,4,16.74,14.51090909,54.13333333,14.06416667,21.65625,1.1775
AGO,2,5,9.05,13.91863636,54.32541667,12.73125,20.70375,1.16125
AGO,2,6,16.27,13.79227273,54.4175,12.59458333,19.1575,1.16125
AGO,2,7,23.46,14.06863636,54.61125,12.60625,16.5975,1.2025
AGO,2,8,18.56,14.25954545,55.06833333,13.55666667,15.08,1.25
AGO,2,9,10.02,14.95636364,55.22916667,14.34958333,15.61625,1.2725
AGO,2,10,8.97,15.30181818,54.81375,15.72541667,17.01,1.2975
AGO,2,11,7.52,15.91454545,54.7725,16.63625,18.88375,1.32
AGO,2,12,7.29,16.24045455,55.00083333,16.95166667,22.415,1.34125
AGO,2,13,9.12,16.33954545,51.61208333,17.58291667,25.2225,1.3725
AGO,2,14,8.19,16.75863636,49.22541667,17.93125,28.93875,1.38375
AGO,2,15,7.73,17.02272727,49.36375,18.10541667,33.65625,1.36375
AGO,2,16,9.19,17.11956522,50.80875,18.4275,37.09125,1.335
AGO,2,17,8.62,17.64826087,50.68458333,19.29958333,38.90625,1.34625
AGO,2,18,5.64,18.0773913,46.99708333,19.08458333,40.3075,1.3525
AGO,2,19,6.55,18.01391304,43.30458333,18.33166667,40.8925,1.37125
AGO,2,20,8.85,18.10782609,42.10458333,15.84791667,40.435,1.38375
AGO,2,21,8.09,17.58521739,40.1325,13.53125,39.9825,1.44125
AGO,2,22,10.35,16.6226087,39.33083333,15.68833333,39.4375,1.545
AGO,2,23,8.73,17.11478261,39.73,16.51458333,38.64375,1.5225
AGO,3,0,6.82,17.52695652,39.25,16.99875,38.18375,1.49875
AGO,3,1,4.42,17.23166667,38.47583333,17.01708333,37.47875,1.465
AGO,3,2,9.92,17.30791667,38.17791667,16.97583333,35.995,1.435
AGO,3,3,6.34,17.38833333,38.035,16.82958333,35.485,1.39375
AGO,3,4,11.38,17.44125,37.90333333,18.2575,35.21875,1.3575
AGO,3,5,8.01,18.12291667,37.7875,18.97583333,35.2,1.2675
AGO,3,6,16.22,18.10791667,37.57916667,19.16791667,33.67125,1.15125
AGO,3,7,22,17.81666667,36.92666667,19.17541667,31.18625,1.18
AGO,3,8,20.19,17.5775,36.31291667,18.31916667,29.12375,1.22875
AGO,3,9,11.63,16.95,35.74666667,17.73791667,29.26,1.25625
AGO,3,10,8.64,16.55083333,36.34708333,16.89166667,30.58375,1.28375
AGO,3,11,8.3,16.2425,36.18875,16.08375,31.7425,1.31625
AGO,3,12,7.87,16.17791667,35.59875,16.01625,33.60875,1.34125
AGO,3,13,7.83,16.33166667,35.13041667,15.59958333,35.42375,1.36375
AGO,3,14,8.14,16.05416667,34.95791667,15.39416667,38.77625,1.3775
AGO,3,15,8.82,16.0175,34.95375,15.43916667,42.99375,1.3775
AGO,3,16,8.23,16.04375,34.61958333,15.53125,45.88,1.3525
AGO,3,17,10.04,15.82333333,35.11166667,15.98333333,46.14,1.435
AGO,3,18,10.87,15.66583333,35.1475,17.03583333,45.645,1.52375
AGO,3,19,12.02,15.8625,35.31458333,17.27166667,44.25625,1.52
AGO,3,20,16.64,15.79291667,36.01333333,18.39083333,41.84625,1.5275
AGO,3,21,11.6,16.3825,37.19625,19.42625,39.655,1.51875
AGO,3,22,8.88,16.5775,38.805,17.32,36.88625,1.50625
AGO,3,23,7.07,16.2775,38.97875,16.07416667,34.2625,1.48375
AGO,4,0,8.3,15.99833333,39.65791667,15.45916667,32.11875,1.4675
AGO,4,1,8.47,16.24,40.72916667,15.44833333,30.19875,1.3625
AGO,4,2,11.34,15.93869565,40.88375,15.45791667,28.0575,1.25125
AGO,4,3,9.19,15.65043478,41.26708333,15.47333333,26.405,1.225
AGO,4,4,9.01,15.5226087,40.98916667,13.94958333,25.74625,1.195
