DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
FEB,1,0,22.94,2.06,NA,21.49,51,22
FEB,1,1,19.57,2.08,NA,22.13,52,22
FEB,1,2,15.56,1.98,NA,19.80,51,22
FEB,1,3,NA,1.98,NA,19.77,51,21
FEB,1,4,NA,1.99,NA,18.43,51,21
FEB,1,5,NA,1.97,NA,20.05,51,21
FEB,1,6,NA,1.96,NA,17.98,51,20
FEB,1,7,NA,1.88,NA,18.38,51,20
FEB,1,8,NA,1.77,NA,17.39,51,20
FEB,1,9,NA,1.72,NA,23.53,51,21
FEB,1,10,NA,1.68,NA,32.64,51,21
FEB,1,11,NA,1.66,NA,12.43,51,21
FEB,1,12,NA,1.66,NA,7.88,51,21
FEB,1,13,17.74,1.67,NA,3.96,51,21
FEB,1,14,20.46,1.68,NA,0.30,51,21
FEB,1,15,23.05,1.67,NA,0.30,51,21
FEB,1,16,28.63,1.67,NA,1.11,50,21
FEB,1,17,33.72,1.67,NA,2.52,50,20
FEB,1,18,38.57,1.66,NA,3.19,50,20
FEB,1,19,38.75,1.68,NA,17.95,50,20
FEB,1,20,34.60,1.74,NA,36.86,50,20
FEB,1,21,30.58,1.73,NA,20.43,51,20
FEB,1,22,26.43,1.72,NA,25.25,51,20
FEB,1,23,23.11,1.70,NA,8.89,51,20
FEB,2,0,19.86,1.72,NA,NA,52,20
FEB,2,1,16.17,1.73,NA,NA,52,20
FEB,2,2,NA,1.72,NA,NA,52,20
FEB,2,3,NA,1.72,NA,NA,52,20
FEB,2,4,NA,1.71,NA,NA,53,20
FEB,2,5,NA,1.73,NA,NA,53,20
FEB,2,6,NA,NA,NA,NA,NA,NA
FEB,2,7,NA,NA,NA,NA,NA,NA
FEB,2,8,NA,NA,NA,NA,NA,NA
FEB,2,9,NA,NA,NA,NA,NA,NA
FEB,2,10,NA,NA,NA,NA,NA,NA
FEB,2,11,NA,NA,NA,NA,NA,NA
FEB,2,12,NA,NA,NA,7.39,NA,NA
FEB,2,13,NA,NA,NA,3.50,NA,NA
FEB,2,14,NA,NA,NA,0.77,NA,NA
FEB,2,15,NA,NA,NA,0.30,NA,NA
FEB,2,16,NA,NA,NA,0.30,NA,NA
FEB,2,17,45.29,NA,NA,0.72,NA,NA
FEB,2,18,45.57,NA,NA,1.98,NA,NA
FEB,2,19,43.75,NA,NA,13.45,NA,NA
FEB,2,20,39.68,NA,NA,35.80,NA,NA
FEB,2,21,34.56,NA,NA,34.80,NA,NA
FEB,2,22,29.93,NA,NA,32.57,NA,NA
FEB,2,23,24.17,NA,NA,32.43,NA,NA
FEB,3,0,19.32,NA,NA,17.99,NA,NA
FEB,3,1,12.90,NA,NA,24.29,NA,NA
FEB,3,2,7.99,NA,NA,24.67,NA,NA
FEB,3,3,4.16,NA,0.682,23.18,NA,NA
FEB,3,4,NA,NA,NA,24.62,NA,NA
FEB,3,5,NA,1.84,NA,23.30,48,NA
FEB,3,6,NA,1.87,NA,16.76,48,NA
FEB,3,7,NA,2.03,NA,18.99,49,18
FEB,3,8,NA,2.27,NA,22.59,51,19
FEB,3,9,NA,2.68,NA,19.96,53,20
FEB,3,10,NA,2.95,NA,14.29,54,21
FEB,3,11,NA,3.03,NA,10.21,54,22
FEB,3,12,NA,3.00,NA,4.67,56,23
FEB,3,13,NA,3.00,NA,1.83,56,23
FEB,3,14,37.94,3.04,NA,1.89,56,24
FEB,3,15,40.56,3.08,NA,1.65,57,24
FEB,3,16,42.84,3.10,NA,1.22,58,24
FEB,3,17,48.72,3.11,NA,0.30,58,25
FEB,3,18,52.55,3.11,NA,0.30,58,25
FEB,3,19,52.87,3.12,NA,7.11,58,25
FEB,3,20,48.49,3.13,NA,19.33,58,25
FEB,3,21,43.83,3.11,NA,15.42,56,25
FEB,3,22,37.63,3.11,NA,20.75,56,25
FEB,3,23,32.59,3.09,NA,13.48,52,25
FEB,4,0,25.47,3.09,NA,NA,51,24
FEB,4,1,19.33,3.09,NA,21.95,51,24
FEB,4,2,13.80,3.08,NA,15.88,51,24
FEB,4,3,10.31,3.05,NA,17.71,50,24
FEB,4,4,9.19,2.86,NA,16.78,49,24
FEB,4,5,NA,2.65,NA,15.18,48,23
FEB,4,6,NA,2.67,NA,17.66,48,23
FEB,4,7,NA,3.07,NA,19.88,48,23
FEB,4,8,NA,3.35,NA,20.71,48,23
FEB,4,9,NA,3.11,NA,20.34,47,23
FEB,4,10,NA,3.06,NA,29.19,48,23
FEB,4,11,NA,3.00,NA,15.51,48,23
FEB,4,12,NA,2.99,NA,3.46,48,23
FEB,4,13,NA,2.99,NA,2.23,48,22
FEB,4,14,33.54,2.96,NA,0.30,48,22
FEB,4,15,37.32,2.94,NA,0.80,48,22
FEB,4,16,39.43,2.92,NA,1.35,47,22
FEB,4,17,46.54,2.91,NA,0.30,47,21
FEB,4,18,53.03,2.92,NA,0.30,48,21
FEB,4,19,54.35,2.92,NA,9.93,48,21
FEB,4,20,48.69,2.92,NA,43.30,48,21
FEB,4,21,42.00,3.01,NA,43.16,51,21
FEB,4,22,35.21,3.01,NA,38.91,56,23
FEB,4,23,28.32,3.03,NA,32.31,57,23
FEB,5,0,24.13,3.03,NA,12.36,58,24
FEB,5,1,18.67,3.05,NA,22.51,58,25
FEB,5,2,12.42,3.09,NA,29.27,60,25
FEB,5,3,7.40,3.09,NA,26.08,60,26
FEB,5,4,7.53,3.09,NA,22.83,60,26
FEB,5,5,11.24,3.35,NA,25.10,61,26
FEB,5,6,12.46,3.76,NA,23.26,63,28
FEB,5,7,13.72,3.38,NA,24.59,63,29
FEB,5,8,NA,3.12,NA,21.15,63,29
FEB,5,9,NA,3.28,NA,26.06,65,29
FEB,5,10,NA,4.08,NA,39.64,67,30
FEB,5,11,NA,4.17,NA,13.71,69,31
FEB,5,12,NA,4.19,NA,8.21,69,31
FEB,5,13,NA,4.43,NA,6.47,70,32
FEB,5,14,37.99,4.72,NA,5.55,70,32
FEB,5,15,43.33,4.92,NA,3.83,71,32
FEB,5,16,47.59,5.04,NA,1.06,71,33
FEB,5,17,56.34,5.06,NA,0.30,71,34
FEB,5,18,62.71,5.05,NA,0.30,71,34
FEB,5,19,63.00,5.04,NA,19.57,71,34
FEB,5,20,57.26,5.04,NA,45.08,72,34
FEB,5,21,50.26,5.02,NA,40.28,73,34
FEB,5,22,47.25,5.04,NA,40.30,74,33
FEB,5,23,42.56,5.05,NA,40.86,77,34
FEB,6,0,29.97,5.06,1.283,34.37,79,35
FEB,6,1,18.11,5.10,1.133,33.43,81,35
FEB,6,2,NA,5.16,1.133,34.90,82,36
FEB,6,3,NA,5.37,1.302,33.54,82,36
FEB,6,4,NA,5.44,NA,28.95,83,36
FEB,6,5,NA,5.24,NA,26.03,83,37
FEB,6,6,NA,4.85,NA,25.93,83,36
FEB,6,7,NA,4.82,NA,24.99,84,35
FEB,6,8,NA,4.78,NA,25.29,87,36
FEB,6,9,NA,4.60,NA,30.28,87,38
FEB,6,10,NA,3.90,NA,34.42,86,37
FEB,6,11,NA,4.09,NA,26.49,86,37
FEB,6,12,NA,4.20,NA,14.95,87,38
FEB,6,13,NA,4.08,NA,9.27,89,38
FEB,6,14,42.02,3.82,NA,2.66,90,40
FEB,6,15,42.02,3.73,NA,NA,92,41
FEB,6,16,42.02,3.72,NA,NA,95,41
FEB,6,17,54.87,3.73,NA,1.04,94,40
FEB,6,18,63.51,3.75,NA,0.30,94,43
FEB,6,19,65.63,3.83,NA,20.06,94,43
FEB,6,20,57.20,3.97,NA,56.24,95,43
FEB,6,21,47.64,3.97,NA,25.86,92,44
FEB,6,22,40.58,3.92,NA,10.20,86,43
FEB,6,23,37.75,3.88,NA,13.72,82,41
FEB,7,0,36.17,3.86,NA,7.76,78,40
FEB,7,1,28.02,3.81,NA,14.81,76,39
FEB,7,2,21.13,3.71,NA,15.96,73,37
FEB,7,3,15.67,3.49,NA,25.28,73,37
FEB,7,4,16.36,3.44,NA,26.37,71,36
FEB,7,5,16.85,3.39,NA,28.01,71,36
FEB,7,6,NA,3.30,NA,27.00,69,36
FEB,7,7,NA,3.14,NA,25.11,69,36
FEB,7,8,NA,3.24,NA,23.79,66,36
FEB,7,9,NA,3.77,NA,28.18,66,35
FEB,7,10,NA,4.06,NA,35.03,69,35
FEB,7,11,NA,3.94,NA,25.02,71,35
FEB,7,12,NA,3.90,NA,11.33,71,33
FEB,7,13,NA,3.91,NA,4.77,69,31
FEB,7,14,30.75,3.99,NA,4.52,68,30
FEB,7,15,34.58,3.90,NA,3.54,66,29
FEB,7,16,37.06,3.78,NA,4.34,64,29
FEB,7,17,44.23,3.75,NA,1.91,65,29
FEB,7,18,50.05,4.18,NA,8.77,65,27
FEB,7,19,50.52,4.27,NA,27.25,66,27
FEB,7,20,45.61,4.18,NA,44.20,67,26
FEB,7,21,39.68,4.28,NA,21.27,75,29
FEB,7,22,32.48,4.39,NA,30.88,87,32
FEB,7,23,25.44,4.53,NA,25.41,94,35
FEB,8,0,21.51,4.54,NA,6.35,97,36
FEB,8,1,17.43,4.73,NA,3.49,100,36
FEB,8,2,13.47,4.75,NA,1.93,101,38
FEB,8,3,12.95,4.91,NA,0.33,101,37
FEB,8,4,15.41,4.96,NA,0.30,102,38
FEB,8,5,16.32,6.57,NA,6.85,102,38
FEB,8,6,17.90,8.07,NA,6.17,103,38
FEB,8,7,19.63,8.74,NA,6.75,101,38
FEB,8,8,17.61,9.63,NA,13.55,99,37
FEB,8,9,15.88,9.63,NA,8.27,95,38
FEB,8,10,15.74,9.55,NA,5.08,91,36
FEB,8,11,16.87,9.31,NA,2.34,95,39
FEB,8,12,18.73,9.17,NA,3.09,100,39
FEB,8,13,22.65,9.07,NA,3.49,104,39
FEB,8,14,26.23,9.10,NA,5.93,109,40
FEB,8,15,29.62,9.41,NA,4.32,112,42
FEB,8,16,33.66,9.42,NA,3.94,114,43
FEB,8,17,36.41,9.43,NA,3.96,117,48
FEB,8,18,36.90,8.98,NA,5.06,120,48
FEB,8,19,34.98,8.83,NA,7.20,121,48
FEB,8,20,31.83,9.12,NA,7.70,119,48
FEB,8,21,27.39,10.52,NA,7.81,110,43
FEB,8,22,22.61,12.79,NA,9.04,98,39
FEB,8,23,18.26,14.43,NA,6.02,91,36
FEB,9,0,14.38,15.99,NA,4.46,87,34
FEB,9,1,10.63,19.00,NA,8.69,84,34
FEB,9,2,8.40,21.12,NA,4.53,83,33
FEB,9,3,7.33,22.78,NA,3.57,82,33
FEB,9,4,7.29,23.41,NA,0.30,81,32
FEB,9,5,7.75,22.68,NA,1.78,79,32
FEB,9,6,8.51,21.55,NA,0.83,77,31
FEB,9,7,8.18,21.06,NA,5.48,76,30
FEB,9,8,7.32,20.28,NA,9.37,75,29
FEB,9,9,7.07,19.90,NA,6.71,75,27
FEB,9,10,7.40,19.42,NA,2.66,73,27
FEB,9,11,8.46,19.48,NA,0.30,65,23
FEB,9,12,9.86,19.51,NA,1.08,59,22
FEB,9,13,12.02,19.47,NA,2.02,56,23
FEB,9,14,14.77,19.34,NA,3.33,52,23
FEB,9,15,18.60,19.00,NA,2.58,50,21
FEB,9,16,22.96,19.00,NA,3.87,48,19
FEB,9,17,27.22,19.00,NA,4.99,46,15
FEB,9,18,29.78,18.99,NA,6.03,43,15
FEB,9,19,30.16,19.03,NA,16.70,41,15
FEB,9,20,28.32,19.04,NA,24.55,41,15
FEB,9,21,26.01,17.72,NA,9.91,40,15
FEB,9,22,22.94,16.67,NA,7.94,40,14
FEB,9,23,19.31,16.50,NA,9.05,40,14
FEB,10,0,16.28,15.00,NA,4.43,39,14
FEB,10,1,13.38,11.83,NA,2.74,39,14
FEB,10,2,10.98,9.70,NA,3.11,39,13
FEB,10,3,9.79,7.89,NA,4.40,38,12
FEB,10,4,9.74,7.36,NA,7.49,37,12
FEB,10,5,9.63,6.61,NA,4.89,38,12
FEB,10,6,9.76,6.25,NA,2.61,37,12
FEB,10,7,9.96,6.06,NA,5.77,37,12
FEB,10,8,9.21,5.64,NA,7.03,36,12
FEB,10,9,8.98,5.41,NA,3.87,35,11
FEB,10,10,9.47,5.35,NA,3.52,35,11
FEB,10,11,10.97,5.33,NA,5.26,33,11
FEB,10,12,14.48,5.48,NA,7.21,33,11
FEB,10,13,19.74,5.55,NA,4.75,32,12
FEB,10,14,25.28,5.58,NA,1.76,32,12
FEB,10,15,31.34,5.62,NA,1.26,31,12
FEB,10,16,37.62,5.66,NA,1.09,31,12
FEB,10,17,42.92,5.69,NA,0.30,30,13
FEB,10,18,47.40,5.71,NA,0.30,31,13
FEB,10,19,50.55,5.68,NA,1.84,31,14
FEB,10,20,52.76,5.36,NA,29.31,31,14
FEB,10,21,53.23,5.17,NA,41.76,33,15
FEB,10,22,45.00,3.86,NA,33.65,35,16
FEB,10,23,39.07,2.28,NA,18.30,36,17
FEB,11,0,35.58,2.21,NA,3.96,36,18
FEB,11,1,29.09,2.19,NA,17.37,37,18
FEB,11,2,22.54,2.17,NA,18.72,38,19
FEB,11,3,NA,2.18,NA,27.35,40,19
FEB,11,4,NA,2.13,NA,26.83,42,20
FEB,11,5,14.84,2.31,NA,23.62,44,21
FEB,11,6,NA,2.35,NA,20.41,45,22
FEB,11,7,NA,2.38,NA,19.91,46,22
FEB,11,8,NA,2.42,NA,18.81,49,23
FEB,11,9,NA,2.45,NA,22.91,53,24
FEB,11,10,NA,2.47,NA,8.42,55,24
FEB,11,11,NA,2.44,NA,1.58,56,25
FEB,11,12,17.83,2.27,NA,0.30,55,25
FEB,11,13,24.78,2.19,NA,0.53,55,25
FEB,11,14,28.08,2.15,NA,0.37,54,25
FEB,11,15,34.97,2.09,NA,0.30,54,25
FEB,11,16,37.14,2.05,NA,0.30,55,25
FEB,11,17,43.09,2.01,NA,0.30,55,26
FEB,11,18,46.38,1.98,NA,0.30,54,26
FEB,11,19,47.13,1.97,NA,3.28,54,26
FEB,11,20,44.76,1.94,NA,16.14,54,NA
FEB,11,21,42.14,1.89,NA,14.39,52,NA
FEB,11,22,38.17,1.85,NA,16.04,51,NA
FEB,11,23,34.35,1.83,NA,10.84,50,NA
FEB,12,0,30.23,1.83,NA,10.66,50,NA
