DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ABR,1,0,39.09,2.55,0.241,13.74,52,24
ABR,1,1,32.72,2.54,0.240,6.50,52,24
ABR,1,2,26.77,2.53,0.243,6.34,51,23
ABR,1,3,21.68,2.39,0.241,7.89,51,22
ABR,1,4,18.19,2.05,0.226,8.46,50,22
ABR,1,5,15.07,1.85,0.213,8.73,49,22
ABR,1,6,12.16,1.74,0.209,9.63,48,21
ABR,1,7,9.80,1.72,0.227,12.93,47,21
ABR,1,8,7.72,1.72,0.263,13.08,46,20
ABR,1,9,7.95,1.72,0.311,9.38,45,19
ABR,1,10,9.35,1.73,0.353,9.69,43,18
ABR,1,11,13.51,1.74,0.374,6.22,41,18
ABR,1,12,19.21,1.73,0.379,0.97,39,17
ABR,1,13,25.36,1.69,0.377,0.36,39,17
ABR,1,14,32.00,1.54,0.371,1.24,38,17
ABR,1,15,39.63,1.46,0.332,0.30,38,16
ABR,1,16,47.24,1.42,0.280,0.64,39,16
ABR,1,17,53.40,1.40,0.231,0.88,39,16
ABR,1,18,58.54,1.39,0.190,1.07,41,15
ABR,1,19,60.32,1.37,0.174,4.02,41,16
ABR,1,20,58.88,1.36,0.197,11.06,41,16
ABR,1,21,56.93,1.36,0.212,8.41,42,15
ABR,1,22,54.38,1.35,0.219,8.81,42,15
ABR,1,23,50.38,1.30,0.230,11.38,42,15
ABR,2,0,45.77,1.28,0.233,11.57,41,15
ABR,2,1,38.40,1.28,0.244,30.70,40,15
ABR,2,2,31.95,1.30,0.246,23.59,40,15
ABR,2,3,28.40,1.29,0.238,9.84,41,16
ABR,2,4,27.10,1.31,0.206,4.86,41,16
ABR,2,5,23.67,1.32,0.185,19.70,41,16
ABR,2,6,19.80,1.31,0.173,21.06,41,16
ABR,2,7,15.99,1.37,0.223,30.68,42,16
ABR,2,8,12.66,1.51,0.303,28.11,44,17
ABR,2,9,12.44,1.67,0.357,25.23,46,18
ABR,2,10,13.84,1.77,0.399,17.00,47,18
ABR,2,11,15.69,1.85,0.428,7.57,48,18
ABR,2,12,18.10,1.87,0.434,1.99,48,18
ABR,2,13,22.86,1.87,0.437,0.85,48,18
ABR,2,14,28.39,1.87,0.442,1.80,48,18
ABR,2,15,35.27,1.87,0.381,2.02,48,18
ABR,2,16,42.56,1.88,0.294,0.30,48,18
