DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
AGO,1,0,22.91,10.47,0.633,4.75,57,19
AGO,1,1,20.25,10.21,0.592,1.75,56,19
AGO,1,2,20.26,9.93,0.560,2.11,54,19
AGO,1,3,19.56,10.45,0.484,7.89,55,20
AGO,1,4,18.98,9.92,0.345,7.58,55,20
AGO,1,5,19.20,9.47,0.178,8.98,54,20
AGO,1,6,17.85,9.23,0.189,12.15,54,20
AGO,1,7,14.75,9.05,0.249,12.95,53,20
AGO,1,8,13.81,8.88,0.309,8.35,53,20
AGO,1,9,14.37,8.76,0.360,4.17,52,20
AGO,1,10,14.53,8.65,0.391,0.93,51,20
AGO,1,11,17.67,8.64,0.417,0.30,50,19
AGO,1,12,22.82,8.68,0.443,0.97,49,19
AGO,1,13,28.25,8.73,0.457,0.30,49,19
AGO,1,14,35.58,8.68,0.448,2.48,49,19
AGO,1,15,43.18,8.75,0.393,2.57,48,18
AGO,1,16,49.67,8.66,0.352,3.53,48,18
AGO,1,17,53.91,8.27,0.322,2.71,46,17
AGO,1,18,57.41,8.13,0.305,2.17,46,17
AGO,1,19,59.00,7.63,0.319,7.90,46,17
AGO,1,20,57.21,6.59,0.322,8.16,47,17
AGO,1,21,52.72,4.71,0.385,10.23,45,17
AGO,1,22,47.26,4.70,0.388,12.27,45,16
AGO,1,23,42.16,4.71,0.377,5.81,44,16
AGO,2,0,37.37,4.63,0.361,6.45,44,15
AGO,2,1,32.18,4.66,0.339,6.25,44,15
AGO,2,2,25.54,5.34,0.323,13.43,43,15
AGO,2,3,21.55,4.83,0.282,3.96,43,15
AGO,2,4,19.54,5.06,0.253,3.95,42,14
AGO,2,5,18.74,5.80,0.168,5.43,42,14
AGO,2,6,15.91,5.87,0.168,14.91,42,14
AGO,2,7,13.42,5.91,0.213,13.09,42,14
AGO,2,8,10.87,5.98,0.258,9.51,41,13
AGO,2,9,10.48,6.05,0.306,9.00,41,13
AGO,2,10,12.89,6.16,0.343,4.98,41,13
AGO,2,11,15.03,6.15,0.367,2.98,41,13
AGO,2,12,17.96,6.13,0.376,0.48,40,13
AGO,2,13,21.63,6.11,0.385,0.30,39,13
AGO,2,14,27.65,6.16,0.371,1.63,38,13
AGO,2,15,33.94,6.31,0.334,2.12,38,12
AGO,2,16,40.32,6.47,0.291,0.30,38,13
AGO,2,17,45.37,6.62,0.259,1.17,38,13
AGO,2,18,49.08,6.74,0.233,2.20,37,12
AGO,2,19,51.92,6.94,0.232,5.09,38,12
AGO,2,20,52.37,7.16,0.255,14.37,37,12
AGO,2,21,50.70,6.84,0.289,21.64,38,13
AGO,2,22,46.09,6.64,0.354,34.97,38,13
AGO,2,23,41.65,6.56,0.364,24.21,39,13
AGO,3,0,35.90,6.64,0.369,25.04,39,13
AGO,3,1,30.60,6.72,0.358,15.56,39,13
AGO,3,2,25.42,6.15,0.345,7.84,40,13
AGO,3,3,19.27,5.84,0.325,10.49,39,13
AGO,3,4,14.42,5.25,0.294,12.34,39,13
AGO,3,5,11.79,4.46,0.255,8.20,39,13
AGO,3,6,10.94,4.33,0.195,13.06,39,13
AGO,3,7,9.09,4.37,0.214,16.42,38,12
AGO,3,8,8.28,4.33,0.250,11.82,38,13
AGO,3,9,7.85,4.21,0.292,9.98,38,13
AGO,3,10,9.07,4.11,0.331,5.81,38,13
AGO,3,11,11.88,4.05,0.373,6.23,38,12
AGO,3,12,15.63,3.96,0.403,5.20,38,12
AGO,3,13,18.96,3.85,0.425,4.43,38,12
AGO,3,14,23.65,3.83,0.435,3.82,39,12
AGO,3,15,30.51,3.87,0.411,2.09,39,12
AGO,3,16,38.25,3.87,0.379,1.09,39,12
