DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,1,0,29.81,4.84,0.210,6.31,41,13
SEP,1,1,26.56,4.79,0.204,2.40,41,13
SEP,1,2,23.07,5.06,0.195,6.57,42,13
SEP,1,3,21.00,5.06,0.182,4.79,42,13
SEP,1,4,19.90,4.98,0.166,3.82,42,13
SEP,1,5,18.27,4.73,0.165,5.43,42,14
SEP,1,6,15.88,4.64,0.179,7.56,42,14
SEP,1,7,13.57,4.60,0.202,10.56,42,14
SEP,1,8,12.09,4.54,0.241,8.46,41,14
SEP,1,9,11.22,4.47,0.290,7.35,41,14
SEP,1,10,13.20,4.39,0.320,3.99,41,14
SEP,1,11,15.86,4.37,0.337,2.87,41,14
SEP,1,12,18.98,4.30,0.358,3.36,41,14
SEP,1,13,23.52,4.28,0.366,2.64,40,14
SEP,1,14,29.18,4.19,0.358,2.29,40,14
SEP,1,15,35.29,4.08,0.337,2.89,39,14
SEP,1,16,40.16,3.97,0.312,3.47,39,14
SEP,1,17,44.04,3.91,0.266,0.30,39,14
SEP,1,18,45.46,3.85,0.240,1.81,38,14
SEP,1,19,44.98,3.55,0.231,3.53,38,14
SEP,1,20,43.17,3.67,0.219,5.80,38,14
SEP,1,21,39.89,4.54,0.215,8.54,38,14
SEP,1,22,36.38,5.12,0.214,5.87,38,14
SEP,1,23,32.86,4.95,0.210,2.48,38,14
SEP,2,0,29.92,4.94,0.193,1.33,37,14
SEP,2,1,26.64,5.04,0.190,1.76,36,14
SEP,2,2,23.95,4.82,0.183,0.77,35,14
SEP,2,3,22.15,4.95,0.169,3.19,35,14
SEP,2,4,21.63,5.43,0.155,3.37,34,14
SEP,2,5,21.40,5.77,0.147,3.83,34,14
SEP,2,6,19.07,5.90,0.181,14.66,33,14
SEP,2,7,16.48,5.93,0.251,14.52,34,14
SEP,2,8,13.81,6.07,0.345,15.70,34,14
SEP,2,9,12.18,6.45,0.419,16.89,35,15
SEP,2,10,12.37,7.11,0.450,8.45,36,15
SEP,2,11,13.87,7.29,0.478,5.27,36,15
SEP,2,12,15.47,7.39,0.505,4.73,36,15
SEP,2,13,17.73,7.41,0.529,4.00,36,15
SEP,2,14,21.95,7.49,0.504,3.16,35,15
SEP,2,15,26.77,7.53,0.437,2.27,36,15
SEP,2,16,32.10,7.65,0.342,1.13,35,15
SEP,2,17,36.48,7.79,0.274,1.95,34,15
SEP,2,18,37.53,7.87,0.275,7.57,37,15
SEP,2,19,36.80,8.09,0.305,14.28,38,15
SEP,2,20,34.85,8.01,0.343,19.12,39,15
SEP,2,21,33.07,7.23,0.339,12.57,39,15
SEP,2,22,30.83,6.66,0.335,11.20,39,15
SEP,2,23,29.08,6.65,0.334,4.53,38,15
SEP,3,0,27.54,6.75,0.331,1.61,38,15
SEP,3,1,26.06,6.71,0.323,1.03,38,15
SEP,3,2,25.72,6.62,0.291,1.61,38,14
SEP,3,3,26.41,6.37,0.234,0.30,37,14
SEP,3,4,26.97,5.89,0.171,5.89,36,14
SEP,3,5,24.88,5.57,0.151,15.45,36,14
SEP,3,6,22.87,5.44,0.181,15.70,37,13
SEP,3,7,20.10,5.44,0.241,18.13,37,13
SEP,3,8,17.39,5.40,0.311,13.08,36,13
SEP,3,9,16.31,5.13,0.360,10.09,35,12
SEP,3,10,16.63,4.51,0.393,6.28,34,12
SEP,3,11,17.98,4.39,0.419,3.53,34,12
SEP,3,12,20.72,4.32,0.440,4.03,34,12
SEP,3,13,25.68,4.36,0.460,4.07,34,12
SEP,3,14,31.16,4.41,0.435,3.40,34,12
SEP,3,15,36.92,4.53,0.373,1.88,34,12
SEP,3,16,41.41,4.61,0.317,5.75,34,12
SEP,3,17,44.79,4.50,0.268,1.82,34,12
SEP,3,18,46.37,4.33,0.234,3.19,32,11
SEP,3,19,45.55,4.11,0.224,9.48,32,12
SEP,3,20,44.69,3.95,0.216,7.47,32,12
SEP,3,21,42.71,3.62,0.214,12.77,31,11
SEP,3,22,40.82,3.01,0.215,9.20,30,11
SEP,3,23,37.36,2.87,0.219,10.76,30,11
SEP,4,0,32.73,2.82,0.219,20.40,32,11
