DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
DIC,1,0,19.91,3.10,0.652,6.32,63,28
DIC,1,1,13.85,3.01,0.685,8.60,62,28
DIC,1,2,8.25,2.96,0.717,8.66,62,28
DIC,1,3,7.09,2.92,0.680,9.93,62,28
DIC,1,4,7.03,2.87,0.588,9.80,62,28
DIC,1,5,6.78,2.87,0.446,10.31,62,28
DIC,1,6,7.19,2.89,0.366,11.00,62,27
DIC,1,7,6.17,3.02,0.410,11.81,62,27
DIC,1,8,3.67,3.25,0.458,10.34,61,28
DIC,1,9,2.96,3.37,0.508,11.47,59,27
DIC,1,10,3.70,3.34,0.557,13.71,57,27
DIC,1,11,7.92,3.39,0.576,12.46,57,27
DIC,1,12,14.89,3.75,0.572,9.48,NA,27
DIC,1,13,22.72,3.69,0.567,7.07,NA,27
DIC,1,14,26.46,3.57,0.556,6.68,NA,28
DIC,1,15,30.02,3.41,0.530,5.68,NA,28
DIC,1,16,36.62,3.44,0.495,5.38,NA,27
DIC,1,17,41.09,3.46,0.449,6.60,NA,27
DIC,1,18,44.08,3.45,0.404,7.01,NA,26
DIC,1,19,43.22,4.34,0.407,6.35,NA,26
DIC,1,20,39.59,5.18,0.431,5.72,NA,25
DIC,1,21,35.29,5.24,0.425,5.20,NA,24
DIC,1,22,31.22,5.28,0.410,4.37,NA,23
DIC,1,23,27.18,5.36,0.390,2.12,NA,22
DIC,2,0,23.35,5.47,0.367,1.08,NA,21
DIC,2,1,21.56,5.51,0.330,0.62,NA,21
DIC,2,2,20.09,5.63,0.294,0.51,NA,21
DIC,2,3,20.10,5.78,0.238,0.30,NA,20
DIC,2,4,20.82,6.05,0.180,0.30,NA,20
DIC,2,5,21.91,6.39,0.155,0.30,NA,19
DIC,2,6,21.93,6.53,0.139,0.30,NA,19
DIC,2,7,20.03,6.59,0.167,2.31,NA,19
DIC,2,8,17.92,6.61,0.216,4.67,NA,18
DIC,2,9,16.88,6.68,0.270,4.26,NA,18
DIC,2,10,17.39,6.65,0.299,2.13,43,17
DIC,2,11,18.45,6.59,0.327,0.83,43,16
DIC,2,12,20.26,6.33,0.349,0.81,43,16
DIC,2,13,22.37,6.46,0.379,1.91,42,15
DIC,2,14,25.44,6.57,0.412,2.91,41,15
DIC,2,15,30.03,6.61,0.400,2.97,40,15
DIC,2,16,35.03,6.70,0.373,2.87,39,15
DIC,2,17,38.24,6.90,0.353,3.89,39,16
DIC,2,18,38.96,7.06,0.386,5.80,37,16
DIC,2,19,37.00,6.32,0.476,11.91,36,16
DIC,2,20,33.36,5.57,0.649,16.01,37,17
DIC,2,21,28.82,5.63,0.787,16.85,41,18
DIC,2,22,24.64,5.64,0.786,11.49,43,20
DIC,2,23,20.76,5.62,0.770,5.89,43,20
DIC,3,0,16.37,5.54,0.749,2.71,43,20
DIC,3,1,12.27,5.45,0.719,3.82,44,19
DIC,3,2,9.78,5.25,0.656,0.98,44,19
DIC,3,3,8.55,5.09,0.544,1.91,44,19
DIC,3,4,8.02,4.78,0.355,4.00,45,19
DIC,3,5,7.88,4.42,0.196,4.20,46,19
DIC,3,6,7.09,4.24,0.174,5.07,46,19
DIC,3,7,5.59,4.05,0.199,5.54,46,19
DIC,3,8,4.37,3.78,0.266,6.21,47,19
DIC,3,9,3.80,3.59,0.337,6.53,47,18
DIC,3,10,3.29,3.48,0.392,7.80,48,18
DIC,3,11,5.14,3.40,0.416,9.06,48,19
DIC,3,12,9.85,3.41,0.421,6.15,49,19
DIC,3,13,17.06,3.31,0.423,3.27,49,19
DIC,3,14,25.56,3.16,0.425,1.81,50,19
