DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,1,0,53.32,52,5.89,0.384,5.08,42,11
JUL,1,1,50.52,49.01,5.92,0.389,5.14,29,12
JUL,1,2,47.89,46.2,5.98,0.385,4.31,20,15
JUL,1,3,43.11,44.15,5.99,0.368,5.93,15,13
JUL,1,4,39.99,43.32,5.99,0.344,7.68,11,12
JUL,1,5,40.27,44.72,6.02,0.327,7.86,8,14
JUL,1,6,34.94,44.59,6.04,0.33,10.35,7,11
JUL,1,7,29.52,42.45,6.08,0.354,13.28,11,11
JUL,1,8,34.71,40.12,6.1,0.375,10.7,9,11
JUL,1,9,35.33,38.22,6.14,0.401,11.89,10,12
JUL,1,10,50.11,38.5,6.31,0.503,14.61,15,16
JUL,1,11,71.8,42.09,7.06,0.657,14.15,35,29
JUL,1,12,88.42,48.14,7.77,0.743,11.26,43,39
JUL,1,13,101.31,55.77,8.12,0.826,10.51,44,39
JUL,1,14,112.27,65.44,9.1,0.903,10.09,43,43
JUL,1,15,103.77,74.72,9.58,0.918,8.52,31,47
JUL,1,16,87.88,81.36,9.81,0.904,6.58,19,50
JUL,1,17,77.69,86.66,9.89,0.863,5.39,14,35
JUL,1,18,77.29,90.05,9.95,0.747,5.6,21,29
JUL,1,19,73.3,90.24,10,0.591,8.48,21,22
JUL,1,20,53.84,85.92,10.04,0.5,9.7,32,18
JUL,1,21,49.85,79.48,10.35,0.504,10.69,40,14
JUL,1,22,36.8,70.05,10.93,0.443,12.46,51,10
JUL,1,23,37.93,61.82,11.11,0.397,8.23,42,14
JUL,2,0,35.16,55.23,11.15,0.382,7.59,33,11
JUL,2,1,36.68,50.11,11.18,0.384,8.41,27,12
JUL,2,2,35.38,44.87,11.19,0.387,8.47,24,14
JUL,2,3,41.83,40.93,11.22,0.376,5.16,20,13
JUL,2,4,37.33,38.87,11.23,0.369,5.71,16,11
JUL,2,5,31.63,36.59,11.22,0.272,7.6,14,9
JUL,2,6,25.89,35.23,11.27,0.252,11.2,13,10
JUL,2,7,11.94,31.98,11.29,0.281,21.29,16,11
JUL,2,8,27.72,31.05,11.36,0.306,10.78,18,12
JUL,2,9,31.84,30.44,11.42,0.33,8.39,15,15
JUL,2,10,35.97,30.52,11.43,0.359,8.61,11,15
JUL,2,11,45.08,30.92,10.86,0.385,8.46,24,19
JUL,2,12,51.61,32.71,10.27,0.415,8.2,31,22
JUL,2,13,56.13,35.77,9.94,0.449,8.57,28,23
JUL,2,14,61.01,40.16,9.27,0.476,9.65,24,32
JUL,2,15,74.15,47.94,9.52,0.487,6.42,22,28
JUL,2,16,71.89,53.46,10.15,0.506,8.03,30,28
JUL,2,17,71.58,58.43,10.94,0.52,8.14,30,27
JUL,2,18,67.66,62.39,11.25,0.496,5.42,27,23
JUL,2,19,62.83,64.61,11.27,0.461,4.7,24,18
JUL,2,20,54.98,65.03,11.35,0.44,12.4,33,15
JUL,2,21,42.26,63.3,11.16,0.415,10.55,44,17
JUL,2,22,43,61.04,10.67,0.382,8.07,49,17
JUL,2,23,39.27,56.68,10.59,0.344,8.37,45,12
JUL,3,0,34.46,52,10.67,0.302,8.94,43,16
JUL,3,1,26.28,46.34,10.73,0.264,9.66,42,18
JUL,3,2,27.74,41.35,10.84,0.257,7.37,44,18
JUL,3,3,16,35.5,10.97,0.265,9.57,41,19
JUL,3,4,19.44,31.06,11.12,0.257,8.03,43,20
JUL,3,5,25.18,28.92,11.25,0.248,8.6,42,20
JUL,3,6,23.27,26.46,11.34,0.261,11.84,44,21
JUL,3,7,19.38,23.97,11.45,0.293,16.16,47,23
JUL,3,8,19.34,22.08,11.53,0.337,13.25,54,24
JUL,3,9,29.28,22.45,11.61,0.367,8.7,54,25
JUL,3,10,36.2,23.51,11.64,0.398,8.03,54,23
JUL,3,11,44.25,27.04,11.67,0.435,8.86,51,24
JUL,3,12,52.74,31.2,11.74,0.467,9.9,48,23
JUL,3,13,64.46,36.11,11.67,0.485,8.36,45,27
JUL,3,14,71.31,42.12,11.43,0.481,7.64,40,36
JUL,3,15,69,48.32,10.71,0.453,7.99,29,31
JUL,3,16,68.21,54.43,9.91,0.41,7.48,24,20
JUL,3,17,66.76,59.12,9.16,0.382,9.19,27,15
JUL,3,18,66.15,62.86,8.99,0.368,7.76,20,12
JUL,3,19,44.69,62.92,9.11,0.352,8.86,34,10
JUL,3,20,33.09,60.46,10.07,0.381,13.85,44,10
JUL,3,21,27.93,55.89,11.89,0.634,11.32,48,10
JUL,3,22,24.28,50.01,13.79,0.845,10.77,55,8
JUL,3,23,22.78,44.24,13.93,0.837,8.59,56,13
JUL,4,0,24.14,38.73,13.95,0.834,6.44,53,11
JUL,4,1,21.05,33.01,13.98,0.827,7.74,45,11
JUL,4,2,20.27,27.28,14,0.808,8.08,38,11
JUL,4,3,15.29,23.6,13.99,0.787,10.94,33,14
JUL,4,4,14.29,21.25,14.15,0.732,11.81,29,16
JUL,4,5,13.64,19.47,14.21,0.459,11.69,31,16
JUL,4,6,9.51,17.62,14.23,0.247,13.18,29,20
JUL,4,7,6.31,15.56,14.23,0.275,15.01,31,19
JUL,4,8,10.5,13.86,14.25,0.326,13.44,39,21
JUL,4,9,22.17,14,14.26,0.38,10.71,46,24
JUL,4,10,31.88,15.45,14.28,0.415,8.05,43,23
JUL,4,11,41.88,18.77,14.3,0.453,9.04,36,20
JUL,4,12,49.3,23.15,14.31,0.473,7.66,55,18
JUL,4,13,51.29,27.85,14.28,0.496,7.34,54,17
JUL,4,14,54.49,33.48,14.15,0.508,9.34,49,19
JUL,4,15,58.66,40.02,14.09,0.505,8.17,34,20
JUL,4,16,63.61,46.66,14.02,0.471,7.85,26,19
JUL,4,17,67.1,52.27,13.94,0.432,7.36,20,13
JUL,4,18,69.27,56.95,13.78,0.406,6.86,17,15
JUL,4,19,59.46,59.15,13.66,0.371,7.44,20,14
JUL,4,20,49.95,59.23,12.69,0.359,10.39,32,12
