DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
DIC,1,0,0.0240,0.0284,NA,NA,37,9,0.0046
DIC,1,1,0.0244,0.0250,NA,NA,31,7,0.0040
DIC,1,2,0.0232,0.0226,0.0070,NA,25,6,0.0048
DIC,1,3,0.0227,0.0222,0.0069,NA,20,5,0.0049
DIC,1,4,0.0221,0.0225,0.0069,NA,16,3,0.0057
DIC,1,5,0.0201,0.0226,0.0069,NA,18,2,0.0064
DIC,1,6,0.0185,0.0222,0.0074,NA,22,4,0.0072
DIC,1,7,0.0145,0.0212,0.0075,NA,23,10,0.0102
DIC,1,8,0.0098,0.0194,0.0076,NA,29,12,0.0146
DIC,1,9,0.0109,0.0177,0.0078,NA,33,14,0.0141
DIC,1,10,0.0160,0.0168,0.0084,NA,40,17,0.0127
DIC,1,11,0.0215,0.0167,0.0088,NA,43,19,0.0129
DIC,1,12,0.0314,0.0179,0.0090,NA,41,22,0.0130
DIC,1,13,0.0408,0.0204,0.0090,0.279,48,31,0.0095
DIC,1,14,0.0471,0.0240,0.0090,0.279,42,30,0.0056
DIC,1,15,0.0463,0.0280,0.0090,0.279,42,25,0.0059
DIC,1,16,0.0431,0.0321,0.0090,NA,67,26,0.0051
DIC,1,17,0.0361,0.0353,0.0090,NA,72,25,0.0045
DIC,1,18,0.0319,0.0373,0.0090,NA,67,19,0.0050
DIC,1,19,0.0275,0.0380,0.0091,NA,63,17,0.0070
DIC,1,20,0.0247,0.0372,0.0091,NA,55,15,0.0096
DIC,1,21,0.0240,0.0351,0.0091,NA,48,14,0.0082
DIC,1,22,0.0207,0.0318,0.0092,NA,46,12,0.0087
DIC,1,23,0.0230,0.0289,0.0092,NA,44,16,0.0084
DIC,2,0,0.0254,0.0267,0.0092,NA,37,18,0.0067
DIC,2,1,0.0241,0.0251,0.0093,NA,31,18,0.0062
DIC,2,2,0.0175,0.0234,0.0094,NA,31,17,0.0116
DIC,2,3,0.0199,0.0224,0.0096,NA,33,18,0.0087
DIC,2,4,0.0140,0.0211,0.0097,NA,29,22,0.0133
DIC,2,5,0.0127,0.0197,0.0097,NA,27,21,0.0133
DIC,2,6,0.0094,0.0183,0.0093,NA,29,20,0.0144
DIC,2,7,0.0043,0.0159,0.0092,NA,34,19,0.0201
DIC,2,8,0.0044,0.0133,0.0092,NA,47,18,0.0243
DIC,2,9,0.0110,0.0117,0.0091,NA,66,20,0.0210
DIC,2,10,0.0194,0.0119,0.0086,NA,78,32,0.0223
DIC,2,11,0.0314,0.0133,0.0082,NA,104,31,0.0110
DIC,2,12,0.0403,0.0166,0.0079,NA,71,26,0.0056
DIC,2,13,0.0457,0.0208,0.0078,NA,47,24,0.0045
DIC,2,14,0.0493,0.0257,0.0077,NA,37,23,0.0046
DIC,2,15,0.0455,0.0309,0.0077,NA,30,20,0.0046
DIC,2,16,0.0462,0.0361,0.0076,NA,31,17,0.0044
DIC,2,17,0.0483,0.0408,0.0075,NA,31,17,0.0046
DIC,2,18,0.0409,0.0435,0.0075,NA,35,16,0.0072
