DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,1,0,0.0105,0.0212,0.0175,109,46,0.0146
ENE,1,1,0.0083,0.0177,0.0178,170,59,0.023
ENE,1,2,0.0093,0.0148,0.0180,343,186,0.0211
ENE,1,3,0.0098,0.0125,0.0180,360,266,0.0215
ENE,1,4,0.0084,0.0106,0.0179,333,261,0.0196
ENE,1,5,0.0077,0.0093,0.0180,294,227,0.0199
ENE,1,6,0.0037,0.0084,0.0179,239,201,0.0168
ENE,1,7,0.0029,0.0076,0.0181,205,165,0.0143
ENE,1,8,0.0038,0.0067,0.0181,160,129,0.0123
ENE,1,9,0.0077,0.0067,0.0184,126,103,0.0096
ENE,1,10,0.0171,0.0076,0.0190,115,86,0.0072
ENE,1,11,0.0247,0.0095,0.0189,128,70,0.0053
ENE,1,12,0.0293,0.0121,0.0188,118,47,0.0035
ENE,1,13,0.0345,0.0155,0.0185,251,29,0.0032
ENE,1,14,0.0373,0.0197,0.0184,351,23,0.0031
ENE,1,15,0.0406,0.0244,0.0183,447,26,0.0036
ENE,1,16,0.0403,0.0289,0.0182,NA,NA,0.0039
ENE,1,17,0.0393,0.0329,0.0181,460,NA,0.004
ENE,1,18,0.0403,0.0358,0.0180,246,NA,0.0044
ENE,1,19,0.032,0.0367,0.0180,149,NA,0.0071
ENE,1,20,0.025,0.0362,0.0181,105,NA,0.0113
ENE,1,21,0.0262,0.0351,0.0181,85,NA,0.0088
ENE,1,22,0.0268,0.0338,0.0181,64,NA,0.0071
ENE,1,23,0.0269,0.0321,0.0180,49,NA,0.0065
ENE,2,0,0.018,0.0293,0.0180,45,27,0.0116
ENE,2,1,0.0107,0.0257,0.0176,64,27,0.0158
ENE,2,2,0.0045,0.0213,0.0171,71,34,0.0191
ENE,2,3,0.0045,0.0178,0.0169,79,34,0.0169
ENE,2,4,0.0042,0.0152,0.0168,71,34,0.0163
ENE,2,5,0.0031,0.0123,0.0166,65,26,0.016
ENE,2,6,0.0035,0.0094,0.0165,57,22,0.0154
ENE,2,7,0.0048,0.0067,0.0170,60,22,0.0145
ENE,2,8,0.0038,0.0049,0.0177,65,26,0.0156
ENE,2,9,0.0065,0.0044,0.0219,87,29,0.016
ENE,2,10,0.0149,0.0057,0.0215,97,42,0.0129
