DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
FEB,1,0,0.0272,0.0299,0.0354,NA,84,32,0.0037
FEB,1,1,0.0277,0.0276,0.0353,NA,65,22,0.0038
FEB,1,2,0.0288,0.0261,0.0352,NA,46,16,0.0032
FEB,1,3,0.0275,0.0258,0.0351,NA,32,14,0.0031
FEB,1,4,0.0267,0.0259,0.0348,NA,25,14,0.0032
FEB,1,5,0.0267,0.0265,0.0337,NA,20,15,0.0033
FEB,1,6,0.0239,0.0266,0.0327,NA,20,15,0.0041
FEB,1,7,0.0229,0.0264,0.0320,NA,20,14,0.0052
FEB,1,8,0.0186,0.0254,0.0302,NA,22,13,0.0078
FEB,1,9,0.0205,0.0245,0.0317,NA,28,12,0.0100
FEB,1,10,0.0249,0.0240,0.0312,NA,33,17,0.0055
FEB,1,11,0.0268,0.0239,0.0305,NA,41,14,0.0056
FEB,1,12,0.0282,0.0241,0.0303,NA,47,12,0.0065
FEB,1,13,0.0309,0.0246,0.0303,NA,57,11,0.0072
FEB,1,14,0.0336,0.0258,0.0303,NA,60,10,0.0079
FEB,1,15,0.0349,0.0273,0.0303,NA,60,14,0.0074
FEB,1,16,0.0350,0.0294,0.0302,NA,59,17,0.0077
FEB,1,17,0.0341,0.0311,0.0303,NA,61,18,0.0078
FEB,1,18,0.0322,0.0320,0.0306,NA,64,15,0.0078
FEB,1,19,0.0247,0.0317,0.0297,NA,66,18,0.0112
FEB,1,20,0.0204,0.0307,0.0276,NA,65,13,0.0124
FEB,1,21,0.0197,0.0293,0.0257,NA,62,11,0.0113
FEB,1,22,0.0202,0.0277,0.0241,NA,60,10,0.0104
FEB,1,23,0.0199,0.0258,0.0210,NA,55,15,0.0087
FEB,2,0,0.0208,0.0240,0.0212,NA,45,15,0.0068
FEB,2,1,0.0229,0.0226,0.0213,NA,38,14,0.0049
FEB,2,2,0.0244,0.0216,0.0214,NA,32,11,0.0042
FEB,2,3,0.0267,0.0219,0.0215,NA,27,6,0.0036
FEB,2,4,0.0252,0.0225,0.0216,NA,25,4,0.0038
FEB,2,5,0.0219,0.0227,0.0218,NA,24,2,0.0055
FEB,2,6,0.0205,0.0228,0.0220,NA,24,2,0.0060
FEB,2,7,0.0144,0.0221,0.0221,NA,28,5,0.0105
FEB,2,8,0.0116,0.0210,0.0224,NA,30,7,0.0132
FEB,2,9,0.0145,0.0199,0.0205,NA,37,8,0.0127
FEB,2,10,0.0186,0.0192,0.0210,NA,39,10,0.0108
FEB,2,11,0.0229,0.0187,0.0211,NA,36,13,0.0098
FEB,2,12,0.0276,0.0190,0.0213,NA,34,12,0.0095
FEB,2,13,0.0320,0.0203,0.0214,NA,30,18,0.0090
FEB,2,14,0.0358,0.0222,0.0217,NA,27,23,0.0072
FEB,2,15,0.0400,0.0254,0.0220,NA,29,21,0.0060
FEB,2,16,0.0420,0.0292,0.0225,NA,28,18,0.0065
FEB,2,17,0.0429,0.0327,0.0227,NA,29,16,0.0057
FEB,2,18,0.0441,0.0359,0.0230,NA,32,14,0.0061
FEB,2,19,0.0337,0.0373,0.0232,NA,45,14,0.0137
FEB,2,20,0.0159,0.0358,0.0235,NA,73,18,0.0288
FEB,2,21,0.0059,0.0325,0.0234,NA,95,25,0.0367
FEB,2,22,0.0079,0.0290,0.0226,NA,97,29,0.0227
