DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MARZO,1,0,0.0261,0.0462,0.0067,0.506,75,28,0.016
MARZO,1,1,0.0234,0.041,0.0067,0.521,74,29,0.0172
MARZO,1,2,0.0309,0.0367,0.0067,0.528,69,29,0.0127
MARZO,1,3,0.0362,0.0336,0.0067,0.516,62,29,0.0075
MARZO,1,4,0.036,0.0323,0.0067,0.484,51,26,0.0053
MARZO,1,5,0.029,0.031,0.0067,0.448,46,22,0.0079
MARZO,1,6,0.0199,0.029,0.0067,0.43,48,20,0.0134
MARZO,1,7,0.0113,0.0266,0.0067,0.436,56,24,0.0212
MARZO,1,8,0.0111,0.0247,0.0067,0.529,75,31,0.0219
MARZO,1,9,0.0157,0.0238,0.0067,0.633,101,34,0.0239
MARZO,1,10,0.0346,0.0242,0.0067,0.666,87,36,0.0155
MARZO,1,11,0.0576,0.0269,0.0067,0.678,71,32,0.0055
MARZO,1,12,0.0633,0.0303,0.0067,0.692,56,28,0.0055
MARZO,1,13,0.0725,0.0357,0.0067,0.7,49,23,0.0047
MARZO,1,14,0.0777,0.043,0.0068,0.703,44,24,0.0055
MARZO,1,15,0.0819,0.0518,0.0068,0.673,42,27,0.0049
MARZO,1,16,0.0791,0.0603,0.0069,0.554,33,27,0.0043
MARZO,1,17,0.0793,0.0683,0.0069,0.436,32,28,0.0042
MARZO,1,18,0.0811,0.0741,0.0069,0.392,39,24,0.0048
MARZO,1,19,0.0638,0.0749,0.0069,0.393,51,24,0.0079
MARZO,1,20,0.0236,0.0699,0.007,0.44,79,24,0.0266
MARZO,1,21,0.0208,0.0634,0.007,0.529,110,29,0.0281
MARZO,1,22,0.0349,0.0581,0.0072,0.558,122,38,0.0157
MARZO,1,23,0.041,0.053,0.0073,0.559,165,42,0.007
MARZO,2,0,0.0454,0.0488,0.0073,0.556,200,45,0.0045
MARZO,2,1,0.0379,0.0436,0.009,0.549,151,46,0.0074
MARZO,2,2,0.0369,0.038,0.0108,0.545,112,48,0.0082
MARZO,2,3,0.0465,0.0359,0.0109,0.525,82,48,0.0036
MARZO,2,4,0.0372,0.0376,0.0131,0.463,67,40,0.009
MARZO,2,5,0.04,0.04,0.0138,0.365,61,44,0.006
MARZO,2,6,0.0394,0.0405,0.0138,0.318,56,42,0.005
MARZO,2,7,0.0322,0.0394,0.0138,0.317,57,37,0.0083
MARZO,2,8,0.0267,0.0371,0.0138,0.344,54,36,0.0111
MARZO,2,9,0.0315,0.0363,0.0137,0.37,52,33,0.0091
MARZO,2,10,0.037,0.0363,0.0137,0.399,58,33,0.0073
MARZO,2,11,0.0436,0.0359,0.0139,0.436,60,30,0.0082
MARZO,2,12,0.0531,0.0379,0.014,0.471,61,32,0.0085
MARZO,2,13,0.0622,0.0407,0.014,0.497,52,33,0.0073
MARZO,2,14,0.066,0.044,0.014,0.511,33,39,0.0055
MARZO,2,15,0.0698,0.0487,0.014,0.5,26,36,0.004
MARZO,2,16,0.0702,0.0542,0.014,0.469,28,32,0.0043
MARZO,2,17,0.0697,0.0589,0.014,0.44,30,27,0.004
MARZO,2,18,0.0671,0.0627,0.014,0.404,32,23,0.0038
MARZO,2,19,0.0557,0.0642,0.0139,0.373,41,22,0.0076
MARZO,2,20,0.0359,0.062,0.0139,0.361,66,18,0.017
MARZO,2,21,0.0368,0.0589,0.0139,0.355,104,20,0.0121
MARZO,2,22,0.038,0.0554,0.0137,0.342,98,17,0.0055
MARZO,2,23,0.0287,0.0503,0.0136,0.35,87,18,0.0095
MARZO,3,0,0.0241,0.0445,0.0136,0.349,78,18,0.0075
MARZO,3,1,0.0199,0.0383,0.0122,0.342,64,15,0.011
MARZO,3,2,0.025,0.033,0.0104,0.337,48,13,0.0052
MARZO,3,3,0.0202,0.0286,0.0104,0.322,34,11,0.009
MARZO,3,4,0.0141,0.0259,0.0085,0.29,32,13,0.0148
MARZO,3,5,0.0071,0.0221,0.0084,0.271,40,14,0.0257
MARZO,3,6,0.0089,0.0185,0.0086,0.268,49,20,0.0157
MARZO,3,7,0.0078,0.0159,0.0086,0.275,42,15,0.0137
MARZO,3,8,0.0087,0.014,0.0086,0.324,40,16,0.0135
MARZO,3,9,0.0133,0.0131,0.0086,0.379,48,16,0.0125
MARZO,3,10,0.0211,0.0127,0.0087,0.436,57,20,0.0123
MARZO,3,11,0.0351,0.0145,0.0087,0.474,61,24,0.0108
MARZO,3,12,0.0518,0.0192,0.0086,0.495,61,24,0.0082
MARZO,3,13,0.0622,0.0261,0.0086,0.508,52,24,0.0058
MARZO,3,14,0.0704,0.0338,0.0087,0.512,39,23,0.0048
MARZO,3,15,0.0756,0.0423,0.0087,0.497,28,22,0.0047
MARZO,3,16,0.0731,0.0503,0.0087,0.447,20,28,0.0043
MARZO,3,17,0.0721,0.0577,0.0087,0.396,21,30,0.004
MARZO,3,18,0.0706,0.0639,0.0087,0.346,28,24,0.0044
MARZO,3,19,0.0622,0.0672,0.0087,0.329,41,22,0.0086
MARZO,3,20,0.0177,0.063,0.0087,0.424,74,18,0.0349
MARZO,3,21,0.0109,0.0566,0.0087,0.495,108,19,0.0355
MARZO,3,22,0.0142,0.0496,0.0088,0.554,122,26,0.0301
MARZO,3,23,0.0345,0.0444,0.0088,0.589,105,34,0.0139
MARZO,4,0,0.0229,0.0381,0.0089,0.615,96,33,0.0194
MARZO,4,1,0.0152,0.031,0.009,0.661,94,31,0.022
MARZO,4,2,0.0176,0.0244,0.0091,0.687,96,37,0.0187
MARZO,4,3,0.0355,0.0211,0.009,0.676,81,35,0.0057
MARZO,4,4,0.0343,0.0231,0.0087,0.571,58,29,0.0048
MARZO,4,5,0.0306,0.0256,0.008,0.485,46,27,0.006
MARZO,4,6,0.0282,0.0273,0.0078,0.427,43,24,0.0071
MARZO,4,7,0.0095,0.0242,0.0078,0.422,48,25,0.0192
MARZO,4,8,0.0106,0.0227,0.0078,0.456,53,29,0.0194
MARZO,4,9,0.0191,0.0232,0.0078,0.456,61,29,0.0168
MARZO,4,10,0.0362,0.0255,0.0077,0.452,62,31,0.009
MARZO,4,11,0.0514,0.0275,0.0076,0.467,57,31,0.0079
MARZO,4,12,0.061,0.0308,0.0076,0.467,48,31,0.0047
MARZO,4,13,0.0712,0.0359,0.0076,0.473,41,25,0.0056
MARZO,4,14,0.0664,0.0407,0.0075,0.47,32,25,0.0043
MARZO,4,15,0.071,0.0484,0.0074,0.436,25,21,0.0042
MARZO,4,16,0.0723,0.0561,0.0074,0.375,27,21,0.0042
MARZO,4,17,0.0715,0.0626,0.0074,0.331,26,22,0.0044
MARZO,4,18,0.0672,0.0665,0.0074,0.307,27,26,0.0045
MARZO,4,19,0.0557,0.067,0.0074,0.302,34,24,0.0098
MARZO,4,20,0.0335,0.0636,0.0073,0.351,60,22,0.0207
MARZO,4,21,0.0398,0.0597,0.0073,0.371,82,23,0.0162
MARZO,4,22,0.0515,0.0578,0.0073,0.387,95,19,0.0114
MARZO,4,23,0.0475,0.0549,0.0073,0.412,100,20,0.0134
MARZO,5,0,0.0395,0.0508,0.0072,0.445,90,24,0.0171
MARZO,5,1,0.0336,0.046,0.0069,0.476,85,30,0.0225
MARZO,5,2,0.0427,0.043,0.0068,0.492,79,31,0.0141
MARZO,5,3,0.0472,0.0419,0.0068,0.477,66,32,0.0066
MARZO,5,4,0.0377,0.0424,0.0068,0.421,57,30,0.0075
MARZO,5,5,0.03,0.0412,0.0068,0.389,52,29,0.0106
MARZO,5,6,0.0266,0.0381,0.0068,0.367,49,27,0.0108
MARZO,5,7,0.0136,0.0339,0.0068,0.369,49,25,0.0196
MARZO,5,8,0.0091,0.0301,0.0069,0.438,68,26,0.0248
MARZO,5,9,0.0187,0.0282,0.0069,0.491,79,31,0.0224
MARZO,5,10,0.0477,0.0288,0.0069,0.491,68,34,0.008
MARZO,5,11,0.0554,0.0298,0.0069,0.505,56,29,0.0061
MARZO,5,12,0.0592,0.0325,0.0069,0.517,49,24,0.0054
MARZO,5,13,0.0618,0.0365,0.0069,0.531,40,20,0.0052
MARZO,5,14,0.0571,0.0403,0.0068,0.543,29,18,0.0048
MARZO,5,15,0.0585,0.0459,0.0068,0.526,20,16,0.0044
MARZO,5,16,0.0647,0.0529,0.0068,0.429,19,19,0.0045
MARZO,5,17,0.0648,0.0587,0.0068,0.342,17,21,0.0039
MARZO,5,18,0.0582,0.06,0.0068,0.331,19,20,0.0045
MARZO,5,19,0.0429,0.0584,0.0068,0.336,30,18,0.0116
MARZO,5,20,0.0117,0.0525,0.0068,0.423,61,15,0.0302
MARZO,5,21,0.0222,0.0475,0.0068,0.464,90,20,0.0205
MARZO,5,22,0.0314,0.0443,0.0068,0.493,95,17,0.0142
MARZO,5,23,0.0331,0.0411,0.0068,0.503,86,16,0.0121
MARZO,6,0,0.0224,0.0358,0.0067,0.537,79,18,0.0199
MARZO,6,1,0.0248,0.0308,0.0068,0.564,78,20,0.0142
MARZO,6,2,0.0373,0.0282,0.0068,0.568,87,26,0.0052
MARZO,6,3,0.0387,0.0277,0.0073,0.555,77,24,0.0056
MARZO,6,4,0.0372,0.0309,0.0082,0.463,65,27,0.007
MARZO,6,5,0.0308,0.032,0.0107,0.413,59,27,0.0116
MARZO,6,6,0.0314,0.032,0.0127,0.38,69,32,0.0104
MARZO,6,7,0.026,0.0311,0.0155,0.371,65,34,0.0135
MARZO,6,8,0.0275,0.0317,0.0167,0.359,61,39,0.0114
MARZO,6,9,0.0335,0.0328,0.0169,0.357,68,36,0.0074
MARZO,6,10,0.0376,0.0328,0.0169,0.381,111,34,0.0064
MARZO,6,11,0.0418,0.0332,0.0169,0.409,114,28,0.0073
MARZO,6,12,0.0485,0.0346,0.0169,0.441,109,26,0.0073
MARZO,6,13,0.0543,0.0376,0.0169,0.475,101,24,0.008
MARZO,6,14,0.0591,0.0411,0.0171,0.505,76,23,0.0079
MARZO,6,15,0.0606,0.0454,0.0178,0.528,60,24,0.0084
MARZO,6,16,0.0608,0.0495,0.0188,0.536,48,27,0.0081
MARZO,6,17,0.0647,0.0534,0.0202,0.545,40,27,0.0068
MARZO,6,18,0.0619,0.0565,0.0208,0.536,41,29,0.0055
MARZO,6,19,0.0503,0.0575,0.021,0.527,45,26,0.0067
MARZO,6,20,0.0418,0.0567,0.0218,0.539,65,20,0.0086
MARZO,6,21,0.0348,0.0543,0.0238,0.537,82,16,0.01
MARZO,6,22,0.0349,0.0512,0.0239,0.527,97,19,0.0074
MARZO,6,23,0.0379,0.0484,0.0239,0.505,84,19,0.0061
MARZO,7,0,0.0378,0.0455,0.0239,0.476,65,17,0.0058
MARZO,7,1,0.0384,0.0423,0.0238,0.443,56,17,0.0047
MARZO,7,2,0.0388,0.0394,0.0238,0.421,47,17,0.0044
MARZO,7,3,0.0374,0.0377,0.0233,0.396,36,16,0.0046
MARZO,7,4,0.0377,0.0372,0.0223,0.344,29,14,0.0044
MARZO,7,5,0.0346,0.0372,0.021,0.305,29,14,0.0056
MARZO,7,6,0.0322,0.0368,0.0204,0.278,44,18,0.0062
MARZO,7,7,0.0276,0.0356,0.0179,0.268,47,25,0.0076
MARZO,7,8,0.0237,0.0338,0.0181,0.279,50,23,0.0098
MARZO,7,9,0.0291,0.0326,0.0184,0.304,59,27,0.0089
MARZO,7,10,0.0372,0.0324,0.0184,0.332,49,25,0.0077
MARZO,7,11,0.0452,0.0334,0.0187,0.37,45,22,0.0079
MARZO,7,12,0.0585,0.036,0.0189,0.393,46,25,0.0069
MARZO,7,13,0.0632,0.0396,0.0189,0.407,39,26,0.0055
MARZO,7,14,0.0632,0.0435,0.0189,0.416,24,29,0.0047
MARZO,7,15,0.0599,0.0475,0.0183,0.419,13,36,0.0044
MARZO,7,16,0.0542,0.0513,0.0174,0.397,10,26,0.0037
MARZO,7,17,0.0562,0.0547,0.0161,0.367,7,22,0.0038
MARZO,7,18,0.0557,0.057,0.0154,0.336,8,18,0.0042
MARZO,7,19,0.0467,0.0572,0.0152,0.3,20,18,0.0066
MARZO,7,20,0.0353,0.0543,0.0145,0.288,39,16,0.0077
MARZO,7,21,0.0313,0.0503,0.0124,0.285,51,16,0.0079
MARZO,7,22,0.0284,0.046,0.0124,0.282,61,10,0.0085
MARZO,7,23,0.0147,0.0403,0.0124,0.341,64,7,0.0172
MARZO,8,0,0.0271,0.0369,0.0131,0.351,80,13,0.0094
MARZO,8,1,0.0337,0.0341,0.0132,0.35,98,18,0.0055
MARZO,8,2,0.038,0.0319,0.0132,0.347,87,16,0.0042
MARZO,8,3,0.0386,0.0309,0.0132,0.341,70,17,0.0039
MARZO,8,4,0.037,0.0311,0.0132,0.33,62,15,0.0043
MARZO,8,5,0.0339,0.0314,0.0121,0.319,50,15,0.0058
MARZO,8,6,0.0322,0.0319,0.0106,0.316,41,19,0.0067
MARZO,8,7,0.031,0.0339,0.0104,0.261,34,15,0.0083
MARZO,8,8,0.0257,0.0338,0.009,0.281,37,12,0.0117
