DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,1,0,NA,0.0503,NA,0.745,NA,NA,NA
MAYO,1,1,0.0347,0.0457,NA,0.690,56,31,0.0074
MAYO,1,2,0.0363,0.0421,NA,0.639,53,33,0.0065
MAYO,1,3,0.0335,0.0397,NA,0.560,47,32,0.0071
MAYO,1,4,0.0317,0.0374,NA,0.505,41,29,0.0079
MAYO,1,5,0.0256,0.0345,NA,0.451,38,25,0.0107
MAYO,1,6,0.0219,0.0315,NA,0.406,45,29,0.0134
MAYO,1,7,0.0240,0.0297,NA,0.368,45,60,0.0117
MAYO,1,8,0.0279,0.0294,NA,0.408,48,52,0.0102
MAYO,1,9,0.0377,0.0298,NA,0.417,43,43,0.0056
MAYO,1,10,0.0447,0.0309,NA,0.417,43,39,0.006
MAYO,1,11,0.0494,0.0329,NA,0.420,45,41,0.0054
MAYO,1,12,0.0519,0.0354,NA,0.424,41,32,0.0045
MAYO,1,13,0.0502,0.0385,NA,0.429,41,35,0.004
MAYO,1,14,0.0534,0.0424,NA,0.420,40,37,0.0037
MAYO,1,15,0.0555,0.0463,NA,0.396,44,30,0.0037
MAYO,1,16,0.0562,0.0499,NA,0.349,53,25,0.0035
MAYO,1,17,0.0538,0.0519,NA,0.336,51,21,0.0032
MAYO,1,18,0.0535,0.0530,NA,0.333,55,17,0.0031
MAYO,1,19,0.0508,0.0532,NA,0.329,62,16,0.0035
MAYO,1,20,0.0443,0.0522,NA,0.332,60,16,0.0047
MAYO,1,21,0.0389,0.0508,NA,0.333,61,20,0.0054
MAYO,1,22,0.0360,0.0486,NA,0.335,57,22,0.0049
MAYO,1,23,0.0315,0.0456,NA,0.334,47,20,0.0051
MAYO,2,0,0.0325,0.0427,NA,0.334,43,19,0.0046
MAYO,2,1,0.0328,0.0401,NA,0.328,39,19,0.0041
MAYO,2,2,0.0293,0.0370,NA,0.318,43,22,0.0053
MAYO,2,3,0.0262,0.0339,NA,0.306,46,28,0.0059
MAYO,2,4,0.0265,0.0317,NA,0.288,42,27,0.0049
MAYO,2,5,0.0246,0.0299,NA,0.273,39,22,0.0051
MAYO,2,6,0.0253,0.0286,NA,0.276,37,16,0.0057
MAYO,2,7,0.0146,0.0265,NA,0.307,43,24,0.0126
MAYO,2,8,0.0239,0.0254,NA,0.317,43,25,0.0075
MAYO,2,9,0.0339,0.0255,NA,0.318,37,18,0.0052
MAYO,2,10,0.0394,0.0268,NA,0.318,30,16,0.0045
MAYO,2,11,0.0428,0.0289,NA,0.319,26,20,0.0037
MAYO,2,12,0.0451,0.0312,NA,0.319,24,18,0.0036
MAYO,2,13,0.0490,0.0342,NA,0.316,22,17,0.0045
MAYO,2,14,0.0544,0.0379,NA,0.298,19,17,0.0035
MAYO,2,15,0.0559,0.0430,NA,0.263,16,11,0.0032
MAYO,2,16,0.0569,0.0471,NA,0.248,18,10,0.0031
MAYO,2,17,0.0572,0.0501,NA,0.250,23,10,0.0025
MAYO,2,18,0.0546,0.0520,NA,0.258,28,7,0.0026
MAYO,2,19,0.0502,0.0529,NA,0.267,31,6,0.004
MAYO,2,20,0.0402,0.0523,NA,0.288,42,5,0.008
MAYO,2,21,0.0309,0.0500,NA,0.333,50,7,0.0138
MAYO,2,22,0.0351,0.0476,NA,0.370,57,12,0.0099
MAYO,2,23,0.0382,0.0454,NA,0.413,59,12,0.0049
MAYO,3,0,0.0329,0.0424,NA,0.441,50,22,0.0049
