DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
JUNIO,1,0,0.0359,NA,NA,NA,32,20,0.0072
JUNIO,1,1,0.0350,NA,NA,NA,17,18,0.0058
JUNIO,1,2,0.0282,NA,NA,NA,15,16,0.0101
JUNIO,1,3,0.0270,NA,NA,NA,19,16,0.0095
JUNIO,1,4,0.0251,NA,NA,NA,17,16,0.0092
JUNIO,1,5,0.0196,0.0285,NA,0.129606333,19,16,0.0140
JUNIO,1,6,0.0131,0.0263,NA,0.140691571,22,18,0.0176
JUNIO,1,7,0.0019,0.0232,NA,0.183101375,22,17,0.0267
JUNIO,1,8,0.0046,0.0193,NA,0.230858625,28,18,0.0264
JUNIO,1,9,0.0184,0.0172,NA,0.25430325,30,22,0.0176
JUNIO,1,10,0.0300,0.0175,NA,0.270785625,25,23,0.0124
JUNIO,1,11,0.0418,0.0193,NA,0.289317625,29,26,0.0121
JUNIO,1,12,0.0530,0.0228,NA,0.306887625,106,36,0.0117
JUNIO,1,13,0.0649,0.0285,NA,0.312976,133,40,0.0098
JUNIO,1,14,0.0620,0.0346,NA,0.317384125,81,39,0.0099
JUNIO,1,15,0.0613,0.0420,NA,0.28419425,52,40,0.0085
JUNIO,1,16,0.0618,0.0492,NA,0.23854025,40,34,0.0078
JUNIO,1,17,0.0490,0.0530,0.0045,0.22387225,49,30,0.0084
JUNIO,1,18,0.0359,0.0537,0.0044,0.223536625,54,24,0.0116
JUNIO,1,19,0.0281,0.0520,0.0045,0.22953475,44,18,0.0139
JUNIO,1,20,0.0224,0.0482,0.0045,0.24119,39,23,0.0149
JUNIO,1,21,0.0240,0.0431,0.0048,0.239397875,40,26,0.0107
JUNIO,1,22,0.0269,0.0387,0.0048,0.227780375,39,26,0.0071
JUNIO,1,23,0.0284,0.0346,0.0047,0.2156225,34,21,0.0048
JUNIO,2,0,0.0301,0.0306,0.0047,0.209287,38,18,0.0060
JUNIO,2,1,0.0247,0.0276,0.0048,0.201377375,24,16,0.0063
JUNIO,2,2,0.0220,0.0258,0.0047,0.18296325,18,15,0.0061
JUNIO,2,3,0.0215,0.0250,0.0046,0.165184714,16,15,0.0072
