DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,1,0,NA,0.031,0.007,2.1078,NA,NA,NA
NOVIEMBRE,1,1,0.0177,0.0265,0.0071,2.1162,NA,NA,0.0302
NOVIEMBRE,1,2,0.0175,0.0229,0.0075,2.0606,NA,NA,0.0277
NOVIEMBRE,1,3,0.0094,0.0169,0.0079,1.9933,NA,NA,0.0323
NOVIEMBRE,1,4,0.0054,0.0144,0.0081,1.9436,NA,NA,0.0381
NOVIEMBRE,1,5,0.0094,0.0112,0.0081,1.9005,NA,NA,0.0265
NOVIEMBRE,1,6,0.0037,0.0097,0.0082,1.8308,NA,NA,0.0427
NOVIEMBRE,1,7,0.0026,0.0094,0.0083,1.7758,NA,NA,0.0382
NOVIEMBRE,1,8,0.0031,0.0086,0.0084,1.8165,NA,NA,0.0335
NOVIEMBRE,1,9,0.0101,0.0076,0.0084,1.841,NA,NA,0.024
NOVIEMBRE,1,10,0.0245,0.0085,0.0084,1.8576,NA,NA,0.0132
NOVIEMBRE,1,11,0.0314,0.0113,0.0079,1.8616,NA,NA,0.0142
NOVIEMBRE,1,12,0.0397,0.0156,0.0074,1.8592,32,18,0.0136
NOVIEMBRE,1,13,0.0483,0.0204,0.0072,1.8605,26,18,0.0137
NOVIEMBRE,1,14,0.0538,0.0267,0.0072,1.858,28,18,0.0116
NOVIEMBRE,1,15,0.0539,0.0331,0.0074,1.8245,23,19,0.0156
NOVIEMBRE,1,16,0.053,0.0394,0.0075,1.7817,25,15,0.0171
NOVIEMBRE,1,17,0.0472,0.044,0.0075,1.7703,28,11,0.0209
NOVIEMBRE,1,18,0.0338,0.0452,0.0075,1.8134,38,8,0.0428
NOVIEMBRE,1,19,0.0143,0.043,0.0071,1.9136,63,9,0.073
NOVIEMBRE,1,20,0.0198,0.0405,0.0067,1.9516,78,14,0.0279
NOVIEMBRE,1,21,0.0172,0.0366,0.0089,1.9812,69,12,0.0247
NOVIEMBRE,1,22,0.0182,0.0322,0.0094,1.9852,61,11,0.0208
NOVIEMBRE,1,23,0.0156,0.0274,0.0094,1.9885,53,12,0.0195
NOVIEMBRE,2,0,0.0165,0.0228,0.0093,1.9743,45,15,0.0173
NOVIEMBRE,2,1,0.0158,0.0189,0.0092,1.9447,40,13,0.018
NOVIEMBRE,2,2,0.015,0.0165,0.0089,1.873,48,25,0.0178
NOVIEMBRE,2,3,0.0213,0.0174,0.0086,1.7391,41,27,0.0101
NOVIEMBRE,2,4,0.0181,0.0172,0.0085,1.6784,30,17,0.0137
NOVIEMBRE,2,5,0.0072,0.0159,0.0085,1.6308,29,18,0.0249
NOVIEMBRE,2,6,0.0036,0.0141,0.0085,1.6195,24,16,0.0307
NOVIEMBRE,2,7,0.0024,0.0125,0.0085,1.6283,31,16,0.0311
NOVIEMBRE,2,8,0.0042,0.0109,0.0084,1.6594,36,16,0.0267
NOVIEMBRE,2,9,0.0119,0.0104,0.0083,1.7045,38,19,0.0188
NOVIEMBRE,2,10,0.0209,0.0112,0.0083,1.7413,36,17,0.0138
NOVIEMBRE,2,11,0.0284,0.0121,0.0083,1.7743,31,16,0.0105
NOVIEMBRE,2,12,0.0311,0.0137,0.0082,1.8052,27,16,0.0139
NOVIEMBRE,2,13,0.0376,0.0175,0.0082,1.8273,29,15,0.0133
NOVIEMBRE,2,14,0.0419,0.0223,0.0081,1.8351,29,14,0.0144
NOVIEMBRE,2,15,0.0465,0.0278,0.008,1.8239,27,17,0.0154
NOVIEMBRE,2,16,0.0477,0.0332,0.0078,1.8048,25,13,0.0148
NOVIEMBRE,2,17,0.0446,0.0373,0.0078,1.7745,29,11,0.015
NOVIEMBRE,2,18,0.0337,0.0389,0.0078,1.7753,34,9,0.0222
NOVIEMBRE,2,19,0.0273,0.0388,0.0078,1.784,50,8,0.0268
NOVIEMBRE,2,20,0.0222,0.0377,0.0077,1.7906,51,9,0.0285
NOVIEMBRE,2,21,0.0103,0.0343,0.0065,1.8159,59,10,0.0408
NOVIEMBRE,2,22,0.0125,0.0306,0.006,1.8251,66,10,0.0267
NOVIEMBRE,2,23,0.0147,0.0266,0.006,1.8237,55,10,0.0171
NOVIEMBRE,3,0,0.0104,0.022,0.006,1.8118,44,10,0.0273
NOVIEMBRE,3,1,0.0123,0.0179,0.0063,1.8024,37,10,0.0194
