DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENERO,1,0,0.0032,0.0197,0.0112,1.6369,103,44,0.0361
ENERO,1,1,0.0031,0.0144,0.0119,1.7682,182,87,0.0436
ENERO,1,2,0.0058,0.0098,0.0127,1.9847,372,228,0.0453
ENERO,1,3,0.0098,0.0087,0.0134,2.2316,472,315,0.0478
ENERO,1,4,0.0074,0.0085,0.0136,2.3082,456,353,0.0433
ENERO,1,5,0.0097,0.0086,0.0136,2.3218,308,273,0.0363
ENERO,1,6,0.0070,0.0073,0.0135,2.3728,213,198,0.0285
ENERO,1,7,0.0034,0.0062,0.0135,2.4013,147,139,0.0269
ENERO,1,8,0.0039,0.0063,0.0126,2.3966,113,104,0.0241
ENERO,1,9,0.0068,0.0067,0.0110,2.3195,91,89,0.0183
ENERO,1,10,0.0166,0.0081,0.0100,2.1380,75,77,0.0128
ENERO,1,11,0.0293,0.0105,0.0094,1.8085,56,58,0.0060
ENERO,1,12,0.0337,0.0138,0.0093,1.6134,36,44,0.0061
ENERO,1,13,0.0341,0.0168,0.0093,1.4879,21,32,0.0043
ENERO,1,14,0.0336,0.0202,0.0093,1.3926,13,25,0.0031
ENERO,1,15,0.0407,0.0248,0.0093,1.3088,10,20,0.0039
ENERO,1,16,0.0362,0.0289,0.0093,1.2193,12,19,0.0035
ENERO,1,17,0.0348,0.0324,0.0093,1.1538,15,16,0.0048
ENERO,1,18,0.0349,0.0347,0.0093,1.1102,21,14,0.0053
ENERO,1,19,0.0185,0.0333,0.0093,1.1519,43,14,0.0330
ENERO,1,20,0.0127,0.0307,0.0093,1.1755,62,23,0.0296
ENERO,1,21,0.0140,0.0282,0.0093,1.1986,58,24,0.0242
ENERO,1,22,0.0120,0.0255,0.0093,1.2360,56,19,0.0248
ENERO,1,23,0.0042,0.0209,0.0093,1.3526,75,25,0.0369
ENERO,2,0,0.0009,0.0165,0.0091,1.4925,104,44,0.0388
ENERO,2,1,NA,NA,0.0084,1.6312,105,51,0.0368
ENERO,2,2,NA,NA,0.0076,1.7179,105,53,0.0324
ENERO,2,3,0.0017,NA,0.0068,1.6975,83,48,0.0302
ENERO,2,4,0.0059,NA,0.0065,1.6891,66,41,0.0206
ENERO,2,5,NA,NA,0.0065,1.7036,54,34,0.0266
ENERO,2,6,NA,NA,0.0065,1.7281,76,36,0.0286
ENERO,2,7,NA,NA,0.0065,1.6759,82,42,0.0290
ENERO,2,8,0.0005,NA,0.0065,1.6090,76,34,0.0275
ENERO,2,9,0.0051,NA,0.0078,1.5446,70,39,0.0240
ENERO,2,10,0.0134,NA,0.0087,1.5267,69,37,0.0250
ENERO,2,11,0.0261,NA,0.0101,1.5534,61,37,0.0195
ENERO,2,12,0.0361,NA,0.0120,1.6095,55,34,0.0146
