DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
JUNIO,1,0,0.032,0.050,0.010,1.068,57,43,0.012
JUNIO,1,1,0.035,0.045,0.010,1.070,57,44,0.009
JUNIO,1,2,0.034,0.040,0.010,1.074,47,40,0.009
JUNIO,1,3,0.025,0.035,0.010,1.077,41,38,0.014
JUNIO,1,4,0.024,0.032,0.010,1.070,42,36,0.014
JUNIO,1,5,0.027,0.031,0.010,1.049,36,37,0.012
JUNIO,1,6,0.012,0.029,0.010,1.045,36,37,0.020
JUNIO,1,7,0.017,0.026,0.010,1.052,45,36,0.016
JUNIO,1,8,0.022,0.025,0.010,1.055,49,29,0.013
JUNIO,1,9,0.034,0.024,0.010,1.058,52,28,0.009
JUNIO,1,10,0.042,0.025,0.010,1.059,44,26,0.008
JUNIO,1,11,0.049,0.028,0.010,1.059,48,25,0.007
JUNIO,1,12,0.054,0.032,0.009,1.058,43,38,0.007
JUNIO,1,13,0.058,0.036,0.009,1.058,29,28,0.008
JUNIO,1,14,0.062,0.042,0.009,1.056,36,25,0.008
JUNIO,1,15,0.067,0.049,0.009,1.049,46,17,0.008
JUNIO,1,16,0.066,0.054,0.008,1.042,47,23,0.008
JUNIO,1,17,0.065,0.058,0.008,1.040,45,26,0.008
JUNIO,1,18,0.066,0.061,0.008,1.037,43,24,0.008
JUNIO,1,19,0.060,0.062,0.008,1.035,39,33,0.009
JUNIO,1,20,0.047,0.062,0.008,1.041,37,34,0.015
JUNIO,1,21,0.030,0.058,0.008,1.049,40,36,0.018
JUNIO,1,22,0.030,0.054,0.008,1.056,50,40,0.016
JUNIO,1,23,0.025,0.049,0.008,1.067,53,47,0.017
JUNIO,2,0,0.024,0.044,0.008,1.074,55,43,0.015
JUNIO,2,1,0.017,0.038,0.008,1.077,52,45,0.018
JUNIO,2,2,0.029,0.033,0.008,1.079,52,44,0.011
JUNIO,2,3,0.030,0.029,0.008,1.079,58,44,0.010
JUNIO,2,4,0.031,0.027,0.008,1.072,47,36,0.009
JUNIO,2,5,0.026,0.027,0.008,1.063,32,31,0.011
JUNIO,2,6,0.024,0.026,0.008,1.056,19,28,0.012
JUNIO,2,7,0.015,0.025,0.008,1.049,36,32,0.018
JUNIO,2,8,0.020,0.024,0.008,1.054,37,29,0.016
JUNIO,2,9,0.032,0.026,0.008,1.054,49,27,0.011
JUNIO,2,10,0.044,0.028,0.008,1.054,52,25,0.009
JUNIO,2,11,0.051,0.030,0.008,1.058,46,22,0.009
JUNIO,2,12,0.061,0.034,0.008,1.061,46,19,0.008
JUNIO,2,13,0.065,0.039,0.008,1.061,45,15,0.007
JUNIO,2,14,0.063,0.044,0.008,1.059,40,11,0.008
JUNIO,2,15,0.064,0.050,0.008,1.051,43,8,0.007
JUNIO,2,16,0.064,0.055,0.008,1.037,39,12,0.007
JUNIO,2,17,0.062,0.059,0.008,1.033,34,13,0.008
