DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2023,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,1,0,0.029,0.038,0.011,0.752,34,22,0.003
NOVIEMBRE,1,1,0.030,0.034,0.011,0.732,24,18,0.002
NOVIEMBRE,1,2,0.029,0.032,0.011,0.678,17,17,0.002
NOVIEMBRE,1,3,0.030,0.031,0.011,0.628,14,15,0.001
NOVIEMBRE,1,4,0.029,0.030,0.011,0.604,11,14,0.001
NOVIEMBRE,1,5,0.029,0.029,0.011,0.593,10,12,0.001
NOVIEMBRE,1,6,0.027,0.029,0.011,0.569,9,13,0.003
NOVIEMBRE,1,7,0.024,0.028,0.012,0.561,8,15,0.006
NOVIEMBRE,1,8,0.023,0.028,0.012,0.573,13,14,0.005
NOVIEMBRE,1,9,0.027,0.027,0.013,0.594,13,13,0.004
NOVIEMBRE,1,10,0.028,0.027,0.014,0.615,17,13,0.005
NOVIEMBRE,1,11,0.031,0.027,0.014,0.641,21,14,0.004
NOVIEMBRE,1,12,0.034,0.028,0.014,0.672,26,14,0.004
NOVIEMBRE,1,13,0.036,0.029,0.014,0.708,30,13,0.005
NOVIEMBRE,1,14,0.039,0.030,0.014,0.752,30,12,0.006
NOVIEMBRE,1,15,0.042,0.033,0.014,0.775,31,12,0.005
NOVIEMBRE,1,16,0.041,0.035,0.014,0.785,31,12,0.005
NOVIEMBRE,1,17,0.039,0.036,0.013,0.800,33,14,0.006
NOVIEMBRE,1,18,0.040,0.038,0.013,0.810,32,19,0.007
NOVIEMBRE,1,19,0.035,0.038,0.013,0.810,36,21,0.008
NOVIEMBRE,1,20,0.026,0.037,0.013,0.821,32,22,0.010
NOVIEMBRE,1,21,0.026,0.036,0.013,0.815,41,22,0.006
NOVIEMBRE,1,22,0.027,0.035,0.013,0.787,43,20,0.004
NOVIEMBRE,1,23,0.028,0.033,0.013,0.761,38,17,0.004
NOVIEMBRE,2,0,0.028,0.031,0.013,0.734,28,15,0.003
NOVIEMBRE,2,1,0.029,0.030,0.013,0.696,21,14,0.002
NOVIEMBRE,2,2,0.030,0.029,0.013,0.666,17,14,0.002
NOVIEMBRE,2,3,0.030,0.028,0.013,0.640,13,14,0.002
NOVIEMBRE,2,4,0.029,0.029,0.013,0.598,11,12,0.002
NOVIEMBRE,2,5,0.029,0.029,0.013,0.568,10,11,0.003
NOVIEMBRE,2,6,0.029,0.029,0.013,0.552,10,12,0.003
NOVIEMBRE,2,7,0.027,0.029,0.012,0.553,11,12,0.004
NOVIEMBRE,2,8,0.025,0.029,0.012,0.569,12,14,0.005
NOVIEMBRE,2,9,0.025,0.028,0.012,0.599,17,14,0.005
NOVIEMBRE,2,10,0.029,0.028,0.011,0.636,22,13,0.005
NOVIEMBRE,2,11,0.031,0.028,0.010,0.676,22,12,0.005
NOVIEMBRE,2,12,0.035,0.029,0.010,0.721,24,12,0.006
NOVIEMBRE,2,13,0.041,0.030,0.010,0.766,25,13,0.006
NOVIEMBRE,2,14,0.047,0.032,0.010,0.819,28,12,0.007
NOVIEMBRE,2,15,0.048,0.035,0.010,0.863,28,13,0.008
NOVIEMBRE,2,16,0.053,0.039,0.010,0.867,35,14,0.006
NOVIEMBRE,2,17,0.052,0.042,0.010,0.857,36,16,0.006
NOVIEMBRE,2,18,0.046,0.044,0.011,0.846,33,22,0.008
NOVIEMBRE,2,19,0.041,0.045,0.011,0.840,32,26,0.010
NOVIEMBRE,2,20,0.036,0.045,0.010,0.826,47,25,0.010
NOVIEMBRE,2,21,0.034,0.044,0.010,0.818,37,29,0.008
NOVIEMBRE,2,22,0.032,0.042,0.010,0.793,36,25,0.008
NOVIEMBRE,2,23,0.030,0.040,0.010,0.762,37,22,0.007
NOVIEMBRE,3,0,0.025,0.037,0.010,0.751,31,20,0.008
NOVIEMBRE,3,1,0.027,0.034,0.010,0.740,40,16,0.006
NOVIEMBRE,3,2,0.031,0.032,0.010,0.719,32,17,0.004
NOVIEMBRE,3,3,0.029,0.030,0.010,0.687,22,16,0.004
NOVIEMBRE,3,4,0.027,0.029,0.011,0.661,22,18,0.005
NOVIEMBRE,3,5,0.025,0.028,0.011,0.630,17,16,0.006
NOVIEMBRE,3,6,0.021,0.027,0.011,0.616,13,14,0.008
NOVIEMBRE,3,7,0.014,0.025,0.011,0.629,15,18,0.011
NOVIEMBRE,3,8,0.015,0.023,0.011,0.666,31,20,0.010
NOVIEMBRE,3,9,0.022,0.023,0.011,0.700,35,19,0.007
NOVIEMBRE,3,10,0.028,0.023,0.011,0.733,38,16,0.006
NOVIEMBRE,3,11,0.036,0.023,0.011,0.770,41,17,0.006
