pair_id,lat_pre_ms,lat_post_ms
1,158.64,123.0
2,512.93,388.83
3,125.3,98.83
4,216.81,168.26
5,111.8,86.6
6,240.95,186.11
7,121.19,95.8
8,168.45,131.04
9,430.57,328.08
10,106.62,85.66
11,240.49,185.71
12,218.19,169.24
13,160.88,127.18
14,226.94,174.95
15,170.95,132.13
16,225.82,174.93
17,169.6,132.94
18,164.65,128.9
19,238.14,185.18
20,154.85,121.9
21,83.72,67.93
22,206.01,159.5
23,71.12,60.95
24,162.73,126.64
25,243.32,186.99
26,243.85,188.43
27,165.52,128.93
28,305.16,234.57
29,224.63,172.95
30,135.22,106.74
31,69.16,57.02
32,207.34,160.77
33,196.79,151.59
34,146.62,115.73
35,147.32,116.6
36,144.07,114.88
37,314.81,240.76
38,300.05,229.53
39,88.29,71.41
40,186.83,144.52
