,id,titulo,seccion,departamento,epigrafe,url_pdf,url_html,fecha,publicacion,numero
0,BOE-A-2026-2328,"Enmienda al artículo 12.1 del Convenio constitutivo del Banco Asiático de Desarrollo, adoptada por Resolución n.º 437 de la Junta de Gobernadores el 30 de noviembre de 2025.",I. Disposiciones generales,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",Tratados internacionales,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2328.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2328,20260202,BOE,29
1,BOE-A-2026-2329,"Orden DCA/48/2026, de 23 de enero, por la que se aprueba la Política de Seguridad de la Información en el ámbito de la administración electrónica del Ministerio de Derechos Sociales, Consumo y Agenda 2030.",I. Disposiciones generales,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",Seguridad de la información,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2329.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2329,20260202,BOE,29
2,BOE-A-2026-2330,"Resolución de 16 de enero de 2026, de la Subsecretaría, por la que se resuelve el concurso específico, convocado por Resolución de 4 de septiembre de 2025.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Destinos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2330.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2330,20260202,BOE,29
3,BOE-A-2026-2331,"Resolución de 27 de enero de 2026, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 13 de noviembre de 2025.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Destinos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2331.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2331,20260202,BOE,29
4,BOE-A-2026-2332,"Resolución de 21 de enero de 2026, de la Viceconsejería de Justicia, de la Consejería de Hacienda, Justicia y Asuntos Europeos, por la que se resuelve el concurso específico para la provisión de puestos de trabajo singularizados de las Oficinas Judiciales en el partido judicial de Avilés, convocado por Resolución de 12 de diciembre de 2025.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",COMUNIDAD AUTÓNOMA DEL PRINCIPADO DE ASTURIAS,Destinos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2332.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2332,20260202,BOE,29
5,BOE-A-2026-2333,"Resolución de 26 de enero de 2026, de la Viceconsejería de Justicia de la Consejería de Hacienda, Justicia y Asuntos Europeos, por la que se resuelve el concurso específico para la provisión de puestos de trabajo singularizados de las Oficinas Judiciales en el partido judicial de Gijón, convocado por Resolución de 12 de diciembre de 2025.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",COMUNIDAD AUTÓNOMA DEL PRINCIPADO DE ASTURIAS,Destinos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2333.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2333,20260202,BOE,29
6,BOE-A-2026-2334,"Resolución de 16 de enero de 2026, de la Dirección General de Justicia y Autogobierno, de la Consellería de Justicia y Administración Pública, por la que se resuelve definitivamente concurso específico para la provisión de puestos de trabajo singularizados en Oficinas Fiscales de la Comunitat Valenciana, convocado por Resolución de 5 de noviembre de 2025.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",COMUNITAT VALENCIANA,Destinos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2334.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2334,20260202,BOE,29
7,BOE-A-2026-2335,"Resolución de 17 de enero de 2026, de la Universidad de Cantabria, por la que se nombran Profesoras Titulares de Universidad.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,Nombramientos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2335.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2335,20260202,BOE,29
8,BOE-A-2026-2336,"Resolución de 21 de enero de 2026, de la Universidad de Málaga, por la que se nombra Catedrática de Universidad a doña Elsa Marina Álvarez González.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,Nombramientos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2336.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2336,20260202,BOE,29
9,BOE-A-2026-2337,"Resolución de 22 de enero de 2026, de la Universidad de Barcelona, por la que se nombran Profesoras y Profesores Titulares de Universidad.","II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",UNIVERSIDADES,Nombramientos,https://www.boe.es/boe/dias/2026/02/02/pdfs/BOE-A-2026-2337.pdf,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-2337,20260202,BOE,29
