trial_id,abs_error_cm
1,2.647
2,1.501
3,4.345
4,4.509
5,2.109
6,3.002
7,2.573
8,2.232
9,3.183
10,4.381
11,3.501
12,1.689
13,3.4
14,2.264
15,5.01
16,4.047
17,3.623
18,1.005
19,4.068
20,2.981
21,4.047
22,3.672
23,3.279
24,3.497
25,4.761
26,4.841
27,1.205
28,3.328
29,2.679
30,2.512
31,4.875
32,2.957
33,2.959
34,2.714
35,4.428
36,4.028
37,2.769
38,1.994
39,3.019
40,2.284
41,2.274
42,0.409
43,2.002
44,2.028
45,2.76
46,1.462
47,3.342
48,2.214
49,2.747
50,3.336
51,4.422
52,1.578
53,1.824
54,4.026
55,4.233
56,2.975
57,2.445
58,1.768
59,5.551
60,1.329
61,3.679
62,1.291
63,2.887
64,4.558
65,4.245
66,2.888
67,2.257
68,3.353
69,1.301
70,4.362
71,4.275
72,2.296
73,3.205
74,3.101
75,4.702
76,1.845
77,2.817
78,2.961
79,3.42
80,4.265
81,2.72
82,3.653
83,2.875
84,3.984
85,0.472
86,1.904
87,2.167
88,3.894
89,5.282
90,4.375
91,2.247
92,3.388
93,0.0
94,4.64
95,3.565
96,0.79
97,2.411
98,4.302
99,4.857
100,3.414
101,3.892
102,2.881
103,1.973
104,3.949
105,2.98
106,1.061
107,3.984
108,3.117
109,3.583
110,2.366
111,4.202
112,2.994
113,2.857
114,1.444
115,2.942
116,2.928
117,3.954
118,2.867
119,1.932
120,4.198
121,3.75
122,4.0
123,2.17
124,2.229
125,2.522
126,3.732
127,3.86
128,1.017
129,4.424
130,3.442
131,2.816
132,4.123
133,4.068
134,1.759
135,3.699
136,2.688
137,3.321
138,2.93
139,2.462
140,2.825
141,5.889
142,3.144
143,4.192
144,4.276
145,3.587
146,2.49
147,2.876
148,3.37
149,3.352
150,2.829
