sample,filter,residual_error
1,Butterworth,1.1541
2,Butterworth,1.5684
3,Butterworth,1.0302
4,Butterworth,0.7659
5,Butterworth,1.1144
6,Butterworth,1.3041
7,Butterworth,1.2021
8,Butterworth,0.6211
9,Butterworth,0.7741
10,Butterworth,1.0991
11,Butterworth,1.1039
12,Butterworth,1.1269
13,Butterworth,0.9803
14,Butterworth,0.6555
15,Butterworth,0.6999
16,Butterworth,1.0367
17,Butterworth,1.116
18,Butterworth,1.2121
19,Butterworth,1.1388
20,Butterworth,1.0224
21,Butterworth,1.2396
22,Butterworth,0.9131
23,Butterworth,0.9002
24,Butterworth,0.6189
25,Butterworth,1.0486
26,Butterworth,1.4623
27,Butterworth,0.6245
28,Butterworth,1.0666
29,Butterworth,1.0395
30,Butterworth,0.7656
31,Butterworth,1.1368
32,Butterworth,0.6485
33,Butterworth,1.0399
34,Butterworth,1.415
35,Butterworth,1.1407
36,Butterworth,1.1161
37,Butterworth,0.9743
38,Butterworth,1.0369
39,Butterworth,1.3857
40,Butterworth,1.0637
1,Kalman,0.9479
2,Kalman,0.8245
3,Kalman,0.8357
4,Kalman,0.5407
5,Kalman,0.6292
6,Kalman,1.0153
7,Kalman,0.9528
8,Kalman,0.9419
9,Kalman,0.8519
10,Kalman,1.0324
11,Kalman,0.9409
12,Kalman,0.6459
13,Kalman,0.9088
14,Kalman,0.9403
15,Kalman,0.9239
16,Kalman,1.0577
17,Kalman,0.9015
18,Kalman,0.8522
19,Kalman,0.7451
20,Kalman,0.9393
21,Kalman,0.902
22,Kalman,0.7424
23,Kalman,0.8988
24,Kalman,0.9582
25,Kalman,1.1984
26,Kalman,0.8542
27,Kalman,0.9099
28,Kalman,0.7269
29,Kalman,0.751
30,Kalman,0.8654
31,Kalman,0.672
32,Kalman,0.9183
33,Kalman,0.7901
34,Kalman,0.9375
35,Kalman,1.0232
36,Kalman,0.8973
37,Kalman,0.9542
38,Kalman,1.1741
39,Kalman,0.9127
40,Kalman,0.7899
