company,architecture
EmpresaC,CNN
EmpresaB,CNN
EmpresaA,Transformer
EmpresaC,CNN
EmpresaB,Transformer
EmpresaB,CNN
EmpresaC,Transformer
EmpresaA,Transformer
EmpresaC,CNN
EmpresaB,Transformer
EmpresaA,GNN
EmpresaB,Transformer
EmpresaC,Transformer
EmpresaB,Transformer
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaC,GNN
EmpresaB,GNN
EmpresaB,CNN
EmpresaC,GNN
EmpresaB,CNN
EmpresaB,Transformer
EmpresaB,Transformer
EmpresaB,GNN
EmpresaB,CNN
EmpresaB,GNN
EmpresaA,Transformer
EmpresaA,Transformer
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaB,CNN
EmpresaC,Transformer
EmpresaA,Transformer
EmpresaC,CNN
EmpresaC,Transformer
EmpresaC,CNN
EmpresaC,GNN
EmpresaB,GNN
EmpresaB,GNN
EmpresaC,GNN
EmpresaC,GNN
EmpresaC,Transformer
EmpresaC,Transformer
EmpresaB,GNN
EmpresaA,GNN
EmpresaC,GNN
EmpresaB,GNN
EmpresaB,Transformer
EmpresaB,Transformer
EmpresaB,GNN
EmpresaC,CNN
EmpresaB,Transformer
EmpresaC,CNN
EmpresaC,Transformer
EmpresaC,GNN
EmpresaC,Transformer
EmpresaC,Transformer
EmpresaC,GNN
EmpresaC,Transformer
EmpresaB,GNN
EmpresaC,GNN
EmpresaC,CNN
EmpresaA,CNN
EmpresaA,Transformer
EmpresaC,Transformer
EmpresaC,Transformer
EmpresaB,Transformer
EmpresaA,CNN
EmpresaB,Transformer
EmpresaA,Transformer
EmpresaC,Transformer
EmpresaC,CNN
EmpresaB,Transformer
EmpresaA,Transformer
EmpresaA,CNN
EmpresaB,Transformer
EmpresaA,CNN
EmpresaC,CNN
EmpresaB,GNN
EmpresaA,CNN
EmpresaB,GNN
EmpresaC,CNN
EmpresaC,CNN
EmpresaA,Transformer
EmpresaB,Transformer
EmpresaB,Transformer
EmpresaB,Transformer
EmpresaC,Transformer
EmpresaC,GNN
EmpresaA,Transformer
EmpresaA,GNN
EmpresaA,CNN
EmpresaB,GNN
EmpresaC,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,Transformer
EmpresaC,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaC,GNN
EmpresaB,GNN
EmpresaB,Transformer
EmpresaA,GNN
EmpresaC,CNN
EmpresaB,GNN
EmpresaB,Transformer
EmpresaA,CNN
EmpresaA,Transformer
EmpresaA,Transformer
EmpresaB,Transformer
EmpresaB,Transformer
EmpresaC,Transformer
EmpresaC,CNN
EmpresaC,CNN
EmpresaA,Transformer
EmpresaB,CNN
EmpresaC,Transformer
EmpresaC,CNN
EmpresaA,CNN
EmpresaA,Transformer
EmpresaC,GNN
EmpresaC,CNN
EmpresaB,CNN
EmpresaB,CNN
EmpresaB,CNN
EmpresaA,CNN
EmpresaB,Transformer
EmpresaA,CNN
EmpresaA,CNN
EmpresaB,Transformer
EmpresaC,CNN
EmpresaC,GNN
EmpresaC,CNN
EmpresaB,CNN
EmpresaB,CNN
EmpresaB,Transformer
EmpresaB,GNN
EmpresaB,GNN
EmpresaB,CNN
EmpresaB,Transformer
EmpresaB,CNN
EmpresaC,Transformer
EmpresaC,GNN
EmpresaC,GNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaA,CNN
EmpresaB,CNN
EmpresaC,CNN
EmpresaA,CNN
EmpresaA,Transformer
EmpresaA,Transformer
EmpresaC,CNN
EmpresaB,Transformer
EmpresaB,CNN
EmpresaA,CNN
EmpresaB,CNN
EmpresaC,GNN
EmpresaA,CNN
EmpresaA,Transformer
EmpresaA,Transformer
EmpresaB,GNN
EmpresaC,CNN
