DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ENERO,1,0,0.007,0.0026,0.9533,NA,99,52,16.24,0.45,273.61,49.12,623.58
ENERO,1,1,NA,0.0062,1.2828,NA,150,66,15.29,0.45,302.76,49.37,623.64
ENERO,1,2,NA,0.0078,1.5406,NA,227,180,14.38,0.45,277.45,51.88,623.62
ENERO,1,3,0.0164,0.0066,1.7008,NA,221,206,13.52,0.45,313.97,55.32,623.42
ENERO,1,4,0.0137,0.005,1.5265,NA,179,190,12.76,0.45,260.03,58.48,623.49
ENERO,1,5,0.0128,0.005,1.8246,NA,181,141,12.19,0.45,276.36,61.73,623.52
ENERO,1,6,0.0091,0.0033,1.2254,NA,171,163,11.21,0.45,276.49,62.38,623.89
ENERO,1,7,0.0062,0.0026,1.2754,NA,121,124,10.76,0.45,216.93,63.7,624.14
ENERO,1,8,0.0064,0.0027,1.4291,NA,122,93,10.76,0.45,247.52,64.45,624.52
ENERO,1,9,0.0103,0.0023,0.9092,NA,84,102,12.62,0.45,235.49,60.71,625.03
ENERO,1,10,0.0248,0.002,0.662,NA,64,70,15.66,0.79,250.4,55.02,625.41
ENERO,1,11,0.0392,0.0019,0.4229,NA,44,65,18.5,0.69,230.95,52.53,625.45
ENERO,1,12,0.0438,0.002,0.3942,NA,32,30,20.49,1.33,253.19,47.33,624.97
ENERO,1,13,0.0401,0.0013,0.3491,NA,23,30,22.4,2.23,257.79,35.93,624.16
ENERO,1,14,0.0384,0.0008,0.3114,NA,13,19,23.86,2.46,242.04,27.02,623.16
ENERO,1,15,0.0445,0.0008,0.3568,NA,12,15,24.92,2.71,244.65,27.92,622.39
ENERO,1,16,0.0387,0.0007,0.3716,NA,17,15,25.64,3.4,243.03,26.28,621.76
ENERO,1,17,0.0393,0.0007,0.4147,NA,17,19,26.12,2.88,258.29,24.16,621.64
ENERO,1,18,0.0331,0.0007,0.577,NA,27,24,25.86,1.9,248.47,24.71,621.83
ENERO,1,19,0.0143,0.0018,1.2566,NA,41,23,24.25,0.63,224.96,29.42,622.2
ENERO,1,20,0.0104,0.0027,1.1883,NA,81,44,22.29,1.29,218.1,31.59,622.67
ENERO,1,21,0.0103,0.0021,1.0503,NA,60,47,20.69,0.88,228.25,35.92,623.3
ENERO,1,22,0.0083,0.0014,0.951,NA,50,39,19.05,0.45,230.26,40.48,623.68
ENERO,1,23,0.0058,0.0026,1.7826,NA,62,36,18.3,0.45,305.03,42.92,623.89
ENERO,2,0,0.006,0.0038,2.77,NA,75,45,17.67,0.45,226.56,45.53,623.8
ENERO,2,1,NA,0.0018,1.1274,NA,77,57,15.15,0.45,293.95,50.5,623.73
ENERO,2,2,0.0031,0.0016,0.9465,NA,63,39,14.54,0.45,268.86,52.33,623.74
ENERO,2,3,0.0049,0.0025,0.7576,NA,65,41,13.58,0.45,288.03,55.61,623.66
ENERO,2,4,0.0048,0.0014,0.6912,NA,50,30,13.46,0.45,220.66,56.57,623.7
ENERO,2,5,0.0038,0.0015,0.6534,NA,41,32,12.76,0.47,111.46,59.22,623.67
ENERO,2,6,0.0031,0.0046,0.7033,NA,60,36,11.72,0.45,112.94,63.14,623.9
ENERO,2,7,0.0056,0.0042,0.7282,NA,62,42,11.52,0.45,75.87,64.2,624.22
ENERO,2,8,0.0034,0.0043,1.0086,NA,56,44,11.24,0.45,86.57,63.7,624.61
ENERO,2,9,0.0077,0.0047,0.8093,NA,60,33,12.87,0.62,109.2,58.78,625.15
ENERO,2,10,0.0188,0.0145,0.6109,NA,45,46,16.86,0.6,113.17,48.9,625.66
ENERO,2,11,0.0339,0.0666,0.8687,NA,46,42,19.95,1.04,130.72,42.31,625.74
ENERO,2,12,0.0472,0.1072,1.4462,NA,73,53,21.93,0.72,235.43,38.54,625.5
ENERO,2,13,0.0605,0.0848,1.4775,NA,63,46,24.06,0.59,205.74,33.22,624.56
ENERO,2,14,0.0589,0.0357,1.0528,NA,46,47,25.87,1.22,145.49,24.41,623.61
ENERO,2,15,0.0475,0.0091,0.4548,NA,16,29,27.2,1.19,155.78,15.82,622.87
ENERO,2,16,0.0499,0.0004,0.3322,NA,7,6,27.96,1.45,110.37,12.11,622.55
ENERO,2,17,0.0486,NA,0.3967,NA,17,8,28.14,1.5,180.66,9.6,622.42
ENERO,2,18,0.0414,NA,0.541,NA,17,8,28.01,0.81,178.21,10.65,622.51
ENERO,2,19,0.0256,0.0012,0.8111,NA,40,10,25.28,2.2,93.89,21.46,623.02
ENERO,2,20,0.0362,0.0011,0.3571,NA,52,23,22.17,4.25,48.01,32.7,623.84
ENERO,2,21,0.0371,0.0642,0.3873,NA,51,20,20.08,6.03,69.84,40.66,624.65
ENERO,2,22,0.0326,0.0346,0.3716,NA,81,28,18.06,6.78,78.77,47.36,625.23
ENERO,2,23,0.0351,0.1067,0.5076,NA,63,30,16.32,4.88,72.96,51.68,625.87
ENERO,3,0,0.03,0.0492,2.8336,NA,53,21,15.31,4.6,59.6,57.5,626.2
ENERO,3,1,0.0307,0.0564,2.2912,NA,52,26,14.67,5.03,60.07,61.46,626.15
ENERO,3,2,0.032,0.0251,1.6497,NA,33,25,14.01,4.76,53.12,63.99,626.06
ENERO,3,3,0.0302,0.0495,2.7609,NA,30,21,13.79,3.46,59.92,64.88,625.96
ENERO,3,4,0.0336,0.02,1.2851,NA,26,24,13.45,3.88,54.01,65.11,625.77
ENERO,3,5,0.0337,0.021,1.3425,NA,25,23,13.17,3.58,52.76,65.89,625.96
ENERO,3,6,0.0358,0.0084,0.7028,NA,20,19,12.95,3.55,52.07,66.25,626.18
ENERO,3,7,0.0314,0.0146,0.9787,NA,23,9,12.88,3.27,50.83,66.47,626.55
ENERO,3,8,0.0254,0.0594,0.6896,NA,28,17,12.67,2.38,84.24,67.22,627.04
ENERO,3,9,0.0322,0.0792,0.3381,NA,32,30,13.17,3.94,75.97,65.29,627.57
ENERO,3,10,0.0369,0.0451,0.3222,NA,25,15,14.45,4.15,69.44,61.33,628.04
ENERO,3,11,0.0378,0.0646,0.3714,NA,40,21,16.19,3.56,88.37,56.84,627.91
ENERO,3,12,0.0409,0.0509,0.3964,NA,42,32,17.98,3.3,96.28,52.96,627.62
ENERO,3,13,0.0478,0.0402,0.4429,NA,39,25,19.89,2.6,100.01,49.22,626.88
ENERO,3,14,0.0565,0.0177,0.4961,NA,39,32,21.28,2.24,125.04,46.02,625.85
ENERO,3,15,0.073,0.0348,0.5816,NA,33,30,23.31,0.58,189.48,41.3,625.1
ENERO,3,16,0.0751,0.0187,0.6857,NA,50,30,24.29,0.88,196.91,38.46,624.66
ENERO,3,17,0.0734,0.0098,0.7191,NA,51,36,24.52,0.79,262.54,36.54,624.62
ENERO,3,18,0.0569,0.01,0.8131,NA,47,35,24.08,0.86,277.87,36.79,624.73
ENERO,3,19,0.0358,0.0106,1.4459,NA,55,25,22.53,0.45,294.31,40.37,624.85
ENERO,3,20,0.015,0.0135,2.0854,NA,80,39,21.41,0.45,259.74,44.23,625.22
ENERO,3,21,0.0058,0.0131,2.0463,NA,96,48,19.72,0.45,66.27,48.94,625.73
ENERO,3,22,NA,0.0109,1.9503,NA,101,52,18.63,0.45,157.21,51.36,626.05
ENERO,3,23,0.0061,0.0134,1.2923,NA,128,58,17.66,1.19,131.5,54.26,626.31
ENERO,4,0,0.0127,0.0161,0.7056,NA,102,70,16.31,0.99,119.26,57.24,626.64
ENERO,4,1,0.0149,0.0049,0.5309,NA,69,43,15.58,0.68,119.68,58.17,626.58
ENERO,4,2,0.0124,0.0407,0.5491,NA,72,34,14.85,1.55,96.18,59.88,626.5
ENERO,4,3,0.0072,0.0762,0.5293,NA,83,43,14.26,1.15,101.13,60.69,626.19
ENERO,4,4,0.0041,0.0233,0.6044,NA,57,52,13.11,0.56,104.03,64.01,626.13
ENERO,4,5,0.0043,0.0233,0.4683,NA,50,41,12.92,1.39,88.13,63.88,626.13
