DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
AGOSTO,1,0,0.033,0.256,0.37,0.012,13,10,22.26,4.17,78.84,56.92,625.64
AGOSTO,1,1,0.027,0.165,0.41,0.014,16,10,21.19,3.84,83.44,62.15,625.61
AGOSTO,1,2,0.025,0.131,0.81,0.014,13,16,20.51,2.86,79.88,65.15,625.64
AGOSTO,1,3,0.026,0.209,0.29,0.014,15,15,19.57,3.55,82.19,68.4,625.3
AGOSTO,1,4,0.025,0.089,0.34,0.014,16,20,19.14,3.06,74.87,68.59,625.05
AGOSTO,1,5,0.027,0.018,0.61,0.014,14,18,18.7,3.12,54.09,69.11,624.9
AGOSTO,1,6,0.026,0.013,0.46,0.017,9,10,18.52,1.84,98.67,68.79,625.33
AGOSTO,1,7,0.024,0.209,0.59,0.019,17,10,18.85,2.32,86.29,68.16,625.6
AGOSTO,1,8,0.018,0.059,0.36,0.02,20,21,18.6,2.01,92.16,70.53,625.99
AGOSTO,1,9,0.032,0.105,0.45,0.016,13,22,20.39,3.62,80.14,63.42,626.23
AGOSTO,1,10,0.038,0.066,0.41,0.012,10,15,21.89,4.23,81.73,58.05,626.2
AGOSTO,1,11,0.041,0.048,0.28,0.013,28,21,23.1,3.65,86.25,52.09,625.95
AGOSTO,1,12,0.048,0.026,0.37,0.012,14,20,24.37,2.7,99.79,46.58,625.69
AGOSTO,1,13,0.053,0.023,0.7,0.013,12,14,25.95,1.75,152.33,40.33,625.09
AGOSTO,1,14,0.054,0.015,0.47,0.014,8,16,27.2,1.95,142.77,36.5,624.46
AGOSTO,1,15,0.054,0.013,0.38,0.013,10,12,28.02,2.54,138.81,36.18,623.51
