MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR
MAYO,4.0,10.0,0.052,0.002,0.88,0.025,71.0,58.0,24.760917,0.541293,196.605817,23.406267,622.248667
MAYO,4.0,11.0,0.07,0.001,0.56,0.013,41.0,41.0,26.710767,1.008033,222.047167,19.035717,622.213167
MAYO,4.0,12.0,0.081,0.001,0.54,0.011,32.0,48.0,28.7635,1.45122,225.307733,15.716817,621.885167
MAYO,4.0,13.0,0.076,0.001,0.55,0.013,31.0,22.0,30.525617,1.529888,231.686533,13.382967,621.423167
MAYO,4.0,14.0,0.08,0.001,0.47,0.008,29.0,26.0,31.360383,1.36368,243.250167,11.9119,620.778
MAYO,4.0,15.0,0.089,0.001,0.48,0.007,30.0,19.0,32.661333,0.780967,209.908983,10.797243,620.117
MAYO,4.0,16.0,0.094,0.001,0.53,0.01,34.0,27.0,33.101567,1.103435,244.75195,10.606852,619.5385
MAYO,4.0,17.0,0.093,0.001,0.51,0.008,35.0,31.0,33.660417,0.729117,222.822567,9.533608,619.103333
MAYO,4.0,18.0,0.092,0.001,0.56,0.011,30.0,58.0,33.761633,0.895837,278.3165,9.449545,618.947667
MAYO,4.0,19.0,0.08,0.001,0.67,0.02,39.0,38.0,33.056033,1.143043,268.913667,10.606122,619.083333
MAYO,4.0,20.0,0.051,0.001,1.07,0.032,49.0,38.0,31.620017,1.255102,244.510667,12.829267,619.355333
MAYO,4.0,21.0,0.053,0.001,0.66,0.017,53.0,38.0,29.1122,2.674715,243.362333,17.411417,620.065333
MAYO,4.0,22.0,0.052,0.001,0.7,0.019,49.0,24.0,27.4595,0.94093,242.566,20.319067,620.701667
MAYO,4.0,23.0,0.047,0.001,0.6,0.015,46.0,26.0,26.508833,0.830282,185.5885,21.526583,621.4075
MAYO,5.0,0.0,0.046,0.006,0.53,0.016,51.0,40.0,25.70825,0.833687,135.76335,24.132983,621.678
MAYO,5.0,1.0,0.037,0.022,0.57,0.021,59.0,44.0,24.7379,0.468777,261.7335,26.443433,621.628333
MAYO,5.0,2.0,0.025,0.005,0.64,0.024,62.0,45.0,23.05025,0.447,189.299317,29.391383,621.263
MAYO,5.0,3.0,0.039,0.002,0.49,0.015,55.0,48.0,22.194517,0.447148,264.114167,31.3829,621.1395
MAYO,5.0,4.0,0.018,0.004,0.49,0.027,51.0,48.0,20.249583,0.447,287.222333,35.375417,621.237167
MAYO,5.0,5.0,0.019,0.004,0.51,0.029,56.0,43.0,19.45205,0.447,258.776172,38.302517,621.312667
MAYO,5.0,6.0,0.02,0.003,0.76,0.03,58.0,44.0,19.34195,0.447,279.183167,40.134667,621.5285
MAYO,5.0,7.0,0.015,0.004,1.24,0.032,73.0,52.0,19.2493,0.484188,243.854,42.883633,621.795667
MAYO,5.0,8.0,0.019,0.004,1.22,0.03,79.0,46.0,20.414683,0.447372,252.977833,41.369483,622.3205
MAYO,5.0,9.0,0.038,0.002,0.9,0.022,66.0,53.0,23.080667,0.452555,249.607,36.231133,622.489333
MAYO,5.0,10.0,0.055,0.002,0.64,0.015,53.0,36.0,25.5004,0.622242,207.111167,28.203917,622.551167
MAYO,5.0,11.0,0.062,0.001,0.53,0.011,42.0,34.0,27.3404,0.859908,221.008883,25.206433,622.373
MAYO,5.0,12.0,0.07,0.001,0.5,0.01,30.0,23.0,29.194883,1.03078,248.656517,23.646467,621.977667
MAYO,5.0,13.0,0.071,0.001,0.49,0.01,29.0,16.0,30.936333,0.887702,245.261633,18.90215,621.4285
MAYO,5.0,14.0,0.079,0.001,0.49,0.009,27.0,20.0,31.8086,1.050477,237.31,17.162867,620.751
MAYO,5.0,15.0,0.087,0.001,0.47,0.007,33.0,23.0,32.858317,1.091518,269.468517,15.061767,620.195333
MAYO,5.0,16.0,0.091,0.001,0.51,0.009,38.0,30.0,33.521517,1.080992,232.6062,13.69025,619.670833
MAYO,5.0,17.0,0.091,0.001,0.5,0.01,30.0,33.0,33.994183,1.044182,224.8749,12.928917,619.2155
MAYO,5.0,18.0,0.085,0.001,0.62,0.014,40.0,36.0,34.216933,0.847767,257.732833,12.0764,619.135833
MAYO,5.0,19.0,0.081,0.001,0.55,0.014,37.0,35.0,33.387117,0.53173,290.14,12.3901,619.189167
MAYO,5.0,20.0,0.039,0.001,1.36,0.042,43.0,36.0,32.21965,0.447,239.350167,14.15215,619.266333
MAYO,5.0,21.0,0.016,0.002,1.56,0.052,62.0,33.0,30.656667,0.447,233.9663,17.235867,619.654833
MAYO,5.0,22.0,0.049,0.001,0.72,0.02,66.0,36.0,29.491,1.836852,227.637,19.196667,620.461167
MAYO,5.0,23.0,0.054,0.001,0.53,0.01,51.0,32.0,27.892133,2.006013,231.5446,23.796517,620.992
MAYO,6.0,0.0,0.041,0.003,0.49,0.017,49.0,35.0,26.1714,0.923742,112.892223,26.92345,621.604833
MAYO,6.0,1.0,0.034,0.002,0.52,0.023,58.0,34.0,25.283983,0.449518,208.167483,28.400017,621.6305
MAYO,6.0,2.0,0.044,0.002,0.51,0.017,59.0,36.0,24.766167,1.425955,212.855,31.25465,621.427333
MAYO,6.0,3.0,0.055,0.002,0.46,0.006,52.0,41.0,23.574,0.754065,242.682833,34.676983,621.3535
MAYO,6.0,4.0,0.032,0.002,0.48,0.021,47.0,40.0,21.718667,0.511732,243.101683,39.692533,621.4025
MAYO,6.0,5.0,0.03,0.002,0.51,0.019,54.0,47.0,21.153233,0.447,252.594367,41.90445,621.473833
MAYO,6.0,6.0,0.013,0.003,0.74,0.03,68.0,49.0,20.080367,0.447223,190.627133,44.017233,621.626667
MAYO,6.0,7.0,0.013,0.004,0.92,0.033,68.0,54.0,20.072317,0.455222,102.7864,46.473283,622.056
MAYO,6.0,8.0,0.022,0.003,0.99,0.026,60.0,47.0,21.7256,0.451522,230.1495,46.531467,622.491667
MAYO,6.0,9.0,0.034,0.003,0.97,0.024,60.0,55.0,23.7357,0.571432,234.467833,42.667633,622.6515
MAYO,6.0,10.0,0.061,0.002,0.68,0.014,56.0,40.0,26.129117,0.700748,222.3712,34.866283,622.739833
MAYO,6.0,11.0,0.073,0.002,0.7,0.017,52.0,38.0,27.9131,0.914638,227.548333,28.55895,622.439333
MAYO,6.0,12.0,0.09,0.002,0.61,0.012,46.0,34.0,30.341717,0.789038,230.6935,22.360017,621.7365
MAYO,6.0,13.0,0.097,0.002,0.48,0.008,44.0,32.0,32.213717,0.964492,183.508067,17.871467,621.205333
MAYO,6.0,14.0,0.094,0.001,0.44,0.007,36.0,28.0,33.609167,0.976645,232.108117,14.570833,620.404
MAYO,6.0,15.0,0.095,0.011,0.56,0.01,35.0,29.0,34.196933,0.988558,172.231367,13.659367,619.617333
MAYO,6.0,16.0,0.086,0.002,0.39,0.005,33.0,27.0,34.716417,1.11447,135.866517,11.37715,619.005333
