DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENERO,1,0,0.0070,0.0175,0.0063,1.2641,87,50,NA
ENERO,1,1,NA,NA,0.0064,1.3643,119,58,NA
ENERO,1,2,NA,NA,0.0067,1.4777,173,119,NA
ENERO,1,3,0.0164,NA,0.0068,1.4968,197,162,NA
ENERO,1,4,0.0137,NA,0.0067,1.3959,188,176,NA
ENERO,1,5,0.0128,NA,0.0067,1.3342,185,159,NA
ENERO,1,6,0.0091,NA,0.0067,1.3714,178,161,NA
ENERO,1,7,0.0062,NA,0.0066,1.4162,149,142,NA
ENERO,1,8,0.0064,NA,0.0061,1.4756,136,118,NA
ENERO,1,9,0.0103,NA,0.0057,1.4289,110,110,NA
ENERO,1,10,0.0248,0.0125,0.0039,1.3191,87,90,NA
ENERO,1,11,0.0392,0.0153,0.0029,1.1594,65,78,NA
ENERO,1,12,0.0438,0.0191,0.0027,1.0178,49,54,NA
ENERO,1,13,0.0401,0.0225,0.0027,0.8334,36,42,NA
ENERO,1,14,0.0384,0.0261,0.0027,0.7191,24,31,NA
ENERO,1,15,0.0445,0.0309,0.0027,0.6043,18,23,NA
ENERO,1,16,0.0387,0.0350,0.0027,0.4721,17,19,NA
ENERO,1,17,0.0393,0.0386,0.0027,0.4103,17,19,NA
ENERO,1,18,0.0331,0.0396,0.0028,0.3997,22,21,NA
ENERO,1,19,0.0143,0.0365,0.0028,0.5039,31,22,NA
ENERO,1,20,0.0104,0.0323,0.0028,0.6032,56,33,NA
ENERO,1,21,0.0103,0.0286,0.0027,0.6908,58,40,NA
ENERO,1,22,0.0083,0.0249,0.0027,0.7708,54,40,NA
ENERO,1,23,0.0058,0.0200,0.0027,0.9490,58,38,NA
ENERO,2,0,0.0060,0.0159,0.0028,1.2488,66,42,NA
ENERO,2,1,NA,NA,0.0026,1.3379,72,50,NA
ENERO,2,2,0.0031,NA,0.0023,1.3841,68,44,NA
ENERO,2,3,0.0049,NA,0.0022,1.3217,66,42,NA
ENERO,2,4,0.0048,NA,0.0020,1.2596,58,36,NA
ENERO,2,5,0.0038,NA,0.0019,1.2100,50,34,NA
ENERO,2,6,0.0031,NA,0.0019,1.1790,55,35,NA
ENERO,2,7,0.0056,NA,0.0020,1.0472,58,38,NA
ENERO,2,8,0.0034,NA,0.0020,0.8270,57,41,NA
ENERO,2,9,0.0077,0.0046,0.0022,0.7873,59,37,NA
ENERO,2,10,0.0188,0.0065,0.0027,0.7453,52,41,NA
