DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,1,0,NA,NA,0.010,0.56,NA,NA,NA
MAYO,1,1,NA,NA,0.010,0.60,50.21,39.59,0.027
MAYO,1,2,NA,NA,0.010,0.64,51.99,43.23,0.027
MAYO,1,3,NA,NA,0.010,0.65,53.74,41.53,0.026
MAYO,1,4,NA,NA,0.010,0.66,56.05,43.21,0.025
MAYO,1,5,NA,NA,0.010,0.69,58.88,48.85,0.025
MAYO,1,6,NA,NA,0.011,0.73,62.63,51.31,0.024
MAYO,1,7,NA,NA,0.011,0.80,67.11,59.3,0.024
MAYO,1,8,NA,NA,0.011,0.83,67.55,50.5,0.027
MAYO,1,9,NA,NA,0.012,0.86,70.7,60.05,0.021
MAYO,1,10,NA,NA,0.012,0.90,74.2,64.99,0.017
MAYO,1,11,NA,NA,0.014,0.93,66,62.92,0.010
MAYO,1,12,NA,NA,0.015,0.98,58,53,0.011
MAYO,1,13,NA,NA,0.015,0.98,53,54,0.012
MAYO,1,14,NA,NA,0.015,0.94,40,49,0.007
MAYO,1,15,NA,NA,0.015,0.86,30,35,0.007
MAYO,1,16,NA,NA,0.015,0.79,28,28,0.003
MAYO,1,17,NA,NA,0.015,0.73,32,26,0.006
MAYO,1,18,NA,NA,0.015,0.64,30,25,0.004
MAYO,1,19,NA,NA,0.015,0.58,29,21,0.008
MAYO,1,20,NA,NA,0.015,0.53,35,22,0.012
MAYO,1,21,NA,NA,0.015,0.52,40,21,0.010
MAYO,1,22,NA,NA,0.015,0.54,49,32,0.011
MAYO,1,23,NA,NA,NA,0.56,49,38,0.010
MAYO,2,0,NA,NA,0.014,0.55,45,37,0.013
MAYO,2,1,NA,NA,0.014,0.55,41,32,0.009
MAYO,2,2,NA,NA,0.013,0.55,40,31,0.016
MAYO,2,3,NA,NA,0.013,0.53,36,28,0.019
MAYO,2,4,NA,NA,0.013,0.51,37,28,0.024
MAYO,2,5,NA,NA,0.013,0.48,39,34,0.019
MAYO,2,6,NA,NA,0.013,0.47,42,34,0.021
MAYO,2,7,NA,NA,0.013,0.56,48,36,0.026
MAYO,2,8,NA,NA,0.012,0.67,63,45,0.028
MAYO,2,9,NA,NA,0.010,0.72,67,48,0.019
MAYO,2,10,NA,NA,0.007,0.73,55,44,0.017
MAYO,2,11,NA,NA,0.005,0.75,50,45,0.011
MAYO,2,12,NA,NA,0.003,0.78,45,48,0.014
MAYO,2,13,NA,NA,0.002,0.80,44,53,0.009
MAYO,2,14,NA,NA,0.002,0.79,41,46,0.010
MAYO,2,15,NA,NA,0.002,0.69,37,42,0.009
MAYO,2,16,NA,NA,0.002,0.57,33,36,0.008
MAYO,2,17,NA,NA,0.002,0.54,31,31,0.010
MAYO,2,18,NA,NA,0.002,0.52,27,56,0.008
MAYO,2,19,NA,NA,0.002,0.51,29,42,0.015
MAYO,2,20,NA,NA,0.002,0.54,36,33,0.030
MAYO,2,21,NA,NA,0.002,0.54,45,30,0.016
MAYO,2,22,NA,NA,0.002,0.54,57,56,0.008
MAYO,2,23,NA,NA,0.001,0.53,57,61,0.009
MAYO,3,0,NA,NA,0.001,0.53,58,55,0.012
MAYO,3,1,NA,NA,0.001,0.53,51,50,0.015
MAYO,3,2,NA,NA,0.002,0.54,49,47,0.012
MAYO,3,3,NA,NA,0.002,0.54,47,46,0.012
MAYO,3,4,NA,NA,0.002,0.49,46,44,0.009
MAYO,3,5,NA,NA,0.002,0.47,44,40,0.007
MAYO,3,6,NA,NA,0.002,0.50,45,38,0.020
MAYO,3,7,NA,NA,0.001,0.60,52,36,0.030
MAYO,3,8,NA,NA,0.001,0.71,61,39,0.029
MAYO,3,9,NA,NA,0.001,0.78,63,41,0.027
MAYO,3,10,NA,NA,0.001,0.81,56,42,0.013
MAYO,3,11,NA,NA,0.001,0.82,43,35,0.012
MAYO,3,12,NA,NA,0.001,0.84,36,27,0.011
MAYO,3,13,NA,NA,0.001,0.85,27,21,0.011
MAYO,3,14,NA,NA,0.001,0.83,27,21,0.012
MAYO,3,15,NA,NA,0.001,0.75,28,24,0.012
MAYO,3,16,NA,NA,0.001,0.65,30,25,0.008
MAYO,3,17,NA,NA,0.001,0.59,29,25,0.009
MAYO,3,18,NA,NA,0.001,0.58,29,24,0.013
MAYO,3,19,NA,NA,0.001,0.60,32,23,0.020
MAYO,3,20,NA,NA,0.001,0.74,35,25,0.054
MAYO,3,21,NA,NA,0.001,0.87,48,29,0.051
MAYO,3,22,NA,NA,0.001,0.88,55,35,0.019
MAYO,3,23,NA,NA,0.001,0.88,53,35,0.011
MAYO,4,0,NA,NA,0.001,0.88,50,37,0.018
MAYO,4,1,NA,NA,0.001,0.88,52,35,0.020
MAYO,4,2,NA,NA,0.002,0.87,54,37,0.025
MAYO,4,3,NA,NA,0.002,0.85,55,41,0.030
MAYO,4,4,NA,NA,0.002,0.72,54,40,0.033
MAYO,4,5,NA,NA,0.002,0.58,54,39,0.030
MAYO,4,6,NA,NA,0.002,0.63,57,37,0.032
MAYO,4,7,NA,NA,0.002,0.79,68,41,0.027
MAYO,4,8,NA,NA,0.002,0.89,67,43,0.033
MAYO,4,9,NA,NA,0.003,0.96,67,45,0.034
MAYO,4,10,0.052,NA,0.003,1.00,69,51,0.025
MAYO,4,11,0.070,NA,0.003,1.00,56,47,0.013
MAYO,4,12,0.081,NA,0.003,0.99,44,47,0.011
MAYO,4,13,0.076,NA,0.003,0.99,37,34,0.013
MAYO,4,14,0.080,NA,0.003,0.91,33,30,0.008
MAYO,4,15,0.089,NA,0.003,0.75,32,25,0.007
MAYO,4,16,0.094,NA,0.003,0.64,33,26,0.010
MAYO,4,17,0.093,0.080,0.003,0.57,34,28,0.008
MAYO,4,18,0.092,0.085,0.003,0.53,32,43,0.011
MAYO,4,19,0.080,0.086,0.003,0.54,36,41,0.020
MAYO,4,20,0.051,0.082,0.003,0.61,42,39,0.032
MAYO,4,21,0.053,0.079,0.003,0.62,47,39,0.017
MAYO,4,22,0.052,0.076,0.003,0.65,48,31,0.019
MAYO,4,23,0.047,0.070,0.003,0.66,47,29,0.015
MAYO,5,0,0.046,0.064,0.003,0.66,49,35,0.016
MAYO,5,1,0.037,0.057,0.004,0.67,54,39,0.021
MAYO,5,2,0.025,0.049,0.003,0.68,58,42,0.024
