DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DICIEMBRE,1,1,0.025,0.009,0.003,NA,32,16.04,4.67,69.86,64.35,9.38
DICIEMBRE,1,2,0.025,0.011,0.003,NA,24,15.59,4.54,74.06,68.22,4.76
DICIEMBRE,1,3,0.023,0.008,0.003,NA,23,14.97,4.14,75.83,72.28,7.81
DICIEMBRE,1,4,0.020,0.008,0.003,NA,26,14.78,3.30,86.95,73.73,16.70
DICIEMBRE,1,5,0.023,0.007,0.003,NA,26,14.31,2.89,105.40,76.92,9.61
DICIEMBRE,1,6,0.018,0.006,0.005,NA,26,13.85,2.80,106.70,81.05,4.16
DICIEMBRE,1,7,0.012,0.007,0.006,NA,24,14.31,2.93,80.54,79.83,8.99
DICIEMBRE,1,8,0.011,0.009,0.006,NA,30,14.72,2.33,85.67,77.19,23.40
DICIEMBRE,1,9,0.013,0.012,0.006,NA,29,15.85,3.91,80.22,72.19,186.87
DICIEMBRE,1,10,0.019,0.019,0.005,NA,41,18.49,4.70,73.42,60.90,439.53
DICIEMBRE,1,11,0.025,0.013,0.005,NA,37,20.49,4.91,77.86,50.51,613.09
DICIEMBRE,1,12,0.028,0.010,0.004,NA,NA,21.05,5.10,65.95,47.46,576.76
DICIEMBRE,1,13,0.034,0.008,0.004,NA,202,22.51,5.70,92.10,41.81,672.65
DICIEMBRE,1,14,0.033,0.008,0.004,NA,72,23.34,5.31,93.50,37.27,722.42
DICIEMBRE,1,15,0.035,0.010,0.004,NA,46,24.02,4.82,75.84,33.23,600.47
DICIEMBRE,1,16,0.038,0.007,0.004,NA,36,24.57,4.93,96.21,30.69,494.00
DICIEMBRE,1,17,0.038,0.005,0.004,NA,41,24.41,4.73,92.10,30.88,297.49
DICIEMBRE,1,18,0.032,0.006,0.006,NA,49,22.96,4.60,90.00,34.03,89.04
DICIEMBRE,1,19,0.020,0.030,0.008,NA,66,20.25,4.59,58.66,45.48,7.03
DICIEMBRE,1,20,0.020,0.074,0.004,NA,47,18.16,6.46,41.46,56.78,2.38
DICIEMBRE,1,21,0.017,0.017,0.005,NA,33,16.45,5.23,49.44,62.64,7.06
DICIEMBRE,1,22,0.014,0.028,0.006,NA,33,15.73,3.58,54.82,64.83,11.01
DICIEMBRE,1,23,0.017,0.013,0.004,NA,28,15.31,3.59,68.26,66.56,11.91
DICIEMBRE,2,0,0.018,0.009,0.005,NA,27,14.41,2.78,91.16,69.72,12.83
DICIEMBRE,2,1,0.015,0.008,0.004,NA,33,13.82,3.17,92.09,72.90,9.80
DICIEMBRE,2,2,0.016,0.011,0.004,NA,25,13.41,3.19,81.97,74.91,22.79
DICIEMBRE,2,3,0.016,0.015,0.005,NA,23,12.98,3.10,81.89,76.38,14.61
DICIEMBRE,2,4,0.016,0.012,0.004,NA,17,12.51,3.14,88.97,78.07,7.40
DICIEMBRE,2,5,0.013,0.006,0.003,NA,21,11.85,2.60,107.08,80.07,7.20
DICIEMBRE,2,6,0.005,0.005,0.007,NA,22,10.93,1.82,105.60,83.25,9.88
DICIEMBRE,2,7,0.002,0.005,0.008,NA,25,9.89,1.64,103.93,87.16,3.09
DICIEMBRE,2,8,0.004,0.005,0.008,NA,36,10.85,2.30,95.37,85.30,56.53
DICIEMBRE,2,9,0.007,0.007,0.008,NA,48,14.07,2.47,88.44,75.35,243.82
DICIEMBRE,2,10,0.014,0.008,0.005,NA,41,18.16,1.96,114.95,60.30,444.55
DICIEMBRE,2,11,0.024,0.008,0.004,NA,51,19.84,2.83,106.17,52.34,605.15
DICIEMBRE,2,12,0.030,0.012,0.004,NA,38,22.07,2.47,150.91,46.51,710.41
DICIEMBRE,2,13,0.037,0.023,0.005,NA,39,23.84,2.19,191.31,41.48,654.97
DICIEMBRE,2,14,0.051,0.034,0.006,NA,47,25.09,2.03,227.07,38.55,684.29
DICIEMBRE,2,15,0.066,0.048,0.006,NA,50,26.23,2.02,186.09,35.13,623.17
DICIEMBRE,2,16,0.070,0.035,0.005,NA,55,26.91,2.09,177.77,32.98,488.59
DICIEMBRE,2,17,0.069,0.032,0.005,NA,53,26.68,1.87,173.40,32.32,310.85
DICIEMBRE,2,18,0.063,0.022,0.006,NA,57,25.11,1.34,126.03,33.65,102.06
DICIEMBRE,2,19,0.031,0.014,0.011,NA,46,22.73,2.94,77.91,34.00,10.98
DICIEMBRE,2,20,0.024,0.007,0.007,NA,49,20.77,3.62,64.16,39.94,5.43
DICIEMBRE,2,21,0.022,0.025,0.006,NA,41,19.09,4.31,57.52,41.14,13.74
DICIEMBRE,2,22,0.019,0.008,0.005,NA,43,17.28,3.96,98.45,48.68,10.29
DICIEMBRE,2,23,0.019,0.016,0.004,NA,37,16.21,5.28,80.44,57.03,12.46
DICIEMBRE,3,0,0.018,0.011,0.004,NA,29,15.10,3.56,95.55,62.76,11.79
DICIEMBRE,3,1,0.016,0.008,0.005,NA,31,14.04,2.38,89.47,68.11,5.70
DICIEMBRE,3,2,0.017,0.005,0.003,NA,28,13.15,3.11,102.07,72.86,6.49
DICIEMBRE,3,3,0.017,0.005,0.003,NA,16,12.70,2.78,101.44,75.03,4.35
DICIEMBRE,3,4,0.016,0.005,0.002,NA,20,12.01,3.20,107.50,79.62,13.78
DICIEMBRE,3,5,0.015,0.005,0.003,NA,20,11.66,3.31,103.74,82.37,11.26
DICIEMBRE,3,6,0.013,0.005,0.003,NA,20,11.69,3.54,104.11,83.75,4.35
DICIEMBRE,3,7,0.006,0.005,0.007,NA,26,10.97,2.17,105.15,85.60,2.97
DICIEMBRE,3,8,0.006,0.005,0.006,NA,39,11.16,2.11,109.65,85.13,60.32
DICIEMBRE,3,9,0.015,0.005,0.006,NA,49,14.98,3.81,96.26,74.76,255.02
DICIEMBRE,3,10,0.019,0.005,0.003,NA,43,17.59,5.21,74.40,62.87,455.13
DICIEMBRE,3,11,0.023,0.005,0.003,NA,45,19.42,5.11,85.08,54.14,617.14
