MES,DIA,HORA,O3,SO2,NO2,CO,PM10,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,RADSOL
JUL,5.0,11.0,0.022,0.003,0.005,1.36,13.0,21.321167,3.66755,103.339567,60.17495,346.703667
JUL,5.0,12.0,0.03,0.003,0.005,1.32,14.0,24.336483,2.570968,127.7641,50.9301,637.926833
JUL,5.0,13.0,0.042,0.003,0.005,1.34,64.0,26.36025,2.48267,168.452483,44.69935,939.015333
JUL,5.0,14.0,0.053,0.004,0.005,1.36,25.0,27.98985,2.922693,201.070167,38.63085,986.905333
JUL,5.0,15.0,0.05,0.003,0.004,1.34,13.0,27.415683,4.003633,193.1815,39.71315,740.002333
JUL,5.0,16.0,0.049,0.003,0.005,1.37,16.0,26.54675,3.051247,232.184667,41.698167,290.032
JUL,5.0,17.0,0.044,0.003,0.007,1.45,19.0,25.43515,3.219017,214.641083,44.324933,132.148033
JUL,5.0,18.0,0.026,0.004,0.013,1.76,37.0,17.91905,3.327833,203.437683,79.29905,27.9352
JUL,5.0,19.0,0.029,0.003,0.009,1.53,22.0,18.0668,3.641795,182.688167,87.68955,45.542917
JUL,5.0,20.0,0.03,0.003,0.008,1.47,17.0,18.007417,3.856905,139.963433,80.999917,8.063915
JUL,5.0,21.0,0.033,0.003,0.006,1.34,27.0,15.9574,4.428697,90.439367,85.969883,2.647178
JUL,5.0,22.0,0.026,0.003,0.007,1.34,18.0,15.2308,3.124987,150.499167,95.034767,2.800315
JUL,5.0,23.0,0.022,0.003,0.008,1.37,12.0,15.12995,2.547655,230.570117,96.361667,2.691342
JUL,6.0,0.0,0.023,0.003,0.008,1.36,18.0,15.2104,2.22424,75.527883,97.065783,2.73849
JUL,6.0,1.0,0.014,0.003,0.013,1.31,19.0,15.071317,1.779073,138.813933,96.881617,2.744477
JUL,6.0,2.0,0.015,0.003,0.011,1.33,20.0,15.197133,1.693537,194.468,97.438583,2.820143
JUL,6.0,3.0,0.018,0.003,0.009,1.30,13.0,15.37835,1.298045,240.815667,97.539617,2.70748
JUL,6.0,4.0,0.013,0.003,0.011,1.32,19.0,15.185233,2.101148,299.846833,98.068617,2.731255
JUL,6.0,5.0,0.01,0.003,0.013,1.37,19.0,15.21825,2.144547,308.217833,98.406533,2.694627
JUL,6.0,6.0,0.005,0.004,0.018,1.57,25.0,14.863317,2.088467,309.165167,98.238933,2.966695
JUL,6.0,7.0,0.007,0.004,0.018,1.80,21.0,15.363033,2.304767,307.384167,98.364933,62.216823
JUL,6.0,8.0,0.012,0.004,0.014,1.68,23.0,18.4486,2.551767,287.450267,97.367233,254.087333
JUL,6.0,9.0,0.024,0.004,0.01,1.52,14.0,21.428383,2.069483,274.007533,81.007183,485.598333
JUL,6.0,10.0,0.028,0.004,0.007,1.37,18.0,22.933967,2.85767,113.333417,66.92895,788.493
JUL,6.0,11.0,0.035,0.004,0.006,1.34,30.0,22.92205,3.629373,109.239117,59.316733,831.2485
JUL,6.0,12.0,0.041,0.004,0.004,1.35,25.0,24.487317,3.566393,105.128233,49.59495,1019.895667
JUL,6.0,13.0,0.045,0.003,0.004,1.34,28.0,25.422433,3.361428,103.40665,43.93075,1034.992667
JUL,6.0,14.0,0.05,0.003,0.004,1.34,24.0,26.163167,3.347683,115.6995,41.737183,948.5235
JUL,6.0,15.0,0.056,0.003,0.004,1.32,31.0,27.03565,3.18306,104.732933,36.495517,961.6745
JUL,6.0,16.0,0.066,0.003,0.005,1.33,20.0,27.859283,3.44272,112.732833,33.420983,826.3065
JUL,6.0,17.0,0.07,0.003,0.006,1.32,17.0,29.06965,2.875782,95.523467,27.738133,642.022333
JUL,6.0,18.0,0.052,0.004,0.011,1.67,38.0,25.72755,4.195523,188.028967,38.614383,81.328717
JUL,6.0,19.0,0.038,0.003,0.015,1.68,37.0,22.909,3.383267,243.967667,47.41185,44.41205
JUL,6.0,20.0,0.032,0.007,0.011,1.49,24.0,23.174833,3.461488,99.506617,48.589233,9.261367
JUL,6.0,21.0,0.04,0.006,0.007,1.36,21.0,21.190617,3.347363,134.945683,56.17465,2.362078
JUL,6.0,22.0,0.04,0.004,0.01,1.42,24.0,19.76935,1.759007,133.559433,62.9165,2.375107
JUL,6.0,23.0,0.03,0.003,0.013,1.37,27.0,19.28455,2.100382,112.680183,67.294567,2.463095
JUL,7.0,0.0,0.027,0.003,0.012,1.34,20.0,18.643717,2.986465,85.7701,66.7032,2.571933
JUL,7.0,1.0,0.02,0.004,0.007,1.29,10.0,18.207167,3.753482,70.950883,67.477167,2.44071
JUL,7.0,4.0,0.017,0.003,0.01,1.29,24.0,16.2981,2.420082,84.642183,76.396333,2.607438
JUL,7.0,6.0,0.002,0.003,0.016,1.52,42.0,14.837567,1.662705,117.87885,82.572967,2.851897
JUL,7.0,7.0,0.002,0.003,0.015,1.53,31.0,15.00115,1.590507,115.518167,85.057,30.000867
JUL,7.0,8.0,0.007,0.004,0.014,1.54,37.0,19.51205,1.517132,153.92925,77.5788,226.779417
JUL,7.0,9.0,0.025,0.003,0.007,1.42,38.0,21.798733,3.347643,94.851933,60.081367,452.93
JUL,7.0,10.0,0.034,0.003,0.005,1.37,28.0,22.406783,4.262707,91.0354,51.3615,675.865333
JUL,7.0,11.0,0.041,0.003,0.005,1.34,21.0,23.567883,4.225583,84.153867,44.463933,847.266167
JUL,7.0,12.0,0.045,0.003,0.005,1.39,20.0,24.590067,4.243253,92.43765,40.6562,945.673667
JUL,7.0,13.0,0.053,0.003,0.005,1.39,37.0,25.667067,3.527167,91.419,38.50735,1030.73
JUL,7.0,14.0,0.054,0.003,0.005,1.33,44.0,27.366433,2.852645,118.085483,33.2349,1047.606167
JUL,7.0,15.0,0.057,0.008,0.005,1.34,22.0,27.646083,2.850493,129.969033,31.18825,632.674333
JUL,7.0,16.0,0.056,0.004,0.005,1.35,17.0,27.8664,3.596908,107.9743,30.5881,490.267
JUL,7.0,17.0,0.057,0.004,0.006,1.35,24.0,25.558133,5.07531,145.466667,38.57825,241.2549
JUL,7.0,18.0,0.052,0.003,0.007,1.37,26.0,23.043467,3.864908,171.304833,47.6999,119.59235
JUL,7.0,19.0,0.047,0.003,0.008,1.41,29.0,22.723917,3.724432,197.487667,48.089017,48.518067
JUL,7.0,20.0,0.04,0.003,0.009,1.48,31.0,21.21225,2.785388,270.887333,54.842983,8.063787
JUL,7.0,21.0,0.036,0.003,0.01,1.52,90.0,17.908217,3.71844,103.19575,73.411083,2.587693
JUL,7.0,22.0,0.031,0.003,0.007,1.37,37.0,15.579583,3.924708,93.76025,90.553167,2.759187
JUL,7.0,23.0,0.027,0.003,0.007,1.32,12.0,15.125767,2.964402,121.10235,95.209933,2.820567
JUL,8.0,0.0,0.016,0.003,0.011,1.31,11.0,15.5067,2.255395,128.188483,97.475583,2.741928
JUL,8.0,1.0,0.013,0.003,0.01,1.30,21.0,15.83675,1.708553,133.592833,99.191117,2.761082
JUL,8.0,2.0,0.011,0.003,0.012,1.32,17.0,16.303017,1.722105,107.091633,99.430283,2.759372
JUL,8.0,3.0,0.008,0.003,0.01,1.31,25.0,16.312783,2.3029,92.818317,98.6993,2.74139
JUL,8.0,5.0,0.004,0.003,0.012,1.29,24.0,15.9834,1.150512,153.682833,98.15615,3.495542
JUL,8.0,6.0,0.003,0.003,0.012,1.49,30.0,15.854917,1.847428,110.20885,97.112417,2.904983
JUL,8.0,7.0,0.01,0.004,0.009,1.52,33.0,16.033367,2.646795,85.595683,93.7339,35.72305
JUL,8.0,8.0,0.012,0.003,0.009,1.51,30.0,17.638417,3.107352,86.133667,90.568317,192.603
JUL,8.0,9.0,0.022,0.003,0.007,1.39,31.0,19.938967,4.156467,88.83175,73.630867,428.4255
JUL,8.0,10.0,0.029,0.003,0.006,1.38,27.0,21.64215,3.751252,77.526367,63.871017,566.240333
JUL,8.0,11.0,0.037,0.003,0.005,1.35,27.0,23.340233,3.461433,97.91245,56.239533,801.019
JUL,8.0,12.0,0.044,0.003,0.005,1.36,17.0,25.404617,2.608832,104.173633,46.0451,901.8085
JUL,8.0,13.0,0.05,0.007,0.005,1.34,65.0,26.759517,2.320578,132.445117,40.916933,946.6045
JUL,8.0,14.0,0.05,0.005,0.005,1.34,114.0,27.588333,3.125678,90.262167,35.194067,1022.641333
JUL,8.0,15.0,0.055,0.004,0.006,1.34,31.0,27.891517,3.96762,84.660583,31.3303,861.792167
JUL,8.0,16.0,0.065,0.004,0.005,1.31,16.0,28.707267,3.073192,100.026933,30.09825,781.464833
JUL,8.0,17.0,0.063,0.004,0.007,1.32,16.0,29.7614,3.762912,82.5958,25.670517,656.817
JUL,8.0,18.0,0.045,0.023,0.009,1.55,22.0,28.608717,4.462695,129.091067,29.805917,300.8215
JUL,8.0,19.0,0.028,0.054,0.01,1.75,30.0,26.094733,4.151233,130.413733,35.606917,77.59105
JUL,8.0,20.0,0.023,0.083,0.011,2.05,26.0,24.915683,4.272812,108.611783,40.69745,10.875822
JUL,8.0,21.0,0.025,0.04,0.006,1.34,33.0,23.846383,6.29487,51.977183,44.546183,3.180678
JUL,8.0,22.0,0.023,0.012,0.007,1.36,25.0,22.326467,4.646482,62.358167,51.951717,2.42323
JUL,8.0,23.0,0.02,0.007,0.007,1.31,24.0,20.832717,3.547662,100.191133,60.324783,2.538112
JUL,9.0,0.0,0.023,0.005,0.005,1.29,20.0,19.6819,3.39998,98.831817,65.266267,2.430265
JUL,9.0,1.0,0.018,0.004,0.007,1.28,27.0,18.492567,2.865673,85.2591,69.646633,2.575713
JUL,9.0,2.0,0.014,0.004,0.006,1.26,20.0,18.013183,3.349953,58.179133,70.81235,2.495775
JUL,9.0,3.0,0.019,0.009,0.005,1.26,21.0,17.771467,3.158178,59.138117,70.52895,9.686332
JUL,9.0,4.0,0.02,0.014,0.005,1.25,19.0,17.340117,2.624568,52.357167,71.311433,2.698135
