DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,1,0,0.018,0.033,0.003,1.11,83,0.025
ABRIL,1,1,0.015,0.028,0.003,1.19,82,0.024
ABRIL,1,2,0.009,0.023,0.003,1.26,92,0.031
ABRIL,1,3,NA,NA,0.003,1.28,97,0.032
ABRIL,1,4,NA,NA,0.003,1.26,96,0.031
ABRIL,1,5,NA,NA,0.003,1.29,103,0.028
ABRIL,1,6,0.040,NA,0.003,1.32,116,0.028
ABRIL,1,7,0.014,NA,0.003,1.35,115,0.028
ABRIL,1,8,0.004,NA,0.003,1.36,119,0.027
ABRIL,1,9,0.016,NA,0.003,1.33,123,0.024
ABRIL,1,10,0.044,NA,0.003,1.29,107,0.016
ABRIL,1,11,0.054,NA,0.003,1.29,96,0.015
ABRIL,1,12,0.038,NA,0.004,1.31,NA,NA
ABRIL,1,13,0.060,0.034,0.004,1.28,NA,0.005
ABRIL,1,14,0.058,0.036,0.004,1.23,NA,0.006
ABRIL,1,15,0.063,0.042,0.004,1.16,NA,0.006
ABRIL,1,16,0.065,0.050,0.004,1.09,NA,0.006
ABRIL,1,17,0.067,0.056,0.004,1.04,NA,0.006
ABRIL,1,18,0.061,0.058,0.004,1.02,NA,0.006
ABRIL,1,19,0.047,0.057,0.004,1.00,NA,0.012
ABRIL,1,20,0.029,0.056,0.004,1.00,NA,0.023
ABRIL,1,21,0.023,0.052,0.004,1.05,NA,0.026
ABRIL,1,22,0.031,0.048,0.004,1.06,NA,0.012
ABRIL,1,23,0.033,0.045,0.004,1.06,NA,0.008
ABRIL,2,0,0.019,0.039,0.004,1.09,NA,0.018
ABRIL,2,1,0.015,0.032,0.004,1.12,NA,0.019
ABRIL,2,2,0.006,0.026,0.004,1.15,52,0.026
ABRIL,2,3,0.008,0.021,0.004,1.16,56,0.024
ABRIL,2,4,0.015,0.019,0.004,1.11,59,0.016
ABRIL,2,5,0.014,0.018,0.004,1.06,52,0.015
ABRIL,2,6,0.025,0.017,0.004,1.06,52,0.023
ABRIL,2,7,0.012,0.014,0.004,1.08,55,0.025
ABRIL,2,8,0.004,0.012,0.004,1.09,65,0.026
ABRIL,2,9,0.008,0.012,0.004,1.10,83,0.028
ABRIL,2,10,0.029,0.014,0.004,1.11,87,0.027
ABRIL,2,11,0.048,0.019,0.004,1.11,77,0.014
ABRIL,2,12,0.063,0.025,0.003,1.11,59,0.007
ABRIL,2,13,0.065,0.032,0.003,1.10,47,0.006
ABRIL,2,14,0.053,0.035,0.003,1.08,37,0.005
ABRIL,2,15,0.049,0.040,0.003,1.04,27,0.005
ABRIL,2,16,0.050,0.046,0.003,1.01,26,0.005
ABRIL,2,17,0.054,0.051,0.003,0.96,20,0.005
ABRIL,2,18,0.057,0.055,0.003,0.91,26,0.005
ABRIL,2,19,0.051,0.055,0.003,0.92,29,0.011
ABRIL,2,20,0.017,0.050,0.003,1.03,53,0.037
ABRIL,2,21,0.007,0.042,0.003,1.22,92,0.044
ABRIL,2,22,0.023,0.039,0.003,1.29,106,0.023
ABRIL,2,23,0.018,0.035,0.003,1.37,101,0.024
ABRIL,3,0,0.017,0.031,0.003,1.41,79,0.019
ABRIL,3,1,0.017,0.026,0.003,1.44,65,0.019
