DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
MAYO,1,0,0.031,0.051,0.004,1.20,73,0.011
MAYO,1,1,0.014,0.043,0.004,1.24,66,0.020
MAYO,1,2,0.017,0.036,0.004,1.27,58,0.020
MAYO,1,3,0.013,0.030,0.004,1.30,53,0.022
MAYO,1,4,0.005,0.024,0.005,1.35,53,0.029
MAYO,1,5,0.007,0.020,0.005,1.40,62,0.027
MAYO,1,6,0.038,0.020,0.005,1.48,78,0.028
MAYO,1,7,0.018,0.018,0.005,1.53,113,0.026
MAYO,1,8,0.032,0.018,0.005,1.59,110,0.025
MAYO,1,9,0.035,0.021,0.006,1.59,103,0.021
MAYO,1,10,0.050,0.025,0.007,1.59,92,0.012
MAYO,1,11,0.069,0.032,0.008,1.60,75,0.011
MAYO,1,12,0.086,0.042,0.009,1.59,73,0.009
MAYO,1,13,0.092,0.053,0.010,1.57,66,0.008
MAYO,1,14,0.067,0.056,0.011,1.49,54,0.006
MAYO,1,15,0.067,0.062,0.011,1.42,38,0.006
MAYO,1,16,0.073,0.067,0.011,1.34,32,0.005
MAYO,1,17,0.071,0.072,0.011,1.30,30,0.006
MAYO,1,18,0.072,0.075,0.011,1.27,17,0.005
MAYO,1,19,0.065,0.074,0.011,1.24,23,0.008
MAYO,1,20,0.050,0.070,0.011,1.21,39,0.009
MAYO,1,21,0.046,0.064,0.011,1.20,56,0.009
MAYO,1,22,0.037,0.060,0.011,1.22,70,0.012
MAYO,1,23,0.032,0.056,0.011,1.24,65,0.010
MAYO,2,0,0.028,0.050,0.011,1.25,59,0.011
MAYO,2,1,0.030,0.045,0.011,1.25,53,0.010
MAYO,2,2,0.052,0.042,0.011,1.26,53,0.014
MAYO,2,3,0.039,0.039,0.011,1.26,63,0.015
MAYO,2,4,0.029,0.037,0.011,1.26,63,0.015
MAYO,2,5,0.024,0.034,0.011,1.26,59,0.014
MAYO,2,6,0.021,0.032,0.011,1.25,50,0.017
MAYO,2,7,0.015,0.030,0.011,1.29,50,0.023
MAYO,2,8,0.012,0.028,0.011,1.36,60,0.029
MAYO,2,9,0.027,0.027,0.009,1.42,65,0.024
MAYO,2,10,0.042,0.026,0.009,1.43,61,0.015
MAYO,2,11,0.057,0.028,0.008,1.43,62,0.008
MAYO,2,12,0.063,0.033,0.006,1.44,54,0.007
MAYO,2,13,0.065,0.038,0.005,1.43,53,0.006
MAYO,2,14,0.066,0.043,0.004,1.42,51,0.007
MAYO,2,15,0.066,0.050,0.004,1.37,42,0.005
MAYO,2,16,0.067,0.057,0.004,1.29,39,0.007
MAYO,2,17,0.066,0.062,0.004,1.23,39,0.005
MAYO,2,18,0.063,0.064,0.004,1.22,36,0.008
MAYO,2,19,0.055,0.064,0.004,1.23,42,0.013
MAYO,2,20,0.041,0.061,0.004,1.25,49,0.020
MAYO,2,21,0.050,0.059,0.004,1.26,68,0.011
MAYO,2,22,0.047,0.057,0.004,1.26,100,0.008
MAYO,2,23,0.044,0.054,0.004,1.28,89,0.007
MAYO,3,0,0.039,0.051,0.004,1.29,77,0.012
MAYO,3,1,0.035,0.047,0.004,1.30,68,0.014
MAYO,3,2,0.034,0.043,0.003,1.31,62,0.012
MAYO,3,3,0.037,0.041,0.003,1.30,57,0.009
MAYO,3,4,0.037,0.040,0.003,1.27,56,0.008
MAYO,3,5,0.035,0.038,0.003,1.25,50,0.007
MAYO,3,6,0.021,0.035,0.003,1.26,53,0.017
MAYO,3,7,0.007,0.031,0.003,1.35,62,0.031
MAYO,3,8,0.029,0.029,0.004,1.43,80,0.034
MAYO,3,9,0.030,0.029,0.004,1.48,91,0.027
MAYO,3,10,0.041,0.030,0.004,1.48,82,0.011
MAYO,3,11,0.053,0.032,0.004,1.47,68,0.007
MAYO,3,12,0.054,0.034,0.004,1.47,59,0.007
MAYO,3,13,0.055,0.036,0.004,1.45,47,0.005
MAYO,3,14,0.063,0.042,0.004,1.42,42,0.005
MAYO,3,15,0.068,0.049,0.004,1.31,39,0.004
MAYO,3,16,0.072,0.054,0.004,1.21,37,0.004
MAYO,3,17,0.076,0.060,0.004,1.14,37,0.004
MAYO,3,18,0.076,0.065,0.004,1.13,38,0.005
MAYO,3,19,0.068,0.066,0.004,1.14,42,0.010
MAYO,3,20,0.035,0.064,0.004,1.28,53,0.034
MAYO,3,21,0.030,0.061,0.004,1.39,67,0.037
MAYO,3,22,0.043,0.059,0.004,1.43,79,0.018
MAYO,3,23,0.041,0.055,0.004,1.45,79,0.011
MAYO,4,0,0.033,0.050,0.004,1.48,70,0.015
MAYO,4,1,0.019,0.043,0.004,1.50,67,0.024
MAYO,4,2,0.020,0.036,0.004,1.51,67,0.020
MAYO,4,3,0.024,0.031,0.004,1.51,63,0.018
MAYO,4,4,0.030,0.030,0.004,1.39,56,0.014
MAYO,4,5,0.010,0.027,0.004,1.30,61,0.031
MAYO,4,6,0.020,0.024,0.004,1.30,63,0.023
MAYO,4,7,0.010,0.021,0.004,1.42,79,0.036
MAYO,4,8,0.047,0.022,0.004,1.54,126,0.039
MAYO,4,9,0.019,0.023,0.004,1.64,143,0.049
MAYO,4,10,0.039,0.025,0.005,1.68,134,0.030
MAYO,4,11,0.058,0.029,0.005,1.67,102,0.012
MAYO,4,12,0.064,0.033,0.005,1.67,69,0.007
MAYO,4,13,0.067,0.040,0.005,1.66,51,0.006
MAYO,4,14,0.068,0.047,0.005,1.62,39,0.006
MAYO,4,15,0.077,0.055,0.005,1.49,37,0.005
MAYO,4,16,0.080,0.059,0.005,1.35,42,0.006
MAYO,4,17,0.079,0.066,0.005,1.24,66,0.006
MAYO,4,18,0.076,0.071,0.005,1.20,67,0.009
MAYO,4,19,0.072,0.073,0.005,1.20,57,0.010
MAYO,4,20,0.050,0.071,0.005,1.25,59,0.022
MAYO,4,21,0.047,0.069,0.005,1.27,69,0.012
MAYO,4,22,0.035,0.065,0.005,1.31,73,0.017
MAYO,4,23,0.043,0.060,0.005,1.33,70,0.013
MAYO,5,0,0.035,0.055,0.005,1.36,68,0.016
MAYO,5,1,0.047,0.051,0.005,1.38,71,0.015
MAYO,5,2,0.032,0.045,0.005,1.38,72,0.012
MAYO,5,3,0.035,0.041,0.005,1.38,66,0.008
MAYO,5,4,0.023,0.037,0.005,1.34,61,0.018
MAYO,5,5,0.015,0.033,0.005,1.34,61,0.027
MAYO,5,6,0.007,0.030,0.005,1.35,68,0.032
MAYO,5,7,0.004,0.025,0.005,1.40,76,0.033
MAYO,5,8,0.017,0.023,0.004,1.42,87,0.023
MAYO,5,9,0.034,0.021,0.004,1.42,83,0.014
MAYO,5,10,0.048,0.023,0.004,1.42,71,0.008
MAYO,5,11,0.055,0.026,0.004,1.41,59,0.007
MAYO,5,12,0.062,0.030,0.004,1.40,50,0.006
MAYO,5,13,0.062,0.036,0.004,1.38,45,0.005
MAYO,5,14,0.068,0.044,0.004,1.33,37,0.005
MAYO,5,15,0.074,0.053,0.004,1.27,37,0.006
MAYO,5,16,0.079,0.060,0.004,1.22,41,0.005
MAYO,5,17,0.081,0.066,0.004,1.20,43,0.006
MAYO,5,18,0.078,0.070,0.004,1.19,42,0.007
MAYO,5,19,0.068,0.072,0.004,1.21,47,0.012
MAYO,5,20,0.044,0.069,0.004,1.32,57,0.028
MAYO,5,21,0.014,0.063,0.004,1.48,94,0.049
MAYO,5,22,0.043,0.060,0.004,1.50,100,0.016
MAYO,5,23,0.045,0.057,0.004,1.51,89,0.008
MAYO,6,0,0.042,0.052,0.004,1.54,75,0.012
MAYO,6,1,0.028,0.045,0.004,1.56,60,0.018
MAYO,6,2,0.036,0.040,0.004,1.57,63,0.012
MAYO,6,3,0.043,0.037,0.004,1.56,68,0.007
MAYO,6,4,0.036,0.036,0.004,1.46,63,0.011
MAYO,6,5,0.025,0.037,0.004,1.33,65,0.018
MAYO,6,6,0.019,0.034,0.004,1.35,67,0.023
MAYO,6,7,0.026,0.032,0.004,1.43,82,0.035
MAYO,6,8,0.017,0.029,0.004,1.48,97,0.028
MAYO,6,9,0.030,0.029,0.004,1.51,105,0.024
MAYO,6,10,0.052,0.031,0.004,1.52,89,0.012
MAYO,6,11,0.066,0.034,0.004,1.53,77,0.011
MAYO,6,12,0.079,0.039,0.004,1.55,63,0.010
MAYO,6,13,0.085,0.047,0.005,1.56,52,0.009
MAYO,6,14,0.077,0.054,0.005,1.52,42,0.006
MAYO,6,15,0.070,0.059,0.007,1.43,45,0.019
MAYO,6,16,0.067,0.066,0.007,1.38,54,0.008
MAYO,6,17,0.075,0.071,0.007,1.33,47,0.008
MAYO,6,18,0.074,0.074,0.007,1.32,44,0.009
MAYO,6,19,0.067,0.074,0.008,1.32,47,0.009
MAYO,6,20,0.043,0.070,0.008,1.31,60,0.015
MAYO,6,21,0.034,0.063,0.008,1.30,80,0.022
MAYO,6,22,0.050,0.060,0.008,1.31,92,0.008
MAYO,6,23,0.051,0.058,0.008,1.30,101,0.006
MAYO,7,0,0.047,0.055,0.008,1.29,85,0.006
MAYO,7,1,0.044,0.051,0.008,1.28,64,0.006
MAYO,7,2,0.040,0.047,0.008,1.27,52,0.006
MAYO,7,3,0.032,0.043,0.008,1.26,49,0.011
MAYO,7,4,0.047,0.043,0.008,1.26,51,0.014
MAYO,7,5,0.042,0.044,0.008,1.26,49,0.016
MAYO,7,6,0.016,0.040,0.008,1.30,55,0.025
MAYO,7,7,0.009,0.035,0.008,1.40,60,0.032
MAYO,7,8,0.025,0.032,0.008,1.45,60,0.022
MAYO,7,9,0.036,0.031,0.008,1.49,63,0.017
MAYO,7,10,0.051,0.032,0.008,1.51,69,0.011
MAYO,7,11,0.062,0.036,0.008,1.51,67,0.007
MAYO,7,12,0.067,0.038,0.008,1.50,61,0.006
MAYO,7,13,0.067,0.042,0.008,1.49,57,0.007
MAYO,7,14,0.073,0.049,0.008,1.45,60,0.008
MAYO,7,15,0.073,0.057,0.006,1.35,54,0.006
MAYO,7,16,0.072,0.062,0.005,1.29,47,0.005
MAYO,7,17,0.072,0.067,0.005,1.24,39,0.005
MAYO,7,18,0.068,0.069,0.005,1.22,39,0.006
MAYO,7,19,0.062,0.069,0.005,1.21,45,0.009
MAYO,7,20,0.046,0.067,0.005,1.24,66,0.017
MAYO,7,21,0.041,0.063,0.004,1.29,74,0.021
MAYO,7,22,0.042,0.059,0.004,1.32,80,0.020
MAYO,7,23,0.049,0.056,0.004,1.34,91,0.014
MAYO,8,0,0.046,0.053,0.004,1.38,88,0.014
MAYO,8,1,0.047,0.050,0.004,1.40,87,0.009
MAYO,8,2,0.049,0.048,0.004,1.40,76,0.005
MAYO,8,3,0.046,0.046,0.004,1.40,64,0.005
MAYO,8,4,0.041,0.045,0.004,1.37,59,0.007
MAYO,8,5,0.039,0.045,0.004,1.32,55,0.007
MAYO,8,6,0.035,0.044,0.004,1.31,59,0.010
MAYO,8,7,0.028,0.041,0.004,1.32,65,0.017
MAYO,8,8,0.038,0.040,0.004,1.32,64,0.014
MAYO,8,9,0.046,0.040,0.004,1.33,68,0.011
MAYO,8,10,0.053,0.041,0.004,1.34,66,0.007
MAYO,8,11,0.062,0.043,0.004,1.35,54,0.007
MAYO,8,12,0.068,0.046,0.004,1.35,45,0.006
MAYO,8,13,0.075,0.051,0.004,1.35,40,0.007
MAYO,8,14,0.077,0.056,0.004,1.33,43,0.006
MAYO,8,15,0.073,0.061,0.004,1.30,43,0.005
MAYO,8,16,0.071,0.066,0.004,1.26,41,0.004
MAYO,8,17,0.071,0.069,0.004,1.23,39,0.005
MAYO,8,18,0.067,0.070,0.004,1.21,36,0.007
MAYO,8,19,0.065,0.071,0.004,1.21,37,0.008
MAYO,8,20,0.057,0.069,0.004,1.23,51,0.012
MAYO,8,21,0.062,0.068,0.004,1.25,68,0.013
MAYO,8,22,0.058,0.065,0.004,1.27,70,0.012
MAYO,8,23,0.051,0.063,0.004,1.29,69,0.010
MAYO,9,0,0.048,0.060,0.004,1.30,68,0.009
MAYO,9,1,0.045,0.056,0.004,1.31,73,0.006
MAYO,9,2,0.042,0.053,0.004,1.31,69,0.005
MAYO,9,3,0.043,0.051,0.004,1.30,63,0.004
MAYO,9,4,0.039,0.048,0.004,1.28,57,0.005
MAYO,9,5,0.035,0.045,0.004,1.26,50,0.007
MAYO,9,6,0.015,0.040,0.003,1.28,59,0.025
MAYO,9,7,0.018,0.035,0.004,1.39,70,0.036
MAYO,9,8,0.018,0.032,0.004,1.46,68,0.026
MAYO,9,9,0.030,0.030,0.004,1.49,63,0.019
MAYO,9,10,0.047,0.031,0.004,1.51,57,0.012
MAYO,9,11,0.064,0.033,0.004,1.52,60,0.010
MAYO,9,12,0.073,0.037,0.004,1.53,81,0.008
MAYO,9,13,0.070,0.042,0.004,1.54,78,0.008
MAYO,9,14,0.076,0.049,0.003,1.50,60,0.007
MAYO,9,15,0.073,0.056,0.003,1.37,50,0.006
MAYO,9,16,0.071,0.063,0.003,1.29,40,0.004
MAYO,9,17,0.073,0.068,0.004,1.25,36,0.006
MAYO,9,18,0.073,0.071,0.004,1.25,37,0.007
MAYO,9,19,0.067,0.072,0.004,1.26,44,0.010
MAYO,9,20,0.046,0.068,0.004,1.31,59,0.024
MAYO,9,21,0.027,0.063,0.004,1.40,77,0.034
MAYO,9,22,0.049,0.060,0.004,1.42,102,0.008
