DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
OCTUBRE,1,0,NA,NA,0.008,0.702,18,0.004
OCTUBRE,1,1,NA,NA,0.009,0.696,15,0.003
OCTUBRE,1,2,NA,NA,0.01,0.67,13,0.002
OCTUBRE,1,3,NA,NA,0.011,0.657,13,0.003
OCTUBRE,1,4,NA,NA,0.012,0.644,13,0.002
OCTUBRE,1,5,NA,NA,0.012,0.631,14,0.003
OCTUBRE,1,6,NA,NA,0.013,0.632,17,0.008
OCTUBRE,1,7,NA,NA,0.013,0.665,26,0.011
OCTUBRE,1,8,NA,NA,0.013,0.693,33,0.008
OCTUBRE,1,9,NA,NA,0.014,0.717,37,0.006
OCTUBRE,1,10,NA,NA,0.015,0.736,32,0.004
OCTUBRE,1,11,NA,NA,0.016,0.747,31,0.003
OCTUBRE,1,12,NA,NA,0.017,0.758,26,0.003
OCTUBRE,1,13,NA,NA,0.019,0.768,22,0.003
OCTUBRE,1,14,NA,NA,0.02,0.766,19,0.003
OCTUBRE,1,15,NA,NA,0.022,0.738,15,0.003
OCTUBRE,1,16,NA,NA,0.024,0.714,15,0.003
OCTUBRE,1,17,NA,NA,0.025,0.693,18,0.003
OCTUBRE,1,18,NA,NA,0.027,0.691,16,0.005
OCTUBRE,1,19,NA,NA,0.028,0.718,23,0.005
OCTUBRE,1,20,NA,NA,0.029,0.81,27,0.006
OCTUBRE,1,21,NA,NA,0.029,0.817,26,0.004
OCTUBRE,1,22,NA,NA,0.03,0.822,29,0.005
OCTUBRE,1,23,NA,NA,0.031,0.827,26,0.005
OCTUBRE,2,0,NA,NA,0.031,0.824,21,0.003
OCTUBRE,2,1,NA,NA,0.032,0.822,19,0.002
OCTUBRE,2,2,NA,NA,0.032,0.807,19,0.003
OCTUBRE,2,3,NA,NA,0.032,0.769,16,0.002
OCTUBRE,2,4,NA,NA,0.033,0.668,15,0.004
OCTUBRE,2,5,NA,NA,0.033,0.652,14,0.002
OCTUBRE,2,6,NA,NA,0.034,0.646,16,0.004
OCTUBRE,2,7,NA,NA,0.035,0.645,19,0.005
OCTUBRE,2,8,NA,NA,0.036,0.661,22,0.005
OCTUBRE,2,9,NA,NA,0.036,0.679,21,0.005
OCTUBRE,2,10,NA,NA,0.037,0.69,23,0.004
OCTUBRE,2,11,NA,NA,0.037,0.705,23,0.004
OCTUBRE,2,12,NA,NA,0.037,0.721,22,0.004
OCTUBRE,2,13,NA,NA,0.037,0.732,19,0.003
OCTUBRE,2,14,NA,NA,0.038,0.737,19,0.003
