DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCTUBRE,1,1,NA,0.026,0.73,0.005,26,NA,14.46,3.18,90.98,65.97,623.14,NA
OCTUBRE,1,2,NA,0.028,0.71,0.004,16,NA,13.86,2.98,91.21,68.82,623.04,NA
OCTUBRE,1,3,NA,0.028,0.71,0.004,24,NA,13.40,3.83,76.62,71.35,622.65,NA
OCTUBRE,1,4,NA,0.029,0.73,0.004,18,NA,13.11,3.55,79.69,72.52,622.26,NA
OCTUBRE,1,5,NA,0.020,0.76,0.008,14,NA,12.13,2.17,102.84,78.10,622.41,NA
OCTUBRE,1,6,NA,0.013,0.89,0.011,23,NA,11.16,2.59,114.61,81.97,622.66,NA
OCTUBRE,1,7,NA,0.008,1.09,0.015,36,NA,11.27,2.24,94.86,81.82,622.91,NA
OCTUBRE,1,8,NA,0.010,1.18,0.014,43,NA,12.35,3.00,98.24,76.01,623.01,0.34
OCTUBRE,1,9,NA,0.019,1.12,0.011,69,NA,14.64,3.27,93.89,67.41,623.27,1.22
OCTUBRE,1,10,NA,0.027,1.03,0.009,53,NA,17.38,3.87,92.98,56.67,623.25,2.47
OCTUBRE,1,11,NA,0.032,1.01,0.008,52,NA,19.78,3.67,93.15,47.43,623.18,3.77
OCTUBRE,1,12,NA,0.035,1.01,0.008,46,NA,21.84,3.47,99.76,39.17,622.98,4.62
OCTUBRE,1,13,NA,0.039,0.96,0.008,51,NA,23.67,3.21,97.38,30.98,622.31,5.11
OCTUBRE,1,14,NA,0.039,0.92,0.008,54,NA,25.28,3.14,99.15,24.97,621.58,4.78
OCTUBRE,1,15,NA,0.044,0.92,0.008,43,NA,26.70,3.05,99.00,21.61,620.89,3.86
OCTUBRE,1,16,NA,0.043,0.91,0.009,36,NA,27.47,3.15,102.92,18.59,620.46,2.62
OCTUBRE,1,17,NA,0.043,0.92,0.009,35,NA,27.86,2.94,94.57,17.39,620.16,1.30
OCTUBRE,1,18,NA,0.039,1.01,0.012,38,NA,27.66,2.83,85.10,16.88,620.27,0.33
OCTUBRE,1,19,NA,0.030,0.84,0.008,79,NA,24.90,4.68,50.07,22.33,620.70,NA
OCTUBRE,1,20,NA,0.028,0.82,0.007,47,NA,22.04,4.99,49.28,27.93,621.25,NA
OCTUBRE,1,21,NA,0.027,1.05,0.009,39,NA,20.30,5.18,57.14,35.69,622.00,NA
OCTUBRE,1,22,NA,0.025,0.84,0.011,47,NA,19.02,4.11,65.32,39.29,622.57,NA
OCTUBRE,1,23,NA,0.025,0.84,0.008,45,NA,16.91,3.41,93.29,45.82,623.13,NA
OCTUBRE,2,0,NA,0.031,0.78,0.005,34,NA,15.82,3.94,87.41,48.46,623.37,NA
OCTUBRE,2,1,NA,0.034,0.76,0.005,34,NA,15.04,3.46,84.50,52.15,623.57,NA
OCTUBRE,2,2,NA,0.034,0.74,0.005,28,NA,14.52,2.92,80.38,55.11,623.67,NA
