MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR,UV
MARZO,3.0,8.0,0.002,0.009,1.07,0.035,77.0,18.0,12.7975,2.197387,91.26805,48.637367,624.254,0.152713
MARZO,3.0,9.0,0.007,0.009,1.03,0.031,97.0,24.0,15.323246,2.57082,87.813917,41.8818,624.768333,0.731937
MARZO,3.0,10.0,0.014,0.01,0.96,0.03,95.0,23.0,17.932881,2.439727,106.100917,38.042017,625.023167,1.726775
MARZO,3.0,11.0,0.032,0.009,0.72,0.021,80.0,25.0,21.701667,1.504347,150.464267,31.972417,624.906,2.876798
MARZO,3.0,12.0,0.052,0.009,0.58,0.01,64.0,23.0,23.811102,1.701977,219.58795,26.765267,624.422667,3.817048
MARZO,3.0,13.0,0.063,0.012,0.66,0.015,59.0,27.0,25.713729,1.637183,151.719133,25.025617,623.6065,4.428563
MARZO,3.0,14.0,0.065,0.017,0.66,0.016,52.0,29.0,27.542727,2.174362,150.918983,20.366183,622.728333,4.479863
MARZO,3.0,15.0,0.064,0.015,0.55,0.011,39.0,34.0,29.30175,2.035242,173.2432,16.625667,621.7845,4.003147
MARZO,3.0,16.0,0.061,0.008,0.55,0.011,46.0,18.0,30.309833,1.879703,142.609083,14.655938,620.997167,2.95124
MARZO,3.0,17.0,0.045,0.007,0.54,0.009,36.0,14.0,30.829417,2.234765,166.874283,7.450345,620.678667,1.808275
MARZO,3.0,18.0,0.045,0.007,0.49,0.008,27.0,11.0,30.0825,2.478842,196.111367,8.442752,620.564,0.748838
MARZO,3.0,19.0,0.039,0.007,0.63,0.018,47.0,7.0,28.614309,2.087555,210.654167,9.456498,620.680333,0.12203
MARZO,3.0,20.0,0.017,0.009,0.9,0.046,83.0,9.0,26.210167,2.192855,157.174502,15.195033,621.107833,0.008624
MARZO,3.0,21.0,0.021,0.009,0.88,0.026,106.0,14.0,24.53825,3.181128,102.707717,25.77845,622.326333,0.008205
MARZO,3.0,22.0,0.023,0.009,0.67,0.015,128.0,30.0,22.631121,3.48151,104.252467,33.932167,623.2365,0.008183
MARZO,3.0,23.0,0.023,0.008,0.59,0.014,74.0,24.0,21.402083,2.421268,111.606917,35.813267,623.6865,0.007337
MARZO,4.0,0.0,0.022,0.007,0.52,0.015,65.0,15.0,20.505833,2.970862,93.2196,31.796883,623.917167,0.0083
MARZO,4.0,1.0,0.022,0.007,0.48,0.013,64.0,15.0,18.849167,2.497248,78.144733,33.11805,624.2795,0.008129
MARZO,4.0,2.0,0.02,0.007,0.45,0.015,52.0,7.0,17.879649,1.792275,87.8847,35.898183,624.425,0.008205
MARZO,4.0,3.0,0.016,0.008,0.48,0.02,45.0,10.0,17.128917,1.847323,112.3447,39.729833,624.370667,0.007997
MARZO,4.0,4.0,0.01,0.008,0.49,0.026,46.0,14.0,15.75275,2.176872,109.54215,45.424783,624.237167,0.008958
MARZO,4.0,5.0,0.004,0.009,0.56,0.034,72.0,18.0,14.523276,2.526145,111.272733,52.756333,624.288333,0.008443
MARZO,4.0,6.0,0.001,0.008,0.59,0.036,70.0,21.0,13.487321,2.237638,105.42765,55.444633,624.419833,0.007762
MARZO,4.0,7.0,0.002,0.007,0.74,0.033,56.0,19.0,12.7475,2.44657,118.088417,54.812033,624.680833,0.008582
MARZO,4.0,8.0,0.003,0.008,1.04,0.034,72.0,17.0,13.071167,2.735852,95.079667,56.87075,625.139167,0.14762
MARZO,4.0,9.0,0.006,0.009,1.12,0.031,121.0,23.0,14.838571,3.23809,93.45975,54.101167,625.479333,0.69237
MARZO,4.0,10.0,0.015,0.007,0.89,0.024,73.0,29.0,16.961167,3.338775,103.4441,49.789667,625.821333,1.598485
MARZO,4.0,11.0,0.028,0.008,0.81,0.021,62.0,26.0,20.181228,2.243698,116.47705,41.079617,625.6835,2.684073
MARZO,4.0,12.0,0.042,0.008,0.66,0.015,45.0,23.0,23.034776,1.764342,147.162817,35.098433,625.147667,3.609927
MARZO,4.0,13.0,0.054,0.008,0.55,0.007,38.0,21.0,24.7905,1.985207,210.420217,31.665883,624.303167,4.337957
MARZO,4.0,14.0,0.057,0.007,0.52,0.005,26.0,18.0,26.165088,2.445127,243.54215,26.995467,623.397167,4.418455
MARZO,4.0,15.0,0.061,0.007,0.49,0.005,26.0,32.0,27.763,2.197143,246.79415,22.58015,622.503333,3.91575
MARZO,4.0,16.0,0.061,0.007,0.47,0.005,69.0,24.0,28.682833,1.975192,203.143083,19.30665,621.748167,2.956625
MARZO,4.0,17.0,0.061,0.009,0.49,0.005,57.0,18.0,28.948455,1.947113,148.768317,15.033967,621.180167,1.53905
MARZO,4.0,18.0,0.061,0.009,0.48,0.006,52.0,12.0,28.185603,2.790107,268.549167,18.186933,621.154333,0.65402
MARZO,4.0,19.0,0.043,0.007,0.64,0.025,75.0,19.0,26.093167,2.273595,248.171167,20.5581,621.331333,0.10895
MARZO,4.0,20.0,0.034,0.007,0.65,0.021,107.0,22.0,23.879825,4.095363,212.002333,27.811583,621.647667,0.008341
MARZO,4.0,21.0,0.03,0.007,0.67,0.02,93.0,19.0,21.881964,3.095,192.8335,34.805467,622.3155,0.007117
MARZO,4.0,22.0,0.028,0.007,0.74,0.024,70.0,15.0,21.897417,2.31188,183.9625,33.053,622.921833,0.007597
MARZO,4.0,23.0,0.012,0.008,1.04,0.047,80.0,19.0,21.214211,1.444788,94.120267,34.644867,623.364667,0.008207
MARZO,5.0,0.0,0.021,0.008,0.75,0.034,104.0,28.0,20.079821,1.093063,100.582717,38.6521,623.561833,0.0084
MARZO,5.0,1.0,0.012,0.008,0.68,0.036,98.0,28.0,19.543583,1.762585,137.894967,40.6506,623.588833,0.009187
MARZO,5.0,4.0,0.011,0.008,0.57,0.024,75.0,34.0,15.578947,1.576105,271.5885,51.9224,623.1685,0.008192
MARZO,5.0,5.0,0.015,0.007,0.53,0.02,50.0,26.0,15.152917,1.579282,253.758333,54.346517,623.1015,0.008031
MARZO,5.0,6.0,0.019,0.007,0.52,0.011,43.0,18.0,14.987069,1.610553,273.528667,55.732317,623.283833,0.009145
MARZO,5.0,7.0,0.012,0.007,0.6,0.018,48.0,15.0,14.048868,1.552692,297.489833,61.048,623.749833,0.008071
MARZO,5.0,8.0,0.008,0.007,0.7,0.026,63.0,26.0,14.433167,1.328503,274.246333,60.849867,624.300667,0.161733
MARZO,5.0,9.0,0.017,0.007,0.72,0.021,61.0,29.0,17.290083,1.631223,264.242667,52.187917,624.808833,0.763237
MARZO,5.0,10.0,0.033,0.008,0.62,0.01,49.0,26.0,19.380273,2.421377,271.13,49.099517,625.119167,1.78491
MARZO,5.0,11.0,0.042,0.007,0.56,0.005,45.0,25.0,21.604018,2.66541,265.5605,42.896583,625.110833,3.025398
MARZO,5.0,12.0,0.042,0.008,0.52,0.006,39.0,24.0,23.2095,3.809447,269.991833,35.381033,624.712833,4.006683
MARZO,5.0,13.0,0.046,0.007,0.53,0.003,33.0,28.0,24.765917,3.222152,255.987667,30.155383,624.013167,4.744988
MARZO,5.0,14.0,0.043,0.007,0.45,0.002,24.0,19.0,26.235877,3.422813,268.755833,23.735617,623.198,4.705073
MARZO,5.0,15.0,0.043,0.006,0.43,0.002,23.0,15.0,27.247845,4.000185,265.059217,20.806317,622.4885,4.077078
MARZO,5.0,16.0,0.043,0.006,0.46,0.003,32.0,16.0,27.85675,3.764585,263.613,18.8374,621.858167,3.015697
MARZO,5.0,17.0,0.046,0.006,0.46,0.002,42.0,13.0,28.009746,4.027347,270.247,19.1025,621.4905,1.795058
MARZO,5.0,18.0,0.045,0.006,0.43,0.003,37.0,11.0,27.698396,3.693562,271.971833,18.258867,621.426333,0.73932
MARZO,5.0,19.0,0.039,0.006,0.48,0.009,44.0,10.0,26.183833,2.572152,272.661333,22.826183,621.5375,0.125708
MARZO,5.0,20.0,0.024,0.006,0.73,0.029,72.0,12.0,24.364417,1.925305,252.690333,25.7617,621.947,0.008459
MARZO,5.0,21.0,0.027,0.006,0.66,0.019,76.0,16.0,23.975833,3.269935,223.325333,24.356633,622.585833,0.008411
