DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
AGOSTO,1,0,0.020,0.032,0.009,0.391,22,7,NA
AGOSTO,1,1,0.021,0.028,0.009,0.373,22,6,NA
AGOSTO,1,2,0.015,0.025,0.009,0.347,21,8,NA
AGOSTO,1,3,0.020,0.023,0.009,0.314,16,9,NA
AGOSTO,1,4,0.017,0.022,0.009,0.292,14,9,NA
AGOSTO,1,5,0.020,0.021,0.009,0.282,14,8,NA
AGOSTO,1,6,0.015,0.019,0.009,0.293,17,7,NA
AGOSTO,1,7,0.006,0.017,0.009,0.333,27,8,NA
AGOSTO,1,8,0.009,0.015,0.009,0.377,30,12,NA
AGOSTO,1,9,0.018,0.015,0.009,0.421,33,12,NA
AGOSTO,1,10,0.029,0.017,0.009,0.455,32,11,NA
AGOSTO,1,11,0.036,0.019,0.009,0.490,29,9,NA
AGOSTO,1,12,0.041,0.022,0.009,0.524,22,6,NA
AGOSTO,1,13,0.047,0.025,0.010,0.539,37,6,NA
AGOSTO,1,14,0.046,0.029,0.010,0.543,183,7,NA
AGOSTO,1,15,0.049,0.034,0.010,0.521,214,6,NA
AGOSTO,1,16,0.049,0.039,0.010,0.499,126,5,NA
AGOSTO,1,17,0.050,0.043,0.010,0.485,73,5,NA
AGOSTO,1,18,0.048,0.046,0.009,0.474,46,3,NA
AGOSTO,1,19,0.035,0.046,0.009,0.467,42,4,NA
AGOSTO,1,20,0.037,0.045,0.009,0.465,41,8,NA
AGOSTO,1,21,0.035,0.044,0.009,0.460,44,7,NA
AGOSTO,1,22,0.031,0.042,0.008,0.457,33,7,NA
AGOSTO,1,23,0.034,0.040,0.008,0.441,23,12,NA
AGOSTO,2,0,0.032,0.038,0.008,0.425,15,10,NA
AGOSTO,2,1,0.028,0.035,0.008,0.403,13,10,NA
AGOSTO,2,2,0.022,0.032,0.008,0.388,11,13,NA
AGOSTO,2,3,0.023,0.030,0.008,0.371,12,12,NA
AGOSTO,2,4,0.015,0.027,0.008,0.353,11,14,NA
AGOSTO,2,5,0.007,0.024,0.008,0.346,16,12,NA
AGOSTO,2,6,0.008,0.021,0.008,0.343,17,9,NA
AGOSTO,2,7,0.013,0.018,0.008,0.357,19,15,NA
AGOSTO,2,8,0.015,0.016,0.008,0.384,18,13,NA
AGOSTO,2,9,0.015,0.015,0.008,0.411,21,13,NA
AGOSTO,2,10,0.015,0.014,0.008,0.452,22,13,NA
AGOSTO,2,11,0.024,0.014,0.008,0.497,27,13,NA
AGOSTO,2,12,0.033,0.016,0.009,0.529,34,18,NA
AGOSTO,2,13,0.044,0.021,0.009,0.556,33,20,NA
AGOSTO,2,14,0.048,0.026,0.008,0.573,36,19,NA
AGOSTO,2,15,0.048,0.030,0.008,0.577,24,18,NA
AGOSTO,2,16,0.046,0.034,0.008,0.570,23,17,NA
AGOSTO,2,17,0.046,0.038,0.008,0.563,20,14,NA
AGOSTO,2,18,0.046,0.042,0.008,0.550,25,13,NA
AGOSTO,2,19,0.043,0.044,0.008,0.525,25,12,NA
AGOSTO,2,20,0.038,0.045,0.008,0.527,NA,14,NA
AGOSTO,2,21,0.025,0.042,0.008,0.546,NA,15,NA
AGOSTO,2,22,0.034,0.041,0.008,0.533,5,20,NA
AGOSTO,2,23,0.028,0.038,0.008,0.522,4,18,NA
AGOSTO,3,0,0.021,0.035,0.008,0.514,7,17,NA
AGOSTO,3,1,0.014,0.031,0.008,0.503,19,15,NA
AGOSTO,3,2,0.013,0.027,0.008,0.485,31,14,NA
AGOSTO,3,3,0.007,0.022,0.008,0.476,29,14,NA
AGOSTO,3,4,0.004,0.018,0.008,0.451,73,14,NA
AGOSTO,3,5,0.003,0.016,0.008,0.423,103,14,NA
AGOSTO,3,6,0.003,0.012,0.008,0.451,131,15,NA
AGOSTO,3,7,0.003,0.008,0.008,0.504,161,16,NA
AGOSTO,3,8,0.005,0.006,0.008,0.567,188,16,NA
AGOSTO,3,9,0.010,0.006,0.008,0.613,116,18,NA
AGOSTO,3,10,0.023,0.007,0.008,0.644,74,14,NA
AGOSTO,3,11,0.031,0.010,0.008,0.671,53,19,NA
AGOSTO,3,12,0.044,0.015,0.008,0.673,42,17,NA
AGOSTO,3,13,0.052,0.021,0.008,0.666,38,16,NA
AGOSTO,3,14,0.050,0.027,0.008,0.636,29,16,NA
AGOSTO,3,15,0.053,0.033,0.008,0.586,28,15,NA
AGOSTO,3,16,0.057,0.040,0.008,0.521,23,15,NA
AGOSTO,3,17,0.060,0.046,0.008,0.474,22,17,NA
AGOSTO,3,18,0.061,0.051,0.008,0.445,25,18,NA
AGOSTO,3,19,0.050,0.053,0.008,0.429,38,18,NA
AGOSTO,3,20,0.034,0.052,0.008,0.446,39,18,NA
AGOSTO,3,21,0.032,0.050,0.008,0.460,37,20,NA
AGOSTO,3,22,0.019,0.046,0.008,0.479,43,19,NA
AGOSTO,3,23,0.024,0.042,0.008,0.482,40,20,NA
AGOSTO,4,0,0.022,0.038,0.008,0.488,35,21,NA
AGOSTO,4,1,0.022,0.033,0.008,0.483,36,22,NA
AGOSTO,4,2,0.023,0.028,0.008,0.473,29,17,NA
AGOSTO,4,3,0.027,0.025,0.008,0.453,23,13,NA
AGOSTO,4,4,0.025,0.024,0.008,0.426,20,11,NA
AGOSTO,4,5,0.011,0.021,0.008,0.415,24,13,NA
AGOSTO,4,6,0.005,0.020,0.008,0.411,34,17,NA
AGOSTO,4,7,0.004,0.017,0.008,0.456,47,17,NA
AGOSTO,4,8,0.005,0.015,0.008,0.502,64,21,NA
AGOSTO,4,9,0.007,0.013,0.008,0.567,61,20,NA
AGOSTO,4,10,0.015,0.012,0.008,0.607,53,20,NA
AGOSTO,4,11,0.028,0.012,0.008,0.638,49,19,NA
AGOSTO,4,12,0.039,0.014,0.008,0.659,45,21,NA
AGOSTO,4,13,0.058,0.020,0.008,0.663,43,20,NA
AGOSTO,4,14,0.067,0.028,0.008,0.657,41,24,NA
AGOSTO,4,15,0.069,0.036,0.008,0.614,34,23,NA
AGOSTO,4,16,0.073,0.044,0.008,0.569,NA,24,NA
AGOSTO,4,17,NA,NA,NA,0.524,NA,NA,NA
